Mach,alpha,line_id,y,p_real,p_imag,p_abs,p_real_norm,p_imag_norm,p_abs_norm,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,reference_cr,reference_ci,reference_omega_i,trusted_spectral,trusted_modal,best_status,source_csv,source_label
1.5,0.1625,M1.50_anchor0.150,-255.42317590018664,0.0098035281851917,-0.0282466884660771,0.02989957481599799,0.02205793841668133,-0.0635550490486735,0.0672740433359955,0.0220579384166813,-0.0635550490486735,0.0065872296805382,-0.0208299135796495,-0.0131657291125923,0.0369028016352251,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-243.4815056365381,7.738121137395387e-05,0.0339370468458936,0.033937135065769036,0.00017410772559139627,0.07635835540326062,0.07635855389798035,0.0001741077255913,0.0763583554032606,0.0007451112365719,0.0247855872589355,0.0002824156635217,-0.0444710380559889,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-232.60152811598223,-0.0011200160928072,-0.0380720911299867,0.038088562050281695,-0.0025200362088162007,-0.0856622050424701,0.08569926461313385,-0.0025200362088163,-0.0856622050424702,-0.0015905388825848,-0.0277846119718017,0.0010370584772984,0.0499012769174656,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-222.64767901029853,-0.0089560901716804,0.0413716407546856,0.04232994460069648,-0.020151202886280906,0.09308619169804262,0.09524237535156711,-0.020151202886281,0.0930861916980426,-0.0057019631905224,0.0303990054072487,0.0122037076343328,-0.0541109584755332,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-213.50653149550143,0.0297772001233984,-0.0358969783685919,0.04663984029972736,0.06699870027764641,-0.08076820132933181,0.1049396406743866,0.0669987002776465,-0.0807682013293318,0.0210205012284453,-0.0268228531603613,-0.0394251952377381,0.0467016349849916,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-205.08245470690176,-0.0500796888948143,0.0096405839048106,0.0509991774230436,-0.11267930001333222,0.021691313785823854,0.11474814920184813,-0.1126793000133323,0.0216913137858239,-0.0363819131066714,0.0080574835298056,0.0657320633347744,-0.0120663727980481,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-197.2942553723828,0.042960617103875,0.0349651327488738,0.05539111056922513,0.09666138848371877,0.07867154868496608,0.12462999878075659,0.0966613884837188,0.0786715486849662,0.0320873035396233,0.0246663732543429,-0.055898957475492,-0.0463032047554033,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-190.0725523145325,0.0089764142836104,-0.0591233103560334,0.05980085150603502,0.020196932138123406,-0.13302744830107519,0.13455191588857884,0.0201969321381235,-0.1330274483010752,0.0053566208438589,-0.0433649957784037,-0.0124311037708705,0.0773720230552175,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-183.35770378688736,-0.0624626531182069,0.0149012124911203,0.06421549009601159,-0.14054096951596556,0.033527728105020686,0.14448485271602612,-0.1405409695159656,0.0335277281050208,-0.0453195219597127,0.0121510292139294,0.0820178509828435,-0.0188197081193754,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-177.09815644093086,0.0320804296285264,0.0606636135033654,0.0686238148781932,0.07218096666418441,0.1364931303825722,0.15440358347593475,0.0721809666641846,0.1364931303825722,0.0246619926468281,0.0436569563325134,-0.0413512231191668,-0.0798547292634843,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
