alpha,y_window,n,p_rel_l2,q_rel_l2,p_max_abs_err,q_max_abs_err,p_rmse,q_rmse,p_error_energy_fraction,q_error_energy_fraction,qdef_reference_rel_l2,qdef_prediction_rel_l2,dp_pred_vs_q_ref_rel_l2
0.0725,50.0,4289,0.0006267375345971679,0.0013321639963687372,0.0012699680263868714,0.0002733881105391441,0.00018795342070962695,3.826633384724046e-05,0.00015414140106575854,0.0010748404204625592,0.0,0.00675421043535589,0.0065362000345543635
0.0725,100.0,4354,0.0007137797150084896,0.0016395296668424526,0.0021918598994964847,0.0006613774877351756,0.0002130410885912668,4.704557300467765e-05,0.00020103790851124233,0.001649226032685891,0.0,0.006826152910531443,0.006543115439967217
0.0725,500.0,4407,0.0014900338048170212,0.003767471425019357,0.011209757245863332,0.0037581833545367606,0.00044240448036657397,0.00010759882833891631,0.0008774954458723248,0.008731972649241821,0.0,0.007663034893547149,0.006582443133537389
0.0725,2000.0,4418,0.0030497664566991574,0.003872361174084613,0.045298225059593196,0.0037581833545367606,0.0009043778753335047,0.00011045671448409113,0.003676108809171885,0.009224953492981977,0.0,0.007706371372035941,0.00658535741880321
0.075,5.0,3289,0.0004814952676831637,0.0009090089647932749,0.0002767204574146596,4.915238498869441e-05,0.00014745719238432606,2.538916064626246e-05,7.275428587720719e-05,0.00036283969421151434,0.0,0.006899939534305611,0.0067391064977807905
0.075,10.0,3807,0.0004911997525909817,0.0009383784887081513,0.0003020194738056836,6.563348491842575e-05,0.00014945119735457896,2.7354229592335973e-05,8.650564766390863e-05,0.0004875128686432193,0.0,0.006287289033353995,0.00610816987618875
0.075,20.0,4101,0.0005126135784551569,0.0010074329757228783,0.000485335370807448,0.00011552048157296894,0.00015485673770177535,2.9812106864642818e-05,0.00010004900381412891,0.0006237769746007985,0.0,0.006016393870798568,0.005826398883963401
0.075,50.0,4289,0.0006298328140942778,0.0012656447083361612,0.0016219313375289218,0.0002633953532795368,0.00018863956638238456,3.7628779050979603e-05,0.00015526887728608193,0.0010393229844652889,0.0,0.006009494274022622,0.005796247214767831
0.075,100.0,4354,0.0007348636503734937,0.0015282872413701634,0.002881554548756512,0.0005557026297501128,0.0002190302867651866,4.538327282474165e-05,0.0002125003040583918,0.001534738119794222,0.0,0.006098025588437792,0.005814867328042681
0.075,500.0,4407,0.0014311752684897936,0.003939679284260679,0.01123275885471608,0.003967311373999837,0.00042432284016762827,0.00011643250998251771,0.0008072325334361587,0.010224587640486189,0.0,0.007080232080839517,0.005843558318774255
0.075,2000.0,4418,0.002733009982699015,0.003976126206836692,0.03773584053478378,0.003967311373999837,0.0008092907148710177,0.00011736327948500328,0.002943727564214515,0.010414643689294269,0.0,0.007098772496656608,0.0058458430598922265
0.0775,5.0,3289,0.0004593488331276535,0.0008902022193640179,0.00027042196290196375,5.476847489689857e-05,0.00014062514885741607,2.572206212780034e-05,6.61687074891745e-05,0.00037241714885993474,0.0,0.005913051916097602,0.005726477270478819
0.0775,10.0,3807,0.00045959886327904783,0.0009077264641545776,0.00027042196290196375,6.532579436773698e-05,0.00013974284593000583,2.7368500794221077e-05,7.563186880984339e-05,0.0004880216900996234,0.0,0.005396348709617616,0.005195768365023512
0.0775,20.0,4101,0.0004747137019181197,0.0009805444398541588,0.00036248952951958456,0.00011780310571788763,0.0001432665281010189,3.000649103749326e-05,8.563317166718611e-05,0.000631937932383228,0.0,0.0051754594209976,0.004962828796207143
0.0775,50.0,4289,0.0005498171531514263,0.0011304925501425007,0.0014711788840515048,0.0002453747134713679,0.00016446436085735275,3.475000381238156e-05,0.00011802185519078787,0.000886380087506396,0.0,0.005187528455323945,0.004950429134267497
0.0775,100.0,4354,0.0006675112820914441,0.0013909068011501683,0.0032629574940970327,0.0006429985007947927,0.00019868286201239142,4.2698461032274054e-05,0.00017485257281212193,0.0013585233292175698,0.0,0.005311766186818792,0.004980456655679531
0.0775,500.0,4407,0.0014304754629478238,0.0037627695685072686,0.013806318530080445,0.004136109275549483,0.0004235182587493492,0.0001149506656517497,0.0008041741614886196,0.009965985781537089,0.0,0.006312476741027711,0.0050033416327176575
0.0775,2000.0,4418,0.002475004030217936,0.0038011074794944543,0.03250026341039184,0.004136109275549483,0.000731858677979172,0.00011597722093676937,0.0024073706019713545,0.0101701027118517,0.0,0.006333027918415919,0.0050050578484090134
0.08,5.0,3289,0.0004712708004325212,0.0009994212292634473,0.00031513214758427155,5.944315731725483e-05,0.00014422423666377303,2.9843620887065196e-05,6.959902555212827e-05,0.000501327044860448,0.0,0.005215237846565847,0.005062340915319471
0.08,10.0,3807,0.0004599320128293479,0.000976732091752016,0.00031513214758427155,6.261706165424119e-05,0.00013975089739354734,3.0427929822562196e-05,7.564058431542627e-05,0.0006032285951289663,0.0,0.0047445232624435275,0.004583977535733907
0.08,20.0,4101,0.000461354340196458,0.0010060083795370774,0.00031513214758427155,7.672350002201799e-05,0.00013909866366762415,3.180349748237481e-05,8.072321906415372e-05,0.0007098944263110329,0.0,0.004561611417669063,0.004390264576485093
0.08,50.0,4289,0.000516843403430814,0.0011301483730426418,0.001347440948723587,0.0003376716551147042,0.00015440643034082612,3.588054117908664e-05,0.00010402784440747522,0.0009449922515647168,0.0,0.0045955480453654315,0.004407988267950374
0.08,100.0,4354,0.0007550430772010154,0.001505033619130525,0.00381900902690229,0.0008238756445658083,0.00022443365916632638,4.771378307868664e-05,0.00022311419032211907,0.0016964081880278883,0.0,0.004735252072684808,0.004504318447432002
0.08,500.0,4407,0.0014239794240863564,0.003612064112560444,0.013801587016786427,0.004781294243585352,0.00042101282249602307,0.00011394948891629061,0.0007946876872229405,0.009793141857509758,0.0,0.005799342929036382,0.004530333274583982
0.08,2000.0,4418,0.002446670423710043,0.0036406789861720325,0.03206869781692141,0.004781294243585352,0.000722481179793055,0.00011470913329174658,0.0023460732950238566,0.009948920029811747,0.0,0.005815549421147871,0.0045325280772762185
