chart_id	checkpoint	output_dir	family	mach_min	mach_max	eta_min	eta_max	n_anchor_mach	n_ci_anchors_new	status	reason	source_modal_checkpoint	modal_output_dir	joint_output_dir	gep_output_dir
LMEDGE_NEUTRAL2	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LMEDGE_NEUTRAL2/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LMEDGE_NEUTRAL2	pq_etaaware	0.02	0.06	0.8	0.92	5	20	READY		pinn_subsonic/models/LMEDGE_NEUTRAL2/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/LMEDGE_NEUTRAL2	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LMEDGE_NEUTRAL2	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/LMEDGE_NEUTRAL2
LMEDGE_NEUTRAL3	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LMEDGE_NEUTRAL3/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LMEDGE_NEUTRAL3	pq_etaaware	0.02	0.06	0.92	0.98	5	20	READY		pinn_subsonic/models/LMEDGE_NEUTRAL3/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/LMEDGE_NEUTRAL3	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LMEDGE_NEUTRAL3	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/LMEDGE_NEUTRAL3
LMEDGE_VLOW	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LMEDGE_VLOW/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LMEDGE_VLOW	pQscaled	0.02	0.06	0.05	0.13	5	20	READY		pinn_subsonic/models/LMEDGE_VLOW/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/LMEDGE_VLOW	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LMEDGE_VLOW	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/LMEDGE_VLOW
LOW	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOW/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOW	pq_legacy	0.1	0.7	0.25	0.4	7	28	READY		pinn_subsonic/models/LOW/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/LOW	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOW	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/LOW
LOWM_EXT_HIGH	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_HIGH/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_HIGH	pq_etaaware	0.05	0.1	0.55	0.65	4	16	READY		pinn_subsonic/models/LOWM_EXT_HIGH/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/LOWM_EXT_HIGH	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_HIGH	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/LOWM_EXT_HIGH
LOWM_EXT_LOW	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_LOW/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_LOW	pq_etaaware	0.05	0.1	0.25	0.4	4	16	READY		pinn_subsonic/models/LOWM_EXT_LOW/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/LOWM_EXT_LOW	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_LOW	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/LOWM_EXT_LOW
LOWM_EXT_MID	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_MID/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_MID	pq_etaaware	0.05	0.1	0.35	0.55	4	16	READY		pinn_subsonic/models/LOWM_EXT_MID/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/LOWM_EXT_MID	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_MID	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/LOWM_EXT_MID
LOWM_EXT_NEUTRAL1	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_NEUTRAL1/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_NEUTRAL1	pq_etaaware	0.05	0.1	0.65	0.8	4	16	READY		pinn_subsonic/models/LOWM_EXT_NEUTRAL1/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/LOWM_EXT_NEUTRAL1	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_NEUTRAL1	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/LOWM_EXT_NEUTRAL1
LOWM_EXT_NEUTRAL2	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_NEUTRAL2/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_NEUTRAL2	pq_etaaware	0.05	0.1	0.8	0.92	4	16	READY		pinn_subsonic/models/LOWM_EXT_NEUTRAL2/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/LOWM_EXT_NEUTRAL2	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_NEUTRAL2	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/LOWM_EXT_NEUTRAL2
LOWM_EXT_NEUTRAL3	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_NEUTRAL3/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_NEUTRAL3	pq_etaaware	0.05	0.1	0.92	0.98	4	16	READY		pinn_subsonic/models/LOWM_EXT_NEUTRAL3/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/LOWM_EXT_NEUTRAL3	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_NEUTRAL3	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/LOWM_EXT_NEUTRAL3
LOWM_EXT_VLOW_EXTREME	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_VLOW_EXTREME/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_VLOW_EXTREME	pQscaled	0.05	0.1	0.05	0.12	4	16	READY		pinn_subsonic/models/LOWM_EXT_VLOW_EXTREME/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/LOWM_EXT_VLOW_EXTREME	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_VLOW_EXTREME	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/LOWM_EXT_VLOW_EXTREME
LOWM_EXT_VLOW_MOD	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_VLOW_MOD/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_VLOW_MOD	pQscaled	0.05	0.1	0.12	0.25	4	16	READY		pinn_subsonic/models/LOWM_EXT_VLOW_MOD/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/LOWM_EXT_VLOW_MOD	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/LOWM_EXT_VLOW_MOD	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/LOWM_EXT_VLOW_MOD
MID	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/MID/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/MID	pq_legacy	0.1	0.7	0.35	0.55	7	28	COMPLETE	joint result already present	pinn_subsonic/models/MID/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/MID	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/MID	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/MID
NEUTRAL1_HIM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL1_HIM/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL1_HIM	pq_legacy	0.35	0.7	0.65	0.8	8	32	READY		pinn_subsonic/models/NEUTRAL1_HIM/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/NEUTRAL1_HIM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL1_HIM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/NEUTRAL1_HIM
NEUTRAL1_LOWM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL1_LOWM/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL1_LOWM	pq_legacy	0.1	0.4	0.65	0.8	7	28	READY		pinn_subsonic/models/NEUTRAL1_LOWM/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/NEUTRAL1_LOWM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL1_LOWM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/NEUTRAL1_LOWM
NEUTRAL2_HIM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL2_HIM/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL2_HIM	pq_legacy	0.35	0.7	0.8	0.92	8	32	READY		pinn_subsonic/models/NEUTRAL2_HIM/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/NEUTRAL2_HIM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL2_HIM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/NEUTRAL2_HIM
NEUTRAL2_LOWM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL2_LOWM/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL2_LOWM	pq_legacy	0.1	0.4	0.8	0.92	7	28	READY		pinn_subsonic/models/NEUTRAL2_LOWM/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/NEUTRAL2_LOWM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL2_LOWM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/NEUTRAL2_LOWM
NEUTRAL3_HIM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL3_HIM/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL3_HIM	pq_legacy	0.35	0.7	0.92	0.98	8	32	READY		pinn_subsonic/models/NEUTRAL3_HIM/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/NEUTRAL3_HIM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL3_HIM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/NEUTRAL3_HIM
NEUTRAL3_LOWM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL3_LOWM/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL3_LOWM	pq_legacy	0.1	0.4	0.92	0.98	7	28	READY		pinn_subsonic/models/NEUTRAL3_LOWM/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/NEUTRAL3_LOWM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/NEUTRAL3_LOWM	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/NEUTRAL3_LOWM
ULTRALOW_M002_006_eta002_006	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/ULTRALOW_M002_006_eta002_006/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/ULTRALOW_M002_006_eta002_006	pQscaled	0.02	0.06	0.02	0.06	5	20	READY		pinn_subsonic/models/ULTRALOW_M002_006_eta002_006/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/ULTRALOW_M002_006_eta002_006	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/ULTRALOW_M002_006_eta002_006	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/ULTRALOW_M002_006_eta002_006
VLOW_EXTREME_CI_ONLY	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/VLOW_EXTREME_CI_ONLY/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/VLOW_EXTREME_CI_ONLY	pQscaled	0.1	0.7	0.05	0.12	7	28	READY		pinn_subsonic/models/VLOW_EXTREME_CI_ONLY/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/VLOW_EXTREME_CI_ONLY	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/VLOW_EXTREME_CI_ONLY	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/VLOW_EXTREME_CI_ONLY
VLOW_MOD_QSCALED	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/VLOW_MOD_QSCALED/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/VLOW_MOD_QSCALED	pQscaled	0.1	0.7	0.12	0.25	7	28	READY		pinn_subsonic/models/VLOW_MOD_QSCALED/model_state.pt	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/modal/VLOW_MOD_QSCALED	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/joint/VLOW_MOD_QSCALED	/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340_p1f_seed3456/gep/VLOW_MOD_QSCALED
