alpha,Mach,best_status,y,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,p_real,p_imag
0.1,1.8,validated,-50.707376659579765,0.4490693457113085,-0.24276728577475298,0.09278406328648298,-0.0560078588657322,-0.231654600323403,0.12281780544256138,0.13860164991089766,-0.07492817462183735
0.1,1.8,validated,-50.197626664611505,0.41871140767081944,-0.2981208378833132,0.08578839286751636,-0.06744031209720623,-0.21629295100621038,0.15137400882998872,0.12923191594778377,-0.09201260428497321
0.1,1.8,validated,-49.69776369988991,0.38231400359185036,-0.3487201709291603,0.07755989339880602,-0.07780370379897564,-0.19780961641457392,0.1775135528953578,0.11799814925674393,-0.1076296823855433
0.1,1.8,validated,-49.20750269548334,0.34067311456608496,-0.3940360034368154,0.06827269713169203,-0.08699381553853096,-0.17661121405888086,0.20096128354871962,0.10514602301422374,-0.12161605044346152
0.1,1.8,validated,-48.7265694360815,0.294602076976972,-0.4336624855738661,0.05810337270699658,-0.09493277903744243,-0.15311378886131768,0.22150536961425277,0.09092656696820123,-0.1338464461647735
0.1,1.8,validated,-48.25470004922752,0.24491583690461757,-0.467310252145154,0.0472276561191064,-0.10156744427747595,-0.12773469722710462,0.2389938003349257,0.07559130768661036,-0.14423155930405984
0.1,1.8,validated,-47.79164052223301,0.19241729925608886,-0.4947983041189914,0.035817637699767396,-0.10686752029406406,-0.1008855621027023,0.25333027248816836,0.05938805532595334,-0.15271552596265167
0.1,1.8,validated,-47.337146245919165,0.13788590816001045,-0.5160449285043092,0.024039431961701788,-0.11082353452799738,-0.07296637002126292,0.2644695743085048,0.042557379061731626,-0.1592731260815769
0.1,1.8,validated,-46.89098158346118,0.08206812444676397,-0.5310581460389545,0.012051254502163497,-0.11344471116349568,-0.04436054053619317,0.27241271899706115,0.025329668039124682,-0.1639068351972082
0.1,1.8,validated,-46.452919462739956,0.025669853020354152,-0.5399258509333015,1.9155092716599153e-06,-0.11475680381491517,-0.015430995847775977,0.2772019119548694,0.00792279414208462,-0.16664378115225353
0.1,1.8,validated,-46.02274099071834,-0.03064936148590283,-0.5428059422015855,-0.011970311659981935,-0.11479994425136544,0.013482861405415143,0.27891550633712675,-0.009459679470957666,-0.16753269821036587
0.1,1.8,validated,-45.600235088467215,-0.08628060768531429,-0.5399166619485831,-0.023738499241565746,-0.11362655044287805,0.04206738297510584,0.27766305852822665,-0.026629817186825392,-0.166640945045859
0.1,1.8,validated,-45.185198145561344,-0.14066859541470106,-0.531527258185737,-0.03518760459678935,-0.11129931637813857,0.07003624849923615,0.27358054494946077,-0.043416233152685516,-0.1640516228968324
0.1,1.8,validated,-44.77743369265764,-0.1933132735297558,-0.5179490963001581,-0.04621472370220289,-0.1078893108342424,0.097131333398446,0.2668258035953657,-0.05966459059560365,-0.1598608321914068
0.1,1.8,validated,-44.37675209114854,-0.24377054613214227,-0.49952728872912433,-0.05672915867336441,-0.10347419512501511,0.12312311156598638,0.25757423797135715,-0.07523782288029082,-0.15417508911392724
0.1,1.8,validated,-43.982970238860794,-0.2916519736812918,-0.4766329280364185,-0.06665227610205231,-0.09813657903925284,0.14781053417813808,0.24601482671743943,-0.09001604125965795,-0.147108928406302
0.1,1.8,validated,-43.59591129084031,-0.336623707615225,-0.44965597807684377,-0.07591720948201058,-0.0919625240600237,0.17102051209232386,0.23234646803979225,-0.10389620605408179,-0.13878270928297645
0.1,1.8,validated,-43.21540439432842,-0.37840482348869325,-0.4189988281814323,-0.08446844076502907,-0.08504019324797818,0.1926070865615125,0.21677466217026034,-0.11679161218786828,-0.12932062598192354
0.1,1.8,validated,-42.841284437094686,-0.4167652308936713,-0.3850704444157378,-0.0922612981860485,-0.07745863200698339,0.21245038009720832,0.19950849872454168,-0.12863124410298496,-0.11884890259744993
0.1,1.8,validated,-42.47339180834825,-0.4515230610122556,-0.34828125592520265,-0.09926135072228143,-0.06930670999898159,0.2304552759827357,0.18075801943115707,-0.139358969448227,-0.1074942147917292
0.1,1.8,validated,-42.111572171499844,-0.4825418782275927,-0.30903857603594703,-0.10544377063120915,-0.06067217823373176,0.24655000519651407,0.16073185478144225,-0.14893267846530642,-0.09538227655430462
0.1,1.8,validated,-41.75567624809449,-0.5097276091736058,-0.2677426728138603,-0.1107926426135466,-0.05164086673219985,0.26068458550779516,0.1396351930688719,-0.15732333616469316,-0.08263662741168529
0.1,1.8,validated,-41.405559612280136,-0.5330253312397408,-0.22478343274723186,-0.11530024914973054,-0.04229600938577503,0.27282918591956334,0.11766805347486839,-0.16451399112337678,-0.06937760269976291
0.1,1.8,validated,-41.06108249521719,-0.5524160033512613,-0.18053756607994031,-0.11896634905429303,-0.03271768426110161,0.2829724592098532,0.09502383710895138,-0.17049876646643866,-0.05572147101232725
