Mach,alpha,rank,selected,status,reason,gep_cr,gep_ci,gep_omega_i,ci_seed_blumen,cr_seed_blumen,gep_score,gep_ci_distance_to_seed,gep_cr_distance_to_seed,gep_p_edge_fraction,gep_rho_edge_fraction,n_finite_modes,cr_seed_used,cr_seed_source,gep_abs_cr_distance_to_seed,gep_abs_ci_distance_to_seed,gep_ci_relative_distance_to_seed,gep_revised_score,ci_min_used,ci_max_used,selection_policy
1.8,0.258,48,False,rejected,rejected_negative_cr_branch,-0.999999806683545,8.331130080697135e-08,2.149431560819861e-08,0.001353700631373911,,0.0054144917614899445,0.001353617320073104,0.0,2.9974930038574204e-08,2.997493003857421e-08,251,0.4444444444444444,asymptotic_fallback,1.4444442511279894,0.001353617320073104,0.9999384566285364,1.3221606721824288,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,49,False,rejected,rejected_negative_cr_branch,-0.9999999291360504,2.9000717859365418e-08,7.482185207716278e-09,0.001353700631373911,,0.005414721721278629,0.0013536716306560518,0.0,4.693153922927789e-08,4.693153922927789e-08,251,0.4444444444444444,asymptotic_fallback,1.4444443735804948,0.0013536716306560518,0.9999785767124671,1.3222008000846457,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,50,False,rejected,rejected_by_ci_window,0.9999999291360622,2.9000719486649825e-08,7.482185627555654e-09,0.001353700631373911,,0.00541472177031712,0.0013536716306544244,0.0,4.6996932563394157e-08,4.699693256339416e-08,251,0.4444444444444444,asymptotic_fallback,0.5555554846916178,0.0013536716306544244,0.999978576711265,1.2777563556455391,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,51,False,rejected,rejected_negative_cr_branch,-1.0364333590864654,5.048144879342357e-16,1.3024213788703282e-16,0.001353700631373911,,0.005414811645790116,0.0013537006313734062,0.0,1.216039532158106e-08,1.2160395321581062e-08,251,0.4444444444444444,asymptotic_fallback,1.4808778035309098,0.0013537006313734062,0.9999999999996271,1.3240438913922121,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,52,False,rejected,rejected_by_ci_window,1.0364333590864623,5.190410202389718e-16,1.339125832216547e-16,0.001353700631373911,,0.005414811646477307,0.001353700631373392,0.0,1.2161311651894622e-08,1.216131165189462e-08,251,0.4444444444444444,asymptotic_fallback,0.5919889146420179,0.001353700631373392,0.9999999999996165,1.2795994469478487,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,53,False,rejected,rejected_by_ci_window,0.9999999765961378,8.721303027357847e-09,2.2500961810583245e-09,0.001353700631373911,,0.005414813027975086,0.0013536919100708836,0.0,6.051692206900368e-08,6.051692206900366e-08,251,0.4444444444444444,asymptotic_fallback,0.5555555321516934,0.0013536919100708836,0.9999935574359461,1.277771340095223,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,54,False,rejected,rejected_by_ci_window,1.1601039319319655,4.4004085978045065e-15,1.1353054182335627e-15,0.001353700631373911,,0.005414819013003063,0.0013537006313695107,0.0,2.198336669256082e-08,2.1983366692560816e-08,251,0.4444444444444444,asymptotic_fallback,0.7156594874875211,0.0013537006313695107,0.9999999999967494,1.285782976569462,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,55,False,rejected,rejected_negative_cr_branch,-0.9999999765961295,8.721325113372596e-09,2.2501018792501298e-09,0.001353700631373911,,0.005414837038490285,0.0013536919100487976,0.0,9.253106012680781e-08,9.253106012680784e-08,251,0.4444444444444444,asymptotic_fallback,1.4444444210405738,0.0013536919100487976,0.9999935574196308,1.3222157877247656,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,56,False,rejected,rejected_by_ci_window,0.9999999931603477,2.1415536817181246e-09,5.525208498832762e-10,0.001353700631373911,,0.0054148729680552335,0.0013536984898202293,0.0,1.0534503242142883e-07,1.0534503242142883e-07,251,0.4444444444444444,asymptotic_fallback,0.5555555487159033,0.0013536984898202293,0.9999984180005297,1.2777762059708282,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,57,False,rejected,rejected_negative_cr_branch,-0.9999999931603762,2.141598410525312e-09,5.525323899155305e-10,0.001353700631373911,,0.005414974285989952,0.0013536984897755005,0.0,2.404358505992576e-07,2.404358505992576e-07,251,0.4444444444444444,asymptotic_fallback,1.4444444376048207,0.0013536984897755005,0.9999984179674879,1.322220663891314,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,58,False,rejected,rejected_by_ci_window,0.9999999982712567,3.6238817648503933e-10,9.349614953314015e-11,0.001353700631373911,,0.005415137105645551,0.0013537002689857345,0.0,4.480396034837691e-07,4.480396034837692e-07,251,0.4444444444444444,asymptotic_fallback,0.5555555538268123,0.0013537002689857345,0.9999997322981403,1.2777775547934414,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,59,False,rejected,rejected_negative_cr_branch,-0.9999999982711504,3.624026218646014e-10,9.349987644106716e-11,0.001353700631373911,,0.005415449168644934,0.0013537002689712893,0.0,8.641236797026525e-07,8.641236797026523e-07,251,0.4444444444444444,asymptotic_fallback,1.4444444427155947,0.0013537002689712893,0.9999997322874693,1.322222040835617,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,60,False,rejected,rejected_negative_cr_branch,-0.1426200048975092,1.8337971041284078e-15,4.731196528651292e-16,0.001353700631373911,,0.005415859316879085,0.0013537006313720772,0.0,1.4090551877015558e-06,1.4090551877015556e-06,251,0.4444444444444444,asymptotic_fallback,0.5870644493419537,0.0013537006313720772,0.9999999999986453,1.0293533633712617,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,61,False,rejected,rejected_by_ci_window,1.4064457630805753,7.61841720761766e-15,1.9655516395653564e-15,0.001353700631373911,,0.005416031418750007,0.0013537006313662926,0.0,1.6385243797815322e-06,1.6385243797815326e-06,251,0.4444444444444444,asymptotic_fallback,0.9620013186361309,0.0013537006313662926,0.9999999999943722,1.2981002297786168,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,62,False,rejected,rejected_by_ci_window,0.06978622190633679,2.4118531088837366e-17,6.222581020920041e-18,0.001353700631373911,,0.005426158134156662,0.001353700631373887,0.0,1.514081154815188e-05,1.5140811548151884e-05,251,0.4444444444444444,asymptotic_fallback,0.37465822253810765,0.001353700631373887,0.9999999999999822,1.0187344252080426,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,63,False,rejected,rejected_negative_cr_branch,-0.1171912498417144,1.8603118589367292e-15,4.799604596056762e-16,0.001353700631373911,,0.0054360442336951606,0.0013537006313720508,0.0,2.8322277609276073e-05,2.8322277609276076e-05,251,0.4444444444444444,asymptotic_fallback,0.5616356942861588,0.0013537006313720508,0.9999999999986258,1.0280846169406948,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,64,False,rejected,rejected_negative_cr_branch,-0.3251562444906849,9.377949481602682e-15,2.419510966253492e-15,0.001353700631373911,,0.005495377858923136,0.0013537006313645331,0.0,0.0001074337779533377,0.00010743377795333768,251,0.4444444444444444,asymptotic_fallback,0.7696006889351293,0.0013537006313645331,0.9999999999930724,1.0384907778176242,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,65,False,rejected,rejected_negative_cr_branch,-1.5098567113333943,3.0672401592187483e-16,7.91347961078437e-17,0.001353700631373911,,0.005543586138428424,0.0013537006313736042,0.0,0.00017171148391200962,0.00017171148391200962,251,0.4444444444444444,asymptotic_fallback,1.9543011557778387,0.0013537006313736042,0.9999999999997733,1.3477322289370564,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,66,False,rejected,rejected_by_ci_window,1.5098567113334,4.904378057606507e-16,1.2653295388624788e-16,0.001353700631373911,,0.005543586138455614,0.0013537006313734206,0.0,0.00017171148394924264,0.00017171148394924261,251,0.4444444444444444,asymptotic_fallback,1.0654122668889556,0.0013537006313734206,0.9999999999996376,1.3032877844924804,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,67,False,rejected,rejected_negative_cr_branch,-0.20613962507411723,3.8191525120804785e-16,9.853413481167635e-17,0.001353700631373911,,0.005607065797972595,0.0013537006313735292,0.0,0.00025635102997130423,0.00025635102997130423,251,0.4444444444444444,asymptotic_fallback,0.6505840695185616,0.0013537006313735292,0.9999999999997179,1.032554838578643,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,68,False,rejected,rejected_negative_cr_branch,-0.2658064474325279,5.930035445602128e-16,1.5299491449653492e-16,0.001353700631373911,,0.0059117095544345,0.001353700631373318,0.0,0.000662542705254971,0.000662542705254971,251,0.4444444444444444,asymptotic_fallback,0.7102508918769723,0.001353700631373318,0.9999999999995619,1.035578798863936,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,69,False,rejected,rejected_negative_cr_branch,-0.9886729204702722,0.002915465436586674,0.0007521900826393618,0.001353700631373911,,0.006247059387372309,0.0015617648052127628,0.0,2.2202834313898417e-10,2.2202834313898417e-10,251,0.4444444444444444,asymptotic_fallback,1.4331173649147166,0.0015617648052127628,1.1537002857328074,1.475356154000746,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,70,False,not_run,gep_candidate_not_selected_ci_first,0.988672920470275,0.002915465436589349,0.0007521900826400522,0.001353700631373911,,0.00624705938847866,0.0015617648052154382,0.0,2.2348920920789111e-10,2.234892092078912e-10,251,0.4444444444444444,asymptotic_fallback,0.5442284760258306,0.0015617648052154382,1.1537002857347836,1.430911709558424,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,71,False,rejected,rejected_by_ci_window,0.31418644559027703,2.4642046804163305e-14,6.357648075474133e-15,0.001353700631373911,,0.006646515213988971,0.001353700631349269,0.0,0.0016422835847891928,0.0016422835847891924,251,0.4444444444444444,asymptotic_fallback,0.1302579988541674,0.001353700631349269,0.9999999999817966,1.0066771282829838,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,72,False,rejected,rejected_negative_cr_branch,-0.31418644559026815,6.316778192812015e-15,1.6297287737455e-15,0.001353700631373911,,0.006646515214241018,0.0013537006313675943,0.0,0.0016422835850275204,0.0016422835850275206,251,0.4444444444444444,asymptotic_fallback,0.7586308900347125,0.0013537006313675943,0.9999999999953337,1.0380957728555722,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
