Mach,alpha,n_success_settings,cr_min,cr_max,cr_range,ci_min,ci_max,ci_range,max_stage1,max_edge_frac,max_center_jump,max_modal_rel_l2,convergence_status,reject_reasons
1.9,0.1275,4,0.4886757359999999,0.4886757359999999,0.0,0.0189754,0.0189754,0.0,1.9181198554732615e-06,0.0027973476467481073,0.0029158515865392084,0.05015562554700847,converged_requires_visual_confirmation,
1.9,0.13,4,0.489476736,0.489476736,0.0,0.01860968,0.01860968,0.0,4.105861556386649e-07,0.0027993025714305115,0.002917133102016755,0.05066825025730705,converged_requires_visual_confirmation,
1.9,0.1325,4,0.4902761599999999,0.4902761599999999,0.0,0.018226396,0.018226396,0.0,6.338039834019177e-07,0.0028296935705711783,0.00294629968953723,0.05125742079030237,converged_requires_visual_confirmation,
1.9,0.135,4,0.4910694399999999,0.4910694399999999,0.0,0.01783492,0.01783492,0.0,1.547038413224928e-06,0.0028814867886543987,0.0029425432075338453,0.051968745422080645,converged_requires_visual_confirmation,
1.9,0.1375,4,0.49184838399999986,0.49184838399999986,0.0,0.017431156,0.017431156,0.0,1.8017087906762484e-06,0.00296031637679847,0.0029436542490529475,0.052847114550865035,converged_requires_visual_confirmation,
1.9,0.14,4,0.4926027519999999,0.4926027519999999,0.0,0.0170192,0.0170192,0.0,1.8963409233459165e-06,0.003064733755440444,0.002937320465420105,0.05381119402085286,converged_requires_visual_confirmation,
1.9,0.1425,4,0.4933714239999999,0.4933714239999999,0.0,0.016589868,0.016589868,0.0,1.053316754506387e-06,0.0032080049811924532,0.002947518708788351,0.054786294011159344,converged_requires_visual_confirmation,
1.9,0.145,4,0.49411142399999985,0.49411142399999985,0.0,0.01615644,0.01615644,0.0,1.5315388028382795e-06,0.0033803323035970635,0.0029349386427569885,0.055766938392103886,converged_requires_visual_confirmation,
1.9,0.1475,4,0.49485142399999993,0.49485142399999993,0.0,0.015706628,0.015706628,0.0,1.3551981960462048e-06,0.003601776551092957,0.0029523425459893667,0.05688315641891009,converged_requires_visual_confirmation,
1.9,0.15,4,0.4955914239999999,0.4955914239999999,0.0,0.01525272,0.01525272,0.0,1.5718103762566837e-06,0.003864481527137091,0.0029142368864034664,0.058147449947028945,converged_requires_visual_confirmation,
1.9,0.1525,4,0.496312,0.496312,0.0,0.014784488000000002,0.014784488000000002,0.0,1.3642603664565643e-06,0.004191365666715355,0.0029237236663256175,0.059523702391099775,converged_requires_visual_confirmation,
1.9,0.155,4,0.49702438400000004,0.49702438400000004,0.0,0.014303968,0.014303968,0.0,1.6145870675490855e-06,0.004592952530394806,0.002952985984232374,0.06094597922363233,converged_requires_visual_confirmation,
1.9,0.1575,4,0.497728576,0.497728576,0.0,0.013819352,0.013819352,0.0,1.7309825639121562e-06,0.005070324786682284,0.0029471120624025137,0.062410005750517736,converged_requires_visual_confirmation,
1.9,0.16,4,0.4984245759999999,0.4984245759999999,0.0,0.013324496,0.013324496,0.0,2.123279214090204e-06,0.005652696274359913,0.002951485515528586,0.0639336904463052,converged_requires_visual_confirmation,
1.9,0.1625,4,0.499104,0.499104,0.0,0.012826028,0.012826028,0.0,3.732318367280158e-07,0.006348836286260675,0.0029383861028024925,0.0654173468252939,converged_requires_visual_confirmation,
1.9,0.165,4,0.499783424,0.499783424,0.0,0.01231732,0.01231732,0.0,9.1089375675777e-07,0.007203374916658876,0.002925002319705933,0.0668444134351218,converged_requires_visual_confirmation,
1.9,0.1675,4,0.5004505600000001,0.5004505600000001,0.0,0.011798371999999899,0.011798371999999899,0.0,1.0907653447939507e-06,0.00825769627393849,0.002937685964481539,0.06828733157456887,converged_requires_visual_confirmation,
1.9,0.17,4,0.5011238400000001,0.5011238400000001,0.0,0.0112712319999999,0.0112712319999999,0.0,2.4882548166813948e-06,0.009558272324392863,0.0029245024244240066,0.0698495447192844,converged_requires_visual_confirmation,
1.9,0.1725,4,0.5017640320000001,0.5017640320000001,0.0,0.010739371999999999,0.010739371999999999,0.0,2.16071599596331e-06,0.011156363980523908,0.002950079969548221,0.07156206797248228,converged_requires_visual_confirmation,
1.9,0.175,4,0.5024185600000001,0.5024185600000001,0.0,0.01019932,0.01019932,0.0,8.00968374620318e-07,0.013151479692025314,0.0029335702395169045,0.07337846385136335,converged_requires_visual_confirmation,
1.9,0.1775,4,0.50305056,0.50305056,0.0,0.009649028,0.009649028,0.0,2.277531880888734e-06,0.015673857979742405,0.002977512813118324,0.07537897641266582,converged_requires_visual_confirmation,
