====================================================================================================
PHASE 7 — INPUTS
====================================================================================================
seeded rows  = 401
generic rows = 401

====================================================================================================
PAIRING INTEGRITY
====================================================================================================
paired rows       = 401
max |delta Mach|  = 0.000e+00
max |delta alpha| = 0.000e+00
max |delta crref| = 0.000e+00
max |delta ciref| = 0.000e+00

====================================================================================================
PHASE 7 — CONDITION SUMMARY
====================================================================================================
condition   n  technical_success  target_recovery  target_error_median  target_error_p90  target_error_p95  target_error_p99  target_error_max  error_le_1e-5  error_le_1e-4
   SEEDED 401                401              400       3.64713869e-06    6.53293841e-06    8.11737120e-06    1.02388794e-05    9.77821595e-02            396            400
  GENERIC 401                401                1       4.52000431e-01    6.59997210e-01    7.61470914e-01    7.63493353e-01    7.87232530e-01              1              1

====================================================================================================
PHASE 7 — PAIRED DISCORDANCES
====================================================================================================
TARGET BRANCH
both recovered  = 1
seeded only     = 399
generic only    = 0
neither         = 1
exact paired p  = 1.5490367659397273e-120

TECHNICAL SUCCESS
both technical  = 401
seeded only     = 0
generic only    = 0
neither         = 0
exact paired p  = 1.0000000000000000e+00

====================================================================================================
PHASE 7 — PAIRED TARGET ERROR
====================================================================================================
generic - seeded median = 4.51997630e-01
generic - seeded mean   = 4.67984698e-01
generic - seeded p95    = 7.61463667e-01
seeded lower error      = 400
generic lower error     = 1
ties                    = 0

====================================================================================================
PHASE 7 — BY CHART
====================================================================================================
chart  n  seeded_technical  generic_technical  seeded_recovery  generic_recovery  seeded_only  generic_only  seeded_error_median  generic_error_median
  C00 28                28                 28               27                 0           27             0        2.9679643e-06         7.6146788e-01
  C01 41                41                 41               41                 1           40             0        4.2430366e-06         6.2339256e-01
  C02 62                62                 62               62                 0           62             0        3.4758406e-06         5.5404049e-01
  C10 25                25                 25               25                 0           25             0        3.9936405e-06         5.4287170e-01
  C11 33                33                 33               33                 0           33             0        3.3159411e-06         4.8008831e-01
  C12 34                34                 34               34                 0           34             0        3.3929923e-06         4.4119266e-01
  C20 25                25                 25               25                 0           25             0        4.0422751e-06         4.3161135e-01
  C21 32                32                 32               32                 0           32             0        3.4943377e-06         3.8650093e-01
  C22 22                22                 22               22                 0           22             0        3.8773094e-06         3.5924264e-01
  C30 39                39                 39               39                 0           39             0        3.7484679e-06         3.3800414e-01
  C31 48                48                 48               48                 0           48             0        3.5193762e-06         3.0374172e-01
  C32 12                12                 12               12                 0           12             0        3.5564028e-06         3.0432748e-01

====================================================================================================
PHASE 7 — FAILURES / DISCORDANCES
====================================================================================================
          Mach          alpha atlas_chart    cr_reference   ci_reference      seeded_cr      seeded_ci  seeded_technical   seeded_error  seeded_recovery     generic_cr     generic_ci  generic_technical  generic_error  generic_recovery
1.45000000e+00 2.00000000e-01         C21  3.62656609e-01 3.02003605e-02 3.62657039e-01 3.02025977e-02              True 2.27805980e-06             True 7.61458333e-01 1.00000000e-06               True 3.99943517e-01             False
1.45000000e+00 2.10000000e-01         C22  3.66270294e-01 2.65184655e-02 3.66273677e-01 2.65193347e-02              True 3.49279271e-06             True 7.61458333e-01 5.66857639e-05               True 3.96072989e-01             False
1.45000000e+00 2.15000000e-01         C22  3.68004913e-01 2.46595970e-02 3.68003776e-01 2.46551457e-02              True 4.59435057e-06             True 7.61458333e-01 3.13674769e-05               True 3.94223469e-01             False
1.45000000e+00 2.25000000e-01         C22  3.71341130e-01 2.09102436e-02 3.71336949e-01 2.09126863e-02              True 4.84287813e-06             True 7.61458333e-01 3.60434028e-05               True 3.90675267e-01             False
1.45000000e+00 2.40000000e-01         C22  3.76043213e-01 1.52183369e-02 3.76038344e-01 1.52182148e-02              True 4.87013124e-06             True 7.61458333e-01 1.97673611e-05               True 3.85714676e-01             False
1.45000000e+00 2.50000000e-01         C22  3.78997367e-01 1.13861722e-02 3.78996714e-01 1.13851737e-02              True 1.19295823e-06             True 7.61458333e-01 3.82395833e-05               True 3.82629280e-01             False
1.45000000e+00 2.65000000e-01         C22  3.83188777e-01 5.59296924e-03 3.83188881e-01 5.59289019e-03              True 1.30828004e-07             True 7.61718750e-01 7.87120226e-06               True 3.78571174e-01             False
1.50000000e+00 5.00000000e-02         C20  2.86788484e-01 5.78781158e-02 2.86790432e-01 5.78781989e-02              True 1.95046149e-06             True 7.61458333e-01 6.35578704e-05               True 4.78177780e-01             False
1.50000000e+00 6.50000000e-02         C20  3.03578985e-01 5.86404622e-02 3.03577896e-01 5.86398983e-02              True 1.22623285e-06             True 7.61458333e-01 3.82395833e-05               True 4.61614253e-01             False
1.50000000e+00 7.50000000e-02         C20  3.13209052e-01 5.81127148e-02 3.13211851e-01 5.81125937e-02              True 2.80164950e-06             True 7.61458333e-01 1.00000000e-06               True 4.52000431e-01             False
1.50000000e+00 9.00000000e-02         C20  3.25850425e-01 5.62632320e-02 3.25847081e-01 5.62590517e-02              True 5.35340083e-06             True 7.61458333e-01 1.77057292e-05               True 4.39224098e-01             False
1.50000000e+00 1.00000000e-01         C20  3.33298019e-01 5.45024471e-02 3.33289754e-01 5.45018149e-02              True 8.28835661e-06             True 7.61458333e-01 3.13674769e-05               True 4.31611346e-01             False
1.50000000e+00 1.15000000e-01         C20  3.43280731e-01 5.12712830e-02 3.43283378e-01 5.12698294e-02              True 3.01972595e-06             True 7.61458333e-01 1.17811343e-04               True 4.21294653e-01             False
1.50000000e+00 1.20000000e-01         C21  3.46335009e-01 5.00656878e-02 3.46331979e-01 5.00683650e-02              True 4.04351419e-06             True 7.61458333e-01 1.00000000e-06               True 4.18131376e-01             False
1.50000000e+00 1.35000000e-01         C21  3.54799953e-01 4.61383484e-02 3.54798418e-01 4.61386763e-02              True 1.57001744e-06             True 7.61458333e-01 1.00000000e-06               True 4.09267264e-01             False
1.50000000e+00 1.45000000e-01         C21  3.59932324e-01 4.33022951e-02 3.59931402e-01 4.33043037e-02              True 2.21028583e-06             True 7.61458333e-01 6.35578704e-05               True 4.03847402e-01             False
1.50000000e+00 1.55000000e-01         C21  3.64711458e-01 4.03227694e-02 3.64711669e-01 4.03223799e-02              True 4.42991789e-07             True 7.61458333e-01 1.21718750e-05               True 3.98789453e-01             False
1.50000000e+00 1.65000000e-01         C21  3.69176891e-01 3.72207593e-02 3.69176129e-01 3.72185983e-02              True 2.29148982e-06             True 7.61458333e-01 3.39817708e-05               True 3.94040082e-01             False
1.50000000e+00 1.80000000e-01         C21  3.75359702e-01 3.23754102e-02 3.75361897e-01 3.23749244e-02              True 2.24786212e-06             True 7.61458333e-01 1.00000000e-06               True 3.87453553e-01             False
1.50000000e+00 1.95000000e-01         C21  3.81007532e-01 2.73406566e-02 3.81006081e-01 2.73413353e-02              True 1.60184677e-06             True 7.61458333e-01 1.00000000e-06               True 3.81431867e-01             False
1.50000000e+00 2.10000000e-01         C22  3.86198113e-01 2.21540100e-02 3.86200437e-01 2.21541667e-02              True 2.32986766e-06             True 7.61458333e-01 1.77057292e-05               True 3.75912555e-01             False
1.50000000e+00 2.25000000e-01         C22  3.90995309e-01 1.68455808e-02 3.90998687e-01 1.68486343e-02              True 4.55348118e-06             True 7.61458333e-01 3.13674769e-05               True 3.70844402e-01             False
1.50000000e+00 2.30000000e-01         C22  3.92516376e-01 1.50534185e-02 3.92515064e-01 1.50536533e-02              True 1.33276116e-06             True 7.61718750e-01 2.53356964e-05               True 3.69508100e-01             False
1.50000000e+00 2.50000000e-01         C22  3.98256268e-01 7.79228510e-03 3.98255558e-01 7.79234521e-03              True 7.11970185e-07             True 7.61458333e-01 1.97673611e-05               True 3.63285222e-01             False
1.50000000e+00 2.60000000e-01         C22  4.00940283e-01 4.11565554e-03 4.00948251e-01 4.11651019e-03              True 8.01288065e-06             True 7.61458333e-01 3.82395833e-05               True 3.60541107e-01             False
1.50000000e+00 2.70000000e-01         C22  4.03514363e-01 4.16521673e-04 4.03518959e-01 4.14533593e-04              True 5.00801745e-06             True 7.61458333e-01 3.39817708e-05               True 3.57944175e-01             False
1.55000000e+00 5.50000000e-02         C20  3.18826239e-01 5.00136696e-02 3.18831103e-01 5.00150823e-02              True 5.06511042e-06             True 7.61458333e-01 6.35578704e-05               True 4.45441561e-01             False
1.55000000e+00 6.50000000e-02         C20  3.28493310e-01 5.07775753e-02 3.28491699e-01 5.07752096e-02              True 2.86177820e-06             True 7.61458333e-01 3.82395833e-05               True 4.35927966e-01             False
1.55000000e+00 7.50000000e-02         C20  3.37185521e-01 5.07066573e-02 3.37185950e-01 5.07058555e-02              True 9.09298434e-07             True 7.61458333e-01 1.00000000e-06               True 4.27292035e-01             False
1.55000000e+00 9.00000000e-02         C20  3.48712110e-01 4.94574826e-02 3.48715074e-01 4.94581690e-02              True 3.04220314e-06             True 7.61458333e-01 5.66857639e-05               True 4.15692054e-01             False
1.55000000e+00 1.00000000e-01         C20  3.55555106e-01 4.80504120e-02 3.55558014e-01 4.80518831e-02              True 3.25839233e-06             True 7.61458333e-01 3.13674769e-05               True 4.08733725e-01             False
1.55000000e+00 1.15000000e-01         C20  3.64779330e-01 4.52945808e-02 3.64784073e-01 4.52965290e-02              True 5.12742853e-06             True 7.61458333e-01 1.00000000e-06               True 3.99256485e-01             False
1.55000000e+00 1.25000000e-01         C21  3.70337164e-01 4.31153364e-02 3.70346466e-01 4.31184370e-02              True 9.80508835e-06             True 7.61458333e-01 3.60434028e-05               True 3.93486461e-01             False
1.55000000e+00 1.40000000e-01         C21  3.77926456e-01 3.94437042e-02 3.77930431e-01 3.94423030e-02              True 4.21411844e-06             True 7.61458333e-01 6.35578704e-05               True 3.85548306e-01             False
1.55000000e+00 1.55000000e-01         C21  3.84752588e-01 3.53855214e-02 3.84754412e-01 3.53855567e-02              True 1.82448945e-06             True 7.61458333e-01 1.00000000e-06               True 3.78363955e-01             False
1.55000000e+00 1.65000000e-01         C21  3.88940542e-01 3.25068501e-02 3.88947291e-01 3.25044910e-02              True 7.14918433e-06             True 7.61458333e-01 1.10939236e-04               True 3.73923789e-01             False
1.55000000e+00 1.75000000e-01         C21  3.92873806e-01 2.95124929e-02 3.92877178e-01 2.95120319e-02              True 3.40272174e-06             True 7.61458333e-01 5.66857639e-05               True 3.69759649e-01             False
1.55000000e+00 1.85000000e-01         C21  3.96578367e-01 2.64185407e-02 3.96580648e-01 2.64193233e-02              True 2.41119299e-06             True 7.61458333e-01 1.01102431e-05               True 3.65834382e-01             False
1.55000000e+00 1.95000000e-01         C21  4.00076922e-01 2.32386568e-02 4.00074871e-01 2.32381627e-02              True 2.11027220e-06             True 7.61458333e-01 1.00000000e-06               True 3.62127758e-01             False
1.55000000e+00 2.05000000e-01         C21  4.03389380e-01 1.99845465e-02 4.03386723e-01 1.99865416e-02              True 3.32287978e-06             True 7.61458333e-01 6.35578704e-05               True 3.58622672e-01             False
1.55000000e+00 2.10000000e-01         C22  4.04981385e-01 1.83328687e-02 4.04978262e-01 1.83329923e-02              True 3.12463356e-06             True 7.61458333e-01 6.01171875e-06               True 3.56947739e-01             False
1.55000000e+00 2.20000000e-01         C22  4.08046919e-01 1.49859444e-02 4.08043247e-01 1.49829350e-02              True 4.74697183e-06             True 7.61458333e-01 3.13674769e-05               True 3.53727674e-01             False
1.55000000e+00 2.25000000e-01         C22  4.09524089e-01 1.32927462e-02 4.09525419e-01 1.32942277e-02              True 1.99066704e-06             True 7.61458333e-01 3.60434028e-05               True 3.52183833e-01             False
1.55000000e+00 2.40000000e-01         C22  4.13752906e-01 8.14516828e-03 4.13756501e-01 8.14488371e-03              True 3.60685763e-06             True 7.61458333e-01 6.35578704e-05               True 3.47799334e-01             False
1.55000000e+00 2.55000000e-01         C22  4.17707935e-01 2.91224949e-03 4.17706758e-01 2.91393697e-03              True 2.05726844e-06             True 7.61458333e-01 1.00000000e-06               True 3.43762726e-01             False
1.60000000e+00 5.00000000e-02         C20  3.38698223e-01 4.21909590e-02 3.38699109e-01 4.21911937e-02              True 9.16467248e-07             True 7.61458333e-01 6.35578704e-05               True 4.24853891e-01             False
1.60000000e+00 6.00000000e-02         C20  3.47723074e-01 4.37857312e-02 3.47720327e-01 4.37872744e-02              True 3.15089307e-06             True 7.61458333e-01 3.82395833e-05               True 4.16041714e-01             False
1.60000000e+00 7.00000000e-02         C20  3.55924717e-01 4.44157004e-02 3.55917054e-01 4.44169499e-02              True 7.76421301e-06             True 7.61458333e-01 1.00000000e-06               True 4.07958551e-01             False
1.60000000e+00 8.00000000e-02         C20  3.63399991e-01 4.43109431e-02 3.63403524e-01 4.43088456e-02              True 4.10878087e-06             True 7.61458333e-01 5.66857639e-05               True 4.00510778e-01             False
1.60000000e+00 9.50000000e-02         C20  3.73443147e-01 4.31154410e-02 3.73439354e-01 4.31153016e-02              True 3.79594046e-06             True 7.61458333e-01 3.13674769e-05               True 3.90399823e-01             False
1.60000000e+00 1.05000000e-01         C20  3.79468951e-01 4.17841166e-02 3.79471776e-01 4.17789720e-02              True 5.86927255e-06             True 7.61458333e-01 1.00000000e-06               True 3.84267768e-01             False
1.60000000e+00 1.15000000e-01         C20  3.85033517e-01 4.01163544e-02 3.85029351e-01 4.01156617e-02              True 4.22355907e-06             True 7.61458333e-01 6.35578704e-05               True 3.78549691e-01             False
1.60000000e+00 1.30000000e-01         C21  3.92630872e-01 3.71067899e-02 3.92633829e-01 3.71044494e-02              True 3.77105812e-06             True 7.61458333e-01 3.82395833e-05               True 3.70685545e-01             False
1.60000000e+00 1.45000000e-01         C21  3.99460063e-01 3.36135353e-02 3.99458321e-01 3.36185590e-02              True 5.31706230e-06             True 7.61458333e-01 1.00000000e-06               True 3.63555430e-01             False
1.60000000e+00 1.50000000e-01         C21  4.01587377e-01 3.23607435e-02 4.01587599e-01 3.23586591e-02              True 2.09622140e-06             True 7.61458333e-01 1.77057292e-05               True 3.61321432e-01             False
1.60000000e+00 1.65000000e-01         C21  4.07576366e-01 2.83818407e-02 4.07581921e-01 2.83867680e-02              True 7.42479089e-06             True 7.61458333e-01 3.13674769e-05               True 3.55015768e-01             False
1.60000000e+00 1.80000000e-01         C21  4.13044625e-01 2.41253712e-02 4.13040676e-01 2.41225531e-02              True 4.85186171e-06             True 7.61458333e-01 3.60434028e-05               True 3.49245483e-01             False
1.60000000e+00 1.90000000e-01         C21  4.16438454e-01 2.11614470e-02 4.16440598e-01 2.11614703e-02              True 2.14425773e-06             True 7.61458333e-01 1.97673611e-05               True 3.45667019e-01             False
1.60000000e+00 2.00000000e-01         C21  4.19653341e-01 1.81124668e-02 4.19651367e-01 1.81156057e-02              True 3.70752331e-06             True 7.61458333e-01 1.00000000e-06               True 3.42284499e-01             False
1.60000000e+00 2.05000000e-01         C21  4.21198968e-01 1.65597497e-02 4.21198637e-01 1.65633203e-02              True 3.58595360e-06             True 7.61458333e-01 1.00000000e-06               True 3.40662043e-01             False
1.60000000e+00 2.15000000e-01         C22  4.24176093e-01 1.34043240e-02 4.24183516e-01 1.34076101e-02              True 8.11737120e-06             True 7.61458333e-01 3.39817708e-05               True 3.37547146e-01             False
1.60000000e+00 2.25000000e-01         C22  4.27012449e-01 1.01898728e-02 4.27010519e-01 1.01874696e-02              True 3.08258071e-06             True 7.61458333e-01 1.77057292e-05               True 3.34600541e-01             False
1.60000000e+00 2.35000000e-01         C22  4.29720388e-01 6.92453494e-03 4.29716241e-01 6.92452223e-03              True 4.14776126e-06             True 7.61458333e-01 1.01102431e-05               True 3.31809996e-01             False
1.60000000e+00 2.45000000e-01         C22  4.32310910e-01 3.61545168e-03 4.32306753e-01 3.61653985e-03              True 4.29699847e-06             True 7.61458333e-01 1.00000000e-06               True 3.29167268e-01             False
1.60000000e+00 2.55000000e-01         C22  4.34799067e-01 2.64124164e-04 4.34789313e-01 2.69527627e-04              True 1.11508947e-05             True 7.61458333e-01 6.35578704e-05               True 3.26659328e-01             False
1.65000000e+00 6.00000000e-02         C30  3.70137237e-01 3.82282043e-02 3.70141964e-01 3.82246461e-02              True 5.91619101e-06             True 7.61458333e-01 3.82395833e-05               True 3.93180205e-01             False
1.65000000e+00 6.50000000e-02         C30  3.73887986e-01 3.87347852e-02 3.73883547e-01 3.87319953e-02              True 5.24334613e-06             True 7.61458333e-01 1.10939236e-04               True 3.89490148e-01             False
1.65000000e+00 7.00000000e-02         C30  3.77486038e-01 3.90396543e-02 3.77483759e-01 3.90405469e-02              True 2.44757645e-06             True 7.61458333e-01 5.66857639e-05               True 3.85946104e-01             False
1.65000000e+00 7.50000000e-02         C30  3.80938042e-01 3.91659825e-02 3.80937899e-01 3.91659709e-02              True 1.43574738e-07             True 7.61458333e-01 3.13674769e-05               True 3.82527398e-01             False
1.65000000e+00 8.00000000e-02         C30  3.84250982e-01 3.91335350e-02 3.84253389e-01 3.91336450e-02              True 2.40957014e-06             True 7.61458333e-01 1.17811343e-04               True 3.79219742e-01             False
1.65000000e+00 8.50000000e-02         C30  3.87431904e-01 3.89592638e-02 3.87435242e-01 3.89592947e-02              True 3.33775493e-06             True 7.61458333e-01 6.35578704e-05               True 3.76043409e-01             False
1.65000000e+00 9.00000000e-02         C30  3.90487745e-01 3.86577878e-02 3.90496891e-01 3.86566834e-02              True 9.21238675e-06             True 7.61458333e-01 1.00000000e-06               True 3.72979255e-01             False
1.65000000e+00 9.50000000e-02         C30  3.93425221e-01 3.82417809e-02 3.93427541e-01 3.82412351e-02              True 2.38310531e-06             True 7.61458333e-01 1.00000000e-06               True 3.70014499e-01             False
1.65000000e+00 1.05000000e-01         C30  3.98970527e-01 3.71089849e-02 3.98965753e-01 3.71096683e-02              True 4.82207495e-06             True 7.61458333e-01 1.00000000e-06               True 3.64382234e-01             False
1.65000000e+00 1.15000000e-01         C30  4.04115532e-01 3.56340167e-02 4.04118319e-01 3.56297613e-02              True 5.08710754e-06             True 7.61458333e-01 3.13674769e-05               True 3.59111997e-01             False
1.65000000e+00 1.25000000e-01         C31  4.08902791e-01 3.38739918e-02 4.08905963e-01 3.38751213e-02              True 3.36736561e-06             True 7.61458333e-01 1.73984375e-05               True 3.54177469e-01             False
1.65000000e+00 1.35000000e-01         C31  4.13369942e-01 3.18742835e-02 4.13368578e-01 3.18721894e-02              True 2.49887155e-06             True 7.61458333e-01 1.00000000e-06               True 3.49544610e-01             False
1.65000000e+00 1.45000000e-01         C31  4.17550157e-01 2.96714980e-02 4.17547501e-01 2.96707110e-02              True 2.76963351e-06             True 7.61458333e-01 1.97673611e-05               True 3.45184094e-01             False
1.65000000e+00 1.55000000e-01         C31  4.21472645e-01 2.72955795e-02 4.21466189e-01 2.72958073e-02              True 6.46001140e-06             True 7.61458333e-01 1.00000000e-06               True 3.41079554e-01             False
1.65000000e+00 1.70000000e-01         C31  4.26928584e-01 2.34601973e-02 4.26928543e-01 2.34558743e-02              True 4.32320254e-06             True 7.61458333e-01 1.00000000e-06               True 3.35351289e-01             False
1.65000000e+00 1.75000000e-01         C31  4.28644326e-01 2.21195037e-02 4.28653181e-01 2.21207257e-02              True 8.93890324e-06             True 7.61458333e-01 1.00000000e-06               True 3.33548185e-01             False
1.65000000e+00 1.85000000e-01         C31  4.31936252e-01 1.93576635e-02 4.31936481e-01 1.93582006e-02              True 5.84114968e-07             True 7.61458333e-01 1.01102431e-05               True 3.30089579e-01             False
1.65000000e+00 1.95000000e-01         C31  4.35056649e-01 1.65007719e-02 4.35060062e-01 1.65030594e-02              True 4.10857382e-06             True 7.61458333e-01 3.60434028e-05               True 3.26816687e-01             False
1.65000000e+00 2.05000000e-01         C31  4.38021235e-01 1.35616824e-02 4.38017056e-01 1.35620300e-02              True 4.19348281e-06             True 7.61458333e-01 1.00000000e-06               True 3.23721251e-01             False
1.65000000e+00 2.10000000e-01         C32  4.39449523e-01 1.20648450e-02 4.39454112e-01 1.20662170e-02              True 4.78962559e-06             True 7.61458333e-01 3.13674769e-05               True 3.22233578e-01             False
1.65000000e+00 2.15000000e-01         C32  4.40843967e-01 1.05515052e-02 4.40837224e-01 1.05530513e-02              True 6.91751402e-06             True 7.61458333e-01 1.15130208e-05               True 3.20787567e-01             False
1.65000000e+00 2.20000000e-01         C32  4.42206071e-01 9.02282657e-03 4.42206831e-01 9.02204751e-03              True 1.08845900e-06             True 7.61458333e-01 1.00000000e-06               True 3.19379712e-01             False
1.65000000e+00 2.25000000e-01         C32  4.43537259e-01 7.47989457e-03 4.43534371e-01 7.47937625e-03              True 2.93424610e-06             True 7.61458333e-01 1.21718750e-05               True 3.18008768e-01             False
1.65000000e+00 2.40000000e-01         C32  4.47358374e-01 2.77543887e-03 4.47361449e-01 2.77396611e-03              True 3.40910695e-06             True 7.61458333e-01 3.39817708e-05               True 3.14111923e-01             False
1.70000000e+00 5.50000000e-02         C30  3.87606879e-01 3.28730982e-02 3.87607451e-01 3.28718513e-02              True 1.37188837e-06             True 7.61458333e-01 1.17811343e-04               True 3.75283651e-01             False
1.70000000e+00 7.00000000e-02         C30  3.97695860e-01 3.45304999e-02 3.97703241e-01 3.45304276e-02              True 7.38051580e-06             True 7.61458333e-01 6.35578704e-05               True 3.65391717e-01             False
1.70000000e+00 8.50000000e-02         C30  4.06732247e-01 3.46371918e-02 4.06736607e-01 3.46350600e-02              True 4.85288742e-06             True 7.61458333e-01 3.82395833e-05               True 3.56409433e-01             False
1.70000000e+00 1.00000000e-01         C30  4.14825280e-01 3.36152960e-02 4.14818384e-01 3.36143083e-02              True 6.96575786e-06             True 7.61458333e-01 1.10939236e-04               True 3.48248497e-01             False
1.70000000e+00 1.15000000e-01         C30  4.22097697e-01 3.17496256e-02 4.22094053e-01 3.17505029e-02              True 3.74846793e-06             True 7.61458333e-01 5.66857639e-05               True 3.40837327e-01             False
1.70000000e+00 1.25000000e-01         C31  4.26547160e-01 3.01376975e-02 4.26551028e-01 3.01403553e-02              True 4.69334788e-06             True 7.61458333e-01 1.00000000e-06               True 3.36264352e-01             False
1.70000000e+00 1.35000000e-01         C31  4.30713503e-01 2.82844270e-02 4.30712383e-01 2.82845450e-02              True 1.12566894e-06             True 7.61458333e-01 1.10939236e-04               True 3.31942598e-01             False
1.70000000e+00 1.45000000e-01         C31  4.34624187e-01 2.62258940e-02 4.34628191e-01 2.62302690e-02              True 5.93026535e-06             True 7.61458333e-01 5.66857639e-05               True 3.27880141e-01             False
1.70000000e+00 1.55000000e-01         C31  4.38303833e-01 2.39918542e-02 4.38306149e-01 2.39968183e-02              True 5.47782661e-06             True 7.61458333e-01 3.13674769e-05               True 3.24041566e-01             False
1.70000000e+00 1.65000000e-01         C31  4.41774430e-01 2.16071120e-02 4.41778339e-01 2.16059607e-02              True 4.07524300e-06             True 7.61458333e-01 1.00000000e-06               True 3.20413205e-01             False
1.70000000e+00 1.75000000e-01         C31  4.45055588e-01 1.90925450e-02 4.45054554e-01 1.90935657e-02              True 1.45314144e-06             True 7.61458333e-01 1.00000000e-06               True 3.16978208e-01             False
1.70000000e+00 1.85000000e-01         C31  4.48164776e-01 1.64658741e-02 4.48160357e-01 1.64656514e-02              True 4.42459944e-06             True 7.61458333e-01 3.82395833e-05               True 3.13723955e-01             False
1.70000000e+00 1.95000000e-01         C31  4.51117561e-01 1.37422547e-02 4.51115647e-01 1.37418633e-02              True 1.95298829e-06             True 7.61458333e-01 1.00000000e-06               True 3.10644841e-01             False
1.70000000e+00 2.05000000e-01         C31  4.53927815e-01 1.09347320e-02 4.53928016e-01 1.09296077e-02              True 5.12822277e-06             True 7.61458333e-01 1.77057292e-05               True 3.07724229e-01             False
1.70000000e+00 2.10000000e-01         C32  4.55283413e-01 9.50309588e-03 4.55282101e-01 9.50396396e-03              True 1.57363259e-06             True 7.61458333e-01 1.00000000e-06               True 3.06322333e-01             False
1.70000000e+00 2.25000000e-01         C32  4.59168906e-01 5.11166847e-03 4.59172353e-01 5.11031368e-03              True 3.70369869e-06             True 7.61458333e-01 1.00000000e-06               True 3.02332626e-01             False
1.70000000e+00 2.40000000e-01         C32  4.62808024e-01 5.98378631e-04 4.62812514e-01 5.97822537e-04              True 4.52418910e-06             True 7.61458333e-01 3.60434028e-05               True 2.98650839e-01             False
1.75000000e+00 5.00000000e-02         C30  4.04334035e-01 2.80925394e-02 4.04338411e-01 2.80936163e-02              True 4.50701092e-06             True 7.61458333e-01 3.13674769e-05               True 3.58225061e-01             False
1.75000000e+00 6.50000000e-02         C30  4.13701375e-01 3.03596786e-02 4.13704234e-01 3.03592537e-02              True 2.89045333e-06             True 7.61458333e-01 1.00000000e-06               True 3.49079577e-01             False
1.75000000e+00 7.50000000e-02         C30  4.19472010e-01 3.09439168e-02 4.19478066e-01 3.09427906e-02              True 6.15942371e-06             True 7.61458333e-01 1.97673611e-05               True 3.43381637e-01             False
1.75000000e+00 8.50000000e-02         C30  4.24870191e-01 3.09448952e-02 4.24874699e-01 3.09473643e-02              True 5.13969771e-06             True 7.61458333e-01 3.82395833e-05               True 3.38004140e-01             False
1.75000000e+00 9.50000000e-02         C30  4.29916096e-01 3.04656084e-02 4.29912747e-01 3.04652253e-02              True 3.37084053e-06             True 7.61458333e-01 3.39817708e-05               True 3.32935938e-01             False
1.75000000e+00 1.10000000e-01         C30  4.36879675e-01 2.90193382e-02 4.36880608e-01 2.90167513e-02              True 2.74992539e-06             True 7.61458333e-01 5.66857639e-05               True 3.25868288e-01             False
1.75000000e+00 1.20000000e-01         C31  4.41156918e-01 2.76599521e-02 4.41161278e-01 2.76619080e-02              True 4.77798059e-06             True 7.61458333e-01 1.00000000e-06               True 3.21493412e-01             False
1.75000000e+00 1.30000000e-01         C31  4.45171684e-01 2.60408370e-02 4.45177866e-01 2.60435750e-02              True 6.76111614e-06             True 7.61458333e-01 1.00000000e-06               True 3.17356767e-01             False
1.75000000e+00 1.45000000e-01         C31  4.50752750e-01 2.32075906e-02 4.50754917e-01 2.32091110e-02              True 2.64735820e-06             True 7.61458333e-01 1.00000000e-06               True 3.11571028e-01             False
1.75000000e+00 1.55000000e-01         C31  4.54210276e-01 2.10935695e-02 4.54206394e-01 2.10937846e-02              True 3.88786503e-06             True 7.61458333e-01 1.00000000e-06               True 3.07971209e-01             False
1.75000000e+00 1.65000000e-01         C31  4.57479393e-01 1.88285709e-02 4.57480732e-01 1.88306613e-02              True 2.48269037e-06             True 7.61458333e-01 3.39817708e-05               True 3.04559407e-01             False
1.75000000e+00 1.70000000e-01         C31  4.59048646e-01 1.76460441e-02 4.59045002e-01 1.76458781e-02              True 3.64713869e-06             True 7.61458333e-01 1.00000000e-06               True 3.02924028e-01             False
1.75000000e+00 1.80000000e-01         C31  4.62066283e-01 1.51923792e-02 4.62069398e-01 1.51910384e-02              True 3.39161380e-06             True 7.61458333e-01 1.01102431e-05               True 2.99776752e-01             False
1.75000000e+00 1.95000000e-01         C31  4.66316817e-01 1.13198117e-02 4.66321203e-01 1.13175566e-02              True 4.93152640e-06             True 7.61458333e-01 3.60434028e-05               True 2.95357136e-01             False
1.75000000e+00 2.05000000e-01         C31  4.68984875e-01 8.62982253e-03 4.68984636e-01 8.62887333e-03              True 9.78855525e-07             True 7.61458333e-01 1.97673611e-05               True 2.92600166e-01             False
1.75000000e+00 2.15000000e-01         C32  4.71533376e-01 5.86665997e-03 4.71533116e-01 5.86678445e-03              True 2.88944551e-07             True 7.61458333e-01 1.00000000e-06               True 2.89984287e-01             False
1.75000000e+00 2.35000000e-01         C32  4.76299431e-01 1.65987886e-04 4.76311136e-01 1.58346224e-04              True 1.39789744e-05             True 7.61458333e-01 1.21718750e-05               True 2.85158944e-01             False
1.80000000e+00 5.00000000e-02         C30  4.23279653e-01 2.49681660e-02 4.23283707e-01 2.49661561e-02              True 4.52523564e-06             True 7.61458333e-01 1.01102431e-05               True 3.39098399e-01             False
1.80000000e+00 6.50000000e-02         C30  4.31725446e-01 2.71417207e-02 4.31725424e-01 2.71392570e-02              True 2.46379334e-06             True 7.61458333e-01 1.17811343e-04               True 3.30838433e-01             False
