Mach,alpha,cr,ci,omega_i,ln_p_start_right_exact,max_y_limit_used,y,p_real,p_imag,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,setting,source,validation_status
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-53.8735611089086,-0.22166370862314502,-0.051976205566247456,-0.7181904159389898,-0.16840290603464175,-0.1524826736769111,-0.03311488802985356,0.368718739690251,0.0875446853600808,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-51.61687021661155,-0.20726365045629286,0.10131321907111349,-0.6715342274783889,0.32825482979040776,-0.14088472044407124,0.0717647973816428,0.3454620979809838,-0.16767318672739093,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-49.540407240937675,-0.10904662802181471,0.20649382625775733,-0.3533110747906797,0.6690399970751337,-0.07239386600953267,0.14273162939729958,0.1824681743562073,-0.3432031993318776,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-47.623409672086744,0.022637534033533226,0.23506328478638075,0.07334561026864768,0.7616050427078739,0.01816573983508701,0.16082258817104025,-0.03658796285695772,-0.3913691193371463,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-45.84818622315328,0.141511484886712,0.19212389847396324,0.45849721103294694,0.6224814310556409,0.09913993910512411,0.1300564039906159,-0.23465373923117697,-0.320448708472113,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-44.19956920635434,0.21843395153356612,0.10164704522843339,0.7077260029687543,0.32933642654012424,0.1508301279890902,0.0671884966163671,-0.3631119782956672,-0.1702070193409148,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-42.66448004937005,0.24298635011255026,-0.007391240728745417,0.7872757743646629,-0.023947619961135123,0.1664239945133262,-0.007807584435356943,-0.4044862500827096,0.011173619262544511,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-41.23158158878772,0.21907770598264248,-0.11000283003632086,0.7098117673837618,-0.35640916931767963,0.14888226802995264,-0.07785274101926087,-0.3651670278671516,0.18208218555421787,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-39.890997571920536,0.1588938910361675,-0.18920358931964973,0.5148162069571828,-0.6130196293956652,0.10674707694029285,-0.13144607186293547,-0.2653588280876591,0.314191884350515,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-38.634084684149684,0.07759244938818088,-0.23649236442498062,0.2513995360177061,-0.7662352607369372,0.05050114906620018,-0.1629332157608284,-0.1302519489593528,0.3932820695339356,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
