Mach,alpha,cr,ci,omega_i,ln_p_start_right_exact,max_y_limit_used,y,p_real,p_imag,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,setting,source,validation_status
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.007197522446132363,0.2734280197787957,-0.1327707517155374,0.8859067840832981,-0.4301772355583412,1.7281693378460379,1.4494203600235478,-0.14623301170532912,0.0901414597923556,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.008397126974393184,0.27341961903919126,-0.13278535227446905,0.8858795656869798,-0.43022454136927984,1.729191533062445,1.4488409107052578,-0.14588919624946914,0.08986676978272329,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.009596739558405707,0.2734112668012908,-0.13279988169283138,0.8858525044361822,-0.43027161668477376,1.7302104299892684,1.4482564397811968,-0.14554560428942942,0.08959163808120021,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.010796361349065203,0.27340296296277244,-0.13281434017770524,0.8858255999993826,-0.43031846217576497,1.7312260294886703,1.4476669468783723,-0.145202236598173,0.0893160651412362,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.011995993497296388,0.2733947074210279,-0.13282872793596304,0.8857988520441303,-0.43036507851252015,1.7322383325149469,1.4470724316242063,-0.14485909394910926,0.08904005141526683,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.0131956371540571,0.2733865000731792,-0.13284304517423814,0.8857722602371008,-0.4304114663645317,1.7332473401155073,1.4464728936462907,-0.14451617711610776,0.08876359735472127,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.01439529347034198,0.2733783408160787,-0.13285729209892552,0.8857458242440953,-0.4304576264005187,1.734253053432026,1.4458683325719226,-0.14417348687350123,0.08848670341004668,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.015594963597186155,0.27337022954627843,-0.13287146891624307,0.8857195437299422,-0.43050355928862766,1.7352554736994417,1.4452587480263226,-0.1438310239959873,0.08820937003056649,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.016794648685668916,0.27336216616007,-0.1328855758321365,0.8856934183586268,-0.4305492656961222,1.7362546022355057,1.4446441396239231,-0.14348878925792713,0.08793159766358673,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.01799434988691741,0.27335415055346024,-0.1328996130523438,0.8856674477932112,-0.43059474628959393,1.7372504404502982,1.4440245069717625,-0.14314678343369983,0.08765338675509461,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
