mode_index,alpha,Mach,accepted,gep_cr,gep_ci,gep_omega_i,distance_to_shooting,selection_source,N
100,0.11,1.7000000000000002,False,0.7343324053434933,0.008890779752438242,0.0009779857727682066,0.03244622528898106,target_then_overlap,561
101,0.12,1.7000000000000002,False,0.7303026124432705,0.009624930653628426,0.0011549916784354111,0.03666061783599999,target_then_overlap,561
102,0.13,1.7000000000000002,False,0.730023579306649,0.007504547771597044,0.0009755912103076158,0.03486842177500443,target_then_overlap,561
103,0.14,1.7000000000000002,False,0.7300086701343275,0.006639753005772055,0.0009295654208080877,0.03417955622691063,target_then_overlap,561
104,0.15,1.7000000000000002,False,0.7300176686803952,0.006145623153844808,0.0009218434730767211,0.03379448526251525,target_then_overlap,561
105,0.16,1.7000000000000002,False,0.7300337702138701,0.005854838390273865,0.0009367741424438184,0.033561231169768245,target_then_overlap,561
106,0.17,1.7000000000000002,False,0.7300534547650287,0.005706213099085527,0.0009700562268445396,0.03345637046411988,target_then_overlap,561
107,0.18,1.7000000000000002,False,0.7300758036509564,0.005673029119112682,0.0010211452414402827,0.03340805401928289,target_then_overlap,561
108,0.19,1.7000000000000002,False,0.730100733746754,0.005744893981798004,0.0010915298565416208,0.0334225369288637,target_then_overlap,561
109,0.2,1.7000000000000002,False,0.7301286373790566,0.005922102101305376,0.0011844204202610753,0.033530825067642496,target_then_overlap,561
110,0.21,1.7000000000000002,False,0.7301604746577155,0.00621502993055904,0.0013051562854173983,0.033700410838556155,target_then_overlap,561
111,0.22,1.7000000000000002,False,0.7301983580397495,0.006648030782656967,0.0014625667721845327,0.0340058816503949,target_then_overlap,561
112,0.23,1.7000000000000002,False,0.7302476140666636,0.007272778134920219,0.0016727389710316505,0.03446834278358876,target_then_overlap,561
113,0.24,1.7000000000000002,False,0.7303263470621333,0.008216386276071462,0.001971932706257151,0.03524216910993387,target_then_overlap,561
114,0.25,1.7000000000000002,False,0.7305607548948876,0.009980133829518085,0.002495033457379521,0.03679624272755129,target_then_overlap,561
115,0.26,1.7000000000000002,False,0.7344347554479143,0.010689574127606061,0.002779289273177576,0.034463637445082664,target_then_overlap,561
116,0.27,1.7000000000000002,False,0.7346204008660181,0.009775659893448576,0.0026394281712311157,0.03323184331079968,target_then_overlap,561
117,0.28,1.7000000000000002,False,0.7344674178977268,0.010298038537064054,0.0028834507903779355,0.033958521776871774,target_then_overlap,561
118,0.29,1.7000000000000002,False,0.7317248886414731,0.011423781540639001,0.0033128966467853103,0.03750459255633683,target_then_overlap,561
119,0.3,1.7000000000000002,False,0.7305506552716228,0.00924180355481309,0.0027725410664439266,0.036027251067988604,target_then_overlap,561
120,0.01,1.725,True,0.75755613352457,0.0041021285970321494,4.10212859703215e-05,0.008718300736291486,nearest_to_target,561
121,0.02,1.725,True,0.7485174795713779,0.004397194399630867,8.794388799261734e-05,0.015197118196518294,target_then_overlap,561
122,0.03,1.725,False,0.7394151213359815,0.004801168256244062,0.00014403504768732185,0.02446378331102352,target_then_overlap,561
123,0.04,1.725,False,0.7394625026672336,0.005168404436543665,0.00020673617746174659,0.02473966134793598,target_then_overlap,561
124,0.05,1.725,False,0.7395480338376124,0.005712595254864049,0.00028562976274320245,0.0247283857317611,target_then_overlap,561
125,0.06,1.725,False,0.7397316897490824,0.006537848435117189,0.0003922709061070314,0.025372060191768013,target_then_overlap,561
126,0.07,1.725,False,0.7403410425149228,0.007888958266450016,0.0005522270786515012,0.026368283587647996,target_then_overlap,561
127,0.08,1.725,False,0.7333729482896524,0.00849709051801067,0.0006797672414408536,0.03284071138341247,target_then_overlap,561
128,0.09,1.725,False,0.7341478247561515,0.007887359430898655,0.000709862348780879,0.031570484690247966,target_then_overlap,561
129,0.1,1.725,False,0.7343371239243653,0.008029483695224967,0.0008029483695224967,0.031550182393229015,target_then_overlap,561
130,0.11,1.725,False,0.7342629776381903,0.009411314498466258,0.0010352445948312884,0.033102283485666295,target_then_overlap,561
131,0.12,1.725,False,0.7393625389397936,0.008583849248292266,0.0010300619097950718,0.027987721980960466,target_then_overlap,561
132,0.13,1.725,False,0.7392592020039281,0.00707383367597574,0.0009195983778768462,0.02633662656376267,target_then_overlap,561
133,0.14,1.725,False,0.7392546724993498,0.0063488027117152394,0.0008888323796401336,0.02560964670211682,target_then_overlap,561
134,0.15,1.725,False,0.7392654626466915,0.005927209614445845,0.0008890814421668767,0.025178003905095597,target_then_overlap,561
135,0.16,1.725,False,0.7392817486919874,0.0056878286885618514,0.0009100525901698962,0.024942582173550016,target_then_overlap,561
136,0.17,1.725,False,0.7393012215148957,0.005583006024390102,0.0009491110241463173,0.02484520403504685,target_then_overlap,561
137,0.18,1.725,False,0.7393233008054966,0.005592309969493927,0.0010066157945089068,0.02483383817057215,target_then_overlap,561
138,0.19,1.725,False,0.7393480548146963,0.005709695849295847,0.001084842211366211,0.02491829308210794,target_then_overlap,561
