alpha,Mach,rank_cr,candidate_cr,candidate_ci,y,p_real,p_imag,p_abs,rho_real,rho_imag,rho_abs
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.731331950346102,0.42903509673936646,-0.0016145538145197053,0.42903813468988683,0.6974501791369324,-0.002624659044728642,0.697455117705247
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.6901217685996834,0.4246992264495858,-0.0016500571752685578,0.42470243186913614,0.6904016799971078,-0.002682374195545964,0.6904068908072644
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.649706477779909,0.4204537282662146,-0.0016842963299628444,0.42045710181549667,0.683500092012765,-0.0027380342213958516,0.6835055761388167
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.6100630240566742,0.41620762410152684,-0.0017188556121144351,0.4162111733541679,0.6765975189300445,-0.0027942146544435004,0.6766032886838691
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.571169235472408,0.4120522625881565,-0.0017521501870898196,0.4120559878636606,0.669842459369872,-0.0028483391478878527,0.6698485152708633
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.5330037801686554,0.4078965694084936,-0.0017857721653231498,0.4079004784471875,0.6630868606446824,-0.00290299587625349,0.6630932152757091
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.495546126964879,0.403831705248208,-0.0018181316703352888,0.40383579802494757,0.656478915844118,-0.002955600296588817,0.6564855691643052
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.4587765081363604,0.39976655361264546,-0.0018508272958510552,0.39977083804226043,0.6498705037165567,-0.003008751122817846,0.6498774685924497
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.422675884249407,0.3957920836497283,-0.0018822649052063563,0.3957965593596878,0.6434095059830894,-0.0030598568865261126,0.6434167818090925
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.38722591092243,0.391817183341563,-0.0019140484236143172,0.3918218584294194,0.6369478086696284,-0.00311152496863802,0.636955408609325
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.3524089073909256,0.387932625965752,-0.001944580178638633,0.38793749970936714,0.6306329750855756,-0.0031611581528993913,0.6306408979650399
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.3182078267632016,0.38404734426538206,-0.0019754684001473868,0.3840524249535379,0.6243169640214117,-0.0032113708179896034,0.6243252233150951
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.2846062278616546,0.3802519108706793,-0.0020051125500165443,0.38025719742976766,0.618147012609148,-0.003259561089120625,0.6181556065717659
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.251588248551908,0.37645533807413745,-0.0020351242462636325,0.3764608389928637,0.6119752089567696,-0.0033083488528322896,0.611984151387774
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.2191385804688406,0.3727479928654835,-0.0020639007038647443,0.37275370671713237,0.6059484559019516,-0.0033551285817200937,0.6059577444820382
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.1872424450549457,0.3690389971226704,-0.002093056110121311,0.36904493260467136,0.5999190196975411,-0.003402524339015979,0.5999286685654689
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.1558855708321523,0.3654185071599025,-0.002120986003662158,0.36542466249091543,0.5940334607018164,-0.0034479278722032674,0.5940434669617943
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.1250541718336904,0.3617957803588048,-0.0021493064087701693,0.3618021644538287,0.5881442654457821,-0.0034939662307569798,0.5881546435902554
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.094734927127503,0.3582607574118068,-0.0021764117130719266,0.3582673681333904,0.5823976437675683,-0.0035380292910625233,0.5824083903218427
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.064914961367284,0.35472285354730837,-0.0022039191224501988,0.354729700036864,0.5766463387978432,-0.0035827460234330796,0.5766574686224271
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.0355818263114775,0.35127178907524204,-0.0022302223566136943,0.3512788688376818,0.5710362021154403,-0.003625505218470114,0.5710477111542563
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.006723483254516,0.34781715630405236,-0.00225693921613383,0.34782447871600836,0.5654202647167751,-0.0036689368132275814,0.565432168212711
