kind,Mach,alpha,requested_target,cr_seed,ci_seed,accepted,box_scale,seed_distance,error,cr,ci,omega_i,stage1_mismatch,stage2_mismatch,ln_p_start_right,y_limit,min_abs_U_minus_c,success,point_index,alpha_step_used
alpha_trace,1.5,0.15200000000000002,True,0.36380414673919975,0.04143578922236928,True,1.0,0.0006408209378311548,,0.3633122417151997,0.04123043530730658,0.006267026166710601,3.011035539562433e-08,2.4612077840338805e-17,-28.350266952620277,556.8481019068627,0.041234870527103125,True,2,0.01200000000000001
alpha_trace,1.5,0.16640000000000002,True,0.3703914578022396,0.037019586406426275,True,1.0,0.000781385926045349,,0.3697786552422396,0.03677718333926376,0.006119723307653491,1.8752344281402674e-07,3.334542839942527e-17,-33.24034746925122,571.0708869044306,0.03681117474853644,True,3,0.014399999999999996
alpha_trace,1.5,0.18368,True,0.3775383514746874,0.03143328097761238,True,1.0,0.0009289679162483135,,0.3767920193146874,0.03115670833960904,0.005722864187819389,2.2609257056974084e-07,5.1726703632731654e-17,-41.23324749811949,611.6079182271143,0.03131623801303861,True,4,0.01727999999999999
alpha_trace,1.5,0.20368,True,0.38490933884298356,0.024651528941860523,True,1.0,0.0010325365074565556,,0.38406261781898354,0.02435606526103539,0.004960843372367688,1.1588832434974707e-07,9.910658172445745e-17,-55.60378982435314,706.6572196690912,0.02470101368561709,True,5,0.01999999999999999
alpha_trace,1.5,0.22368,True,0.39133321632327966,0.01755542218246174,True,1.0,0.0008851575788728184,,0.3905879327392797,0.017316645969839867,0.003873387370533781,2.0100503069335327e-07,2.418135096642644e-16,-82.10479414110982,906.3028282259113,0.017445358147133407,True,6,0.01999999999999999
alpha_trace,1.5,0.24367999999999998,True,0.3971132476595759,0.010277226678644343,True,1.0,0.0007081437560412741,,0.3964988722355759,0.010101151114180487,0.002461448503503501,9.791138394758254e-08,9.647989903788242e-16,-147.25796722083913,1427.9451966154127,0.010110365852241118,True,7,0.01999999999999999
alpha_trace,1.5,0.26367999999999997,True,0.40240981173187207,0.0028856562585211076,True,1.0,0.0005717483558002786,,0.40189988430787216,0.0027563598890698194,0.0007267969755499299,5.534449548875621e-08,2.6398492085556263e-15,-235.41087668965866,2000.0,0.004393593590333,True,8,0.01999999999999999
alpha_trace,1.5,0.26868,True,0.4032501373259462,0.0009201620827921498,True,1.0,7.650941874553869e-05,,0.4031804397899462,0.0009043827875582949,0.00024298956736116265,1.1613543121020074e-08,2.734202475401454e-15,-243.51354071090427,2000.0,0.0023240541885568445,True,9,0.0050000000000000044
alpha_trace,1.5,0.27118,True,0.40382071753098325,1e-08,True,1.0,0.00012004684417278423,,0.40373879753098324,4.3885843e-05,1.1900962904739999e-05,2.4113880887657333e-06,3.070067030956607e-15,-247.43288094383715,2000.0,0.001583119557685971,True,10,0.0025000000000000022
alpha_trace,1.8,0.13,True,0.460766241024,0.023239920685932444,True,0.0,0.0,,0.460766241024,0.023239920685932444,0.0030211896891712176,9.755328374102607e-08,5.601602216160738e-17,-36.53798701467424,1020.4357093109893,0.023279151362649488,True,0,0.0
alpha_trace,1.8,0.14,True,0.460766241024,0.023239920685932444,True,1.0,0.004965907559120229,,0.46430703846400007,0.021499016368155592,0.003009862291541783,8.093904006497978e-08,7.081617184532215e-17,-41.42962267539356,1024.690335611891,0.021610258778779402,True,1,0.010000000000000009
alpha_trace,1.8,0.15200000000000002,True,0.46855599539200016,0.01940993118682337,True,1.0,0.0005533274774193362,,0.4682999953920002,0.01916465822802682,0.002913028050660077,1.597777267879719e-08,9.876743828600573e-17,-48.98165585992217,1059.2314015805218,0.019235145429357225,True,2,0.01200000000000001
