benchmark_id,atlas_chart,Mach,alpha,shoot_stage1_mismatch,shoot_stage2_mismatch,stage1_fraction_of_nominal,stage2_fraction_of_nominal,critical_common_multiplier
11,C02,1.018,0.2282499999999999,1.2634294076282387e-06,3.2885906391315144e-20,2.5268588152564774e-05,3.288590639131514e-18,2.5268588152564774e-05
12,C02,1.018,0.24375,9.162052963341628e-07,3.7445126355364736e-20,1.8324105926683257e-05,3.744512635536474e-18,1.8324105926683257e-05
13,C02,1.018,0.25925,7.525268410942029e-07,4.1912013445530216e-20,1.5050536821884057e-05,4.191201344553022e-18,1.5050536821884057e-05
14,C02,1.018,0.27475,7.801055155745426e-07,4.52488808751188e-20,1.5602110311490852e-05,4.52488808751188e-18,1.5602110311490852e-05
15,C02,1.018,0.29025,1.7426678694490364e-06,4.8607744460426464e-20,3.485335738898073e-05,4.8607744460426464e-18,3.485335738898073e-05
16,C02,1.018,0.3057499999999999,6.981468924810801e-07,5.0351597510195864e-20,1.3962937849621601e-05,5.0351597510195865e-18,1.3962937849621601e-05
17,C02,1.018,0.32125,2.18029157494316e-06,5.2613179454963484e-20,4.36058314988632e-05,5.2613179454963485e-18,4.36058314988632e-05
18,C02,1.018,0.33675,2.9803009574396305e-06,5.3821206562531046e-20,5.960601914879261e-05,5.382120656253105e-18,5.960601914879261e-05
19,C02,1.018,0.3522499999999999,8.289756956131819e-07,5.517680489277332e-20,1.6579513912263637e-05,5.517680489277332e-18,1.6579513912263637e-05
20,C02,1.054,0.21275,1.0715155499241782e-06,1.5505549714338618e-20,2.143031099848356e-05,1.5505549714338618e-18,2.143031099848356e-05
21,C02,1.054,0.2282499999999999,1.5192978230880157e-06,2.0298090710182584e-20,3.0385956461760312e-05,2.0298090710182584e-18,3.0385956461760312e-05
22,C02,1.054,0.24375,1.8267450060427923e-06,2.4944726209696016e-20,3.653490012085584e-05,2.4944726209696016e-18,3.653490012085584e-05
