metric,mismatch,ecdf
stage1_mismatch,1.4495607505307053e-06,0.584
stage1_mismatch,1.4650385375805192e-06,0.586
stage1_mismatch,1.4691949343651228e-06,0.588
stage1_mismatch,1.4728833712061217e-06,0.59
stage1_mismatch,1.4807128139384867e-06,0.592
stage1_mismatch,1.495059789172541e-06,0.594
stage1_mismatch,1.4974848886345106e-06,0.596
stage1_mismatch,1.4984322839509506e-06,0.598
stage1_mismatch,1.507170448991442e-06,0.6
stage1_mismatch,1.5192978230880157e-06,0.602
stage1_mismatch,1.5383175610234597e-06,0.604
stage1_mismatch,1.5390157061353972e-06,0.606
stage1_mismatch,1.548086226183348e-06,0.608
stage1_mismatch,1.550566922738923e-06,0.61
stage1_mismatch,1.5526132719766234e-06,0.612
stage1_mismatch,1.565616809274414e-06,0.614
stage1_mismatch,1.5757473479431277e-06,0.616
stage1_mismatch,1.582390827698463e-06,0.618
stage1_mismatch,1.5884489342309014e-06,0.62
stage1_mismatch,1.5932266915531013e-06,0.622
stage1_mismatch,1.607736170504188e-06,0.624
stage1_mismatch,1.659422518914699e-06,0.626
stage1_mismatch,1.6605739808881895e-06,0.628
stage1_mismatch,1.67710562125856e-06,0.63
stage1_mismatch,1.6924518807634209e-06,0.632
stage1_mismatch,1.6999776707485653e-06,0.634
stage1_mismatch,1.7070404699301786e-06,0.636
stage1_mismatch,1.7092558461834163e-06,0.638
stage1_mismatch,1.729864051427116e-06,0.64
stage1_mismatch,1.7426678694490364e-06,0.642
stage1_mismatch,1.7559680567593366e-06,0.644
stage1_mismatch,1.7640483042035974e-06,0.646
stage1_mismatch,1.801009253840688e-06,0.648
stage1_mismatch,1.816347923040504e-06,0.65
stage1_mismatch,1.8267450060427923e-06,0.652
stage1_mismatch,1.8411178600859813e-06,0.654
stage1_mismatch,1.8495440971206827e-06,0.656
stage1_mismatch,1.8738208891770689e-06,0.658
stage1_mismatch,1.899723537332144e-06,0.66
stage1_mismatch,1.9304170840004387e-06,0.662
stage1_mismatch,1.9427848990328715e-06,0.664
stage1_mismatch,1.962267652500698e-06,0.666
stage1_mismatch,1.986949475588605e-06,0.668
stage1_mismatch,1.989215264914469e-06,0.67
stage1_mismatch,1.9979166614885637e-06,0.672
stage1_mismatch,2.018817239875013e-06,0.674
stage1_mismatch,2.038792057875617e-06,0.676
stage1_mismatch,2.04456466507331e-06,0.678
stage1_mismatch,2.0575403865791697e-06,0.68
stage1_mismatch,2.0736324338004387e-06,0.682
stage1_mismatch,2.0782077888439224e-06,0.684
stage1_mismatch,2.0814969770572317e-06,0.686
stage1_mismatch,2.090299658600105e-06,0.688
stage1_mismatch,2.130929798606083e-06,0.69
stage1_mismatch,2.1738781472149635e-06,0.692
stage1_mismatch,2.18029157494316e-06,0.694
stage1_mismatch,2.311216849858262e-06,0.696
stage1_mismatch,2.312093346905135e-06,0.698
stage1_mismatch,2.323186561266241e-06,0.7
stage1_mismatch,2.323436265717182e-06,0.702
stage1_mismatch,2.3499294176742992e-06,0.704
stage1_mismatch,2.3509940052742377e-06,0.706
stage1_mismatch,2.390987352794952e-06,0.708
stage1_mismatch,2.4129380043948745e-06,0.71
stage1_mismatch,2.434565136825756e-06,0.712
stage1_mismatch,2.435305656128546e-06,0.714
stage1_mismatch,2.4356209929196685e-06,0.716
stage1_mismatch,2.449952911219438e-06,0.718
stage1_mismatch,2.450596940210795e-06,0.72
stage1_mismatch,2.528781173014568e-06,0.722
stage1_mismatch,2.5729739987871885e-06,0.724
stage1_mismatch,2.5782365201852885e-06,0.726
stage1_mismatch,2.5884097887183818e-06,0.728
stage1_mismatch,2.803853329661633e-06,0.73
stage1_mismatch,2.947580207076423e-06,0.732
stage1_mismatch,2.9803009574396305e-06,0.734
stage1_mismatch,3.0202094281473653e-06,0.736
stage1_mismatch,3.3085829421706485e-06,0.738
stage1_mismatch,3.345433995661076e-06,0.74
stage1_mismatch,3.410450917014273e-06,0.742
stage1_mismatch,3.549945980273289e-06,0.744
stage1_mismatch,3.935892646506213e-06,0.746
stage1_mismatch,4.024172423997852e-06,0.748
stage1_mismatch,4.241634215193597e-06,0.75
stage1_mismatch,4.41785684890249e-06,0.752
stage1_mismatch,4.631607121661632e-06,0.754
stage1_mismatch,5.842340899477809e-06,0.756
stage1_mismatch,1.6439257839120395e-05,0.758
stage1_mismatch,4.9735941575793365e-05,0.76
stage1_mismatch,6.72063319167421e-05,0.762
stage1_mismatch,0.0001006040857537,0.764
stage1_mismatch,0.0001121033599724,0.766
stage1_mismatch,0.0002228749915911,0.768
stage1_mismatch,0.0002499285575027,0.77
stage1_mismatch,0.0002866589208155,0.772
stage1_mismatch,0.0003161899208795,0.774
stage1_mismatch,0.0003309608290122,0.776
stage1_mismatch,0.0003552029243538,0.778
stage1_mismatch,0.0003672091255789,0.78
stage1_mismatch,0.0003691159185871,0.782
stage1_mismatch,0.0003805155537155,0.784
stage1_mismatch,0.0004866401923542,0.786
stage1_mismatch,0.0005262161390401,0.788
stage1_mismatch,0.0005308351780557,0.79
stage1_mismatch,0.0005709142176519,0.792
stage1_mismatch,0.0005786411395622,0.794
stage1_mismatch,0.0005996389810691,0.796
stage1_mismatch,0.0006001860032054,0.798
stage1_mismatch,0.0006142215935747,0.8
stage1_mismatch,0.0006158396768428,0.802
stage1_mismatch,0.0007217288742697,0.804
stage1_mismatch,0.0007668098094146,0.806
stage1_mismatch,0.000807673877401,0.808
stage1_mismatch,0.0008178968408871,0.81
stage1_mismatch,0.0009523823619468,0.812
stage1_mismatch,0.0010347291563806,0.814
stage1_mismatch,0.0011242812570972,0.816
stage1_mismatch,0.0012217944362688,0.818
stage1_mismatch,0.0012996325593427,0.82
stage1_mismatch,0.0013009683307638,0.822
stage1_mismatch,0.0013074080014197,0.824
stage1_mismatch,0.0015251977757333,0.826
stage1_mismatch,0.0015700239607083,0.828
stage1_mismatch,0.0016645171827199,0.83
stage1_mismatch,0.0017118567909867,0.832
stage1_mismatch,0.0017709801563796,0.834
stage1_mismatch,0.0018171034333622,0.836
stage1_mismatch,0.0019689768842315,0.838
stage1_mismatch,0.0021434103685971,0.84
stage1_mismatch,0.0021509823008061,0.842
stage1_mismatch,0.0021896074104091,0.844
stage1_mismatch,0.0022059127876952,0.846
stage1_mismatch,0.0022091619197994,0.848
stage1_mismatch,0.0022365838506128,0.85
stage1_mismatch,0.0025831154466266,0.852
stage1_mismatch,0.0034609371528305,0.854
stage1_mismatch,0.0035240051341076,0.856
stage1_mismatch,0.0035352681108833,0.858
stage1_mismatch,0.0035986116106899,0.86
stage1_mismatch,0.0040333408561149,0.862
stage1_mismatch,0.0041008734545502,0.864
stage1_mismatch,0.0041565844219628,0.866
stage1_mismatch,0.0042064082512586,0.868
stage1_mismatch,0.0043343630176406,0.87
stage1_mismatch,0.0043667067124056,0.872
stage1_mismatch,0.0044050471760715,0.874
stage1_mismatch,0.0046764371504402,0.876
stage1_mismatch,0.0047955301233565,0.878
stage1_mismatch,0.0048235253286298,0.88
stage1_mismatch,0.0048321612145439,0.882
stage1_mismatch,0.0048516245963656,0.884
stage1_mismatch,0.0048596263586097,0.886
stage1_mismatch,0.0049071348133854,0.888
stage1_mismatch,0.0049922400195224,0.89
stage1_mismatch,0.0050268372959074,0.892
stage1_mismatch,0.0051137002582909,0.894
stage1_mismatch,0.0051470029261489,0.896
stage1_mismatch,0.0051763382868091,0.898
stage1_mismatch,0.0052116401380529,0.9
stage1_mismatch,0.0053896128549436,0.902
stage1_mismatch,0.0054162983984907,0.904
stage1_mismatch,0.0056275741564247,0.906
stage1_mismatch,0.0061536047350781,0.908
stage1_mismatch,0.0061586365977893,0.91
stage1_mismatch,0.0062224697844189,0.912
stage1_mismatch,0.0064887870227647,0.914
stage1_mismatch,0.0065168648147954,0.916
stage1_mismatch,0.0068360288726393,0.918
stage1_mismatch,0.0077828446638518,0.92
stage1_mismatch,0.0078798062263216,0.922
stage1_mismatch,0.0080459771194308,0.924
stage1_mismatch,0.0082001197145703,0.926
stage1_mismatch,0.0085086990674102,0.928
stage1_mismatch,0.0085865913403055,0.93
stage1_mismatch,0.008865099172072,0.932
stage1_mismatch,0.010037315396441,0.934
stage1_mismatch,0.0100672624503553,0.936
stage1_mismatch,0.0101771979246339,0.938
stage1_mismatch,0.0103266191312855,0.94
stage1_mismatch,0.0105109490244918,0.942
stage1_mismatch,0.0121725587392102,0.944
stage1_mismatch,0.0125842357288319,0.946
stage1_mismatch,0.0127086199595272,0.948
stage1_mismatch,0.0128186356468125,0.95
stage1_mismatch,0.0129234709386708,0.952
stage1_mismatch,0.0129437545882636,0.954
stage1_mismatch,0.013034488922789,0.956
stage1_mismatch,0.0130663564489204,0.958
stage1_mismatch,0.0130762413624609,0.96
stage1_mismatch,0.0143629037170487,0.962
stage1_mismatch,0.0145507772129891,0.964
stage1_mismatch,0.0147638531322901,0.966
stage1_mismatch,0.0151517419810637,0.968
stage1_mismatch,0.0157645576227216,0.97
stage1_mismatch,0.0161396984787271,0.972
stage1_mismatch,0.0161595117110269,0.974
stage1_mismatch,0.0170848073783306,0.976
stage1_mismatch,0.0174265133648958,0.978
stage1_mismatch,0.0181019616718365,0.98
stage1_mismatch,0.0182297220532725,0.982
stage1_mismatch,0.0182308098797399,0.984
stage1_mismatch,0.0188574560425395,0.986
stage1_mismatch,0.0190300763618424,0.988
stage1_mismatch,0.0190880568388597,0.99
stage1_mismatch,0.0192800175994431,0.992
stage1_mismatch,0.0200749226890868,0.994
stage1_mismatch,0.0203527369121914,0.996
stage1_mismatch,0.0209816944303589,0.998
stage1_mismatch,0.0238797061816041,1.0
stage2_mismatch,1.8940550334356491e-25,0.002
stage2_mismatch,3.0273965076094774e-24,0.004
stage2_mismatch,5.535595532977789e-24,0.006
stage2_mismatch,5.8663869986423064e-24,0.008
stage2_mismatch,7.199492508706156e-24,0.01
stage2_mismatch,2.584637753818055e-23,0.012
stage2_mismatch,2.829023410989064e-23,0.014
stage2_mismatch,3.4534809703965857e-23,0.016
stage2_mismatch,3.8180748694700283e-23,0.018
stage2_mismatch,5.654015072220679e-23,0.02
stage2_mismatch,7.650617921258353e-23,0.022
stage2_mismatch,8.079869976124285e-23,0.024
stage2_mismatch,8.741977401347677e-23,0.026
stage2_mismatch,9.0308244424283e-23,0.028
stage2_mismatch,1.339951947085564e-22,0.03
stage2_mismatch,1.3418032064148917e-22,0.032
stage2_mismatch,1.348808385916563e-22,0.034
stage2_mismatch,1.6549217581108692e-22,0.036
stage2_mismatch,1.835797852800304e-22,0.038
stage2_mismatch,1.88864130981278e-22,0.04
stage2_mismatch,1.9650768828189032e-22,0.042
stage2_mismatch,2.0169603513299882e-22,0.044
stage2_mismatch,2.0554888228119618e-22,0.046
stage2_mismatch,2.216684699627869e-22,0.048
stage2_mismatch,2.2992949019037527e-22,0.05
stage2_mismatch,2.48484482982368e-22,0.052
stage2_mismatch,2.6559826575192144e-22,0.054
stage2_mismatch,2.7103942990137884e-22,0.056
stage2_mismatch,2.732959452215191e-22,0.058
stage2_mismatch,2.8769395047368723e-22,0.06
stage2_mismatch,3.3054920648052307e-22,0.062
stage2_mismatch,3.458695329147183e-22,0.064
stage2_mismatch,4.308971353397037e-22,0.066
stage2_mismatch,4.32835180215443e-22,0.068
stage2_mismatch,4.5745614832320125e-22,0.07
stage2_mismatch,4.83070426416987e-22,0.072
stage2_mismatch,4.941430894973915e-22,0.074
stage2_mismatch,5.111479652858138e-22,0.076
stage2_mismatch,5.501585942723002e-22,0.078
stage2_mismatch,6.058096322927914e-22,0.08
stage2_mismatch,6.163483091155648e-22,0.082
stage2_mismatch,6.2293679414329755e-22,0.084
stage2_mismatch,6.302067463275516e-22,0.086
stage2_mismatch,6.317908103824561e-22,0.088
stage2_mismatch,7.957221018302623e-22,0.09
stage2_mismatch,8.221445947427173e-22,0.092
stage2_mismatch,8.353893129615839e-22,0.094
stage2_mismatch,8.76994264862766e-22,0.096
stage2_mismatch,8.854312900162857e-22,0.098
stage2_mismatch,8.881555499577697e-22,0.1
stage2_mismatch,8.9792301111605e-22,0.102
stage2_mismatch,9.049095711337754e-22,0.104
stage2_mismatch,9.243027217350325e-22,0.106
stage2_mismatch,9.415017109486809e-22,0.108
stage2_mismatch,9.634577193669224e-22,0.11
stage2_mismatch,1.0057896464297412e-21,0.112
stage2_mismatch,1.0156159439897765e-21,0.114
stage2_mismatch,1.023386352490531e-21,0.116
stage2_mismatch,1.0396459472055805e-21,0.118
stage2_mismatch,1.0540142597332758e-21,0.12
stage2_mismatch,1.0772669659558685e-21,0.122
stage2_mismatch,1.0836898556689597e-21,0.124
stage2_mismatch,1.1154972953473226e-21,0.126
stage2_mismatch,1.1443971578121092e-21,0.128
stage2_mismatch,1.1641013777647546e-21,0.13
stage2_mismatch,1.1757670780747119e-21,0.132
stage2_mismatch,1.2077772155626714e-21,0.134
stage2_mismatch,1.210804070122839e-21,0.136
stage2_mismatch,1.2144227247814445e-21,0.138
stage2_mismatch,1.253577785522207e-21,0.14
stage2_mismatch,1.2572597557347873e-21,0.142
stage2_mismatch,1.2627454921031113e-21,0.144
stage2_mismatch,1.2901618795475245e-21,0.146
stage2_mismatch,1.319356308196347e-21,0.148
stage2_mismatch,1.3195498828295746e-21,0.15
stage2_mismatch,1.3648429817242249e-21,0.152
stage2_mismatch,1.3959938871810522e-21,0.154
stage2_mismatch,1.4006436542374785e-21,0.156
stage2_mismatch,1.428838893519947e-21,0.158
stage2_mismatch,1.4575863606796194e-21,0.16
stage2_mismatch,1.532167492091523e-21,0.162
stage2_mismatch,1.5325847111579637e-21,0.164
stage2_mismatch,1.5793902709780889e-21,0.166
