boundary_id,normal_axis,pair_id,idx_a,idx_b,Mach_minus_grid,Mach_plus_grid,eta_minus_grid,eta_plus_grid,Mach_mid,eta_mid,component,chart_minus,chart_plus,Mach_boundary,eta_boundary,clean_pair_switch,third_chart_seen,eps,Mach_minus,eta_minus,Mach_plus,eta_plus,routed_chart_minus,routed_chart_plus,family_minus,family_plus,ci_minus,ci_plus,samepoint_ci_abs_diff,samepoint_ci_rel_diff_reg,samepoint_p_overlap,samepoint_p_rel,samepoint_q_overlap,samepoint_q_rel,routed_ci_abs_diff,routed_ci_rel_diff_reg,routed_p_overlap,routed_p_rel,routed_q_overlap,routed_q_rel,success,error
ROUTE_0146,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.2504,0.2504,0.7,0.2504,0,LOW,HM1_LOW,0.6999999995052814,0.2504,True,,5e-05,0.6999499995052814,0.2504,0.7000499995052814,0.2504,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.45679122588212473,0.4567646928091328,8.849573564728708e-06,1.937379479399345e-05,0.9635633392751731,0.267480263206238,0.9503491842719295,0.45576636245717805,2.6533072991941076e-05,5.808577636468865e-05,0.9635627673886761,0.2674823233454431,0.9503480821781253,0.45577242669582424,True,
ROUTE_0147,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.2888,0.2888,0.7,0.2888,0,LOW,HM1_LOW,0.6999999995052814,0.2888,True,,0.001,0.6989999995052814,0.2888,0.7009999995052814,0.2888,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.42750475479778044,0.4270815067027175,0.00023727997233041753,0.0005551992071632468,0.9635048649017162,0.2676908203706758,0.9511616138989911,0.4500618606648459,0.0004232480950629447,0.0009900430119500093,0.9634924756675707,0.2677354091859653,0.951138584984316,0.4501921531375645,True,
ROUTE_0147,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.2888,0.2888,0.7,0.2888,0,LOW,HM1_LOW,0.6999999995052814,0.2888,True,,0.0002,0.6997999995052814,0.2888,0.7001999995052813,0.2888,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.42721358102642143,0.4273192649125487,0.00023727997233041753,0.0005551992071632468,0.9635048649017162,0.2676908203706758,0.9511616138989911,0.4500618606648459,0.00010568388612725022,0.00024731832801612284,0.9635023868458157,0.26769973952623927,0.9511570135271078,0.45008789756693296,True,
ROUTE_0147,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.2888,0.2888,0.7,0.2888,0,LOW,HM1_LOW,0.6999999995052814,0.2888,True,,5e-05,0.6999499995052814,0.2888,0.7000499995052814,0.2888,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.4271589962868665,0.4273634014143656,0.00023727997233041753,0.0005551992071632468,0.9635048649017162,0.2676908203706758,0.9511616138989911,0.4500618606648459,0.00020440512749908546,0.0004782934776880838,0.9635042453776927,0.26769305022574447,0.9511604640591332,0.45006836888006274,True,
ROUTE_0148,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.324,0.324,0.7,0.324,0,LOW,HM1_LOW,0.6999999995052814,0.324,True,,0.001,0.6989999995052814,0.324,0.7009999995052814,0.324,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.40125142498554645,0.40022415067079886,0.0004200193279932374,0.0010476438001107153,0.963407932256606,0.26803946736451173,0.9518206630858616,0.4452644951614647,0.0010272743147475838,0.002560176115971644,0.9633948052077302,0.268086645133173,0.9517970248053352,0.4454019636968032,True,
ROUTE_0148,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.324,0.324,0.7,0.324,0,LOW,HM1_LOW,0.6999999995052814,0.324,True,,0.0002,0.6997999995052814,0.324,0.7001999995052813,0.324,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.40098472383686623,0.4004436715134237,0.0004200193279932374,0.0010476438001107153,0.963407932256606,0.26803946736451173,0.9518206630858616,0.4452644951614647,0.0005410523234425368,0.001349309066603382,0.9634053064003286,0.26804890523874364,0.9518159407523038,0.4452919675695717,True,
ROUTE_0148,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.324,0.324,0.7,0.324,0,LOW,HM1_LOW,0.6999999995052814,0.324,True,,5e-05,0.6999499995052814,0.324,0.7000499995052814,0.324,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.4009347310189811,0.4004844732623052,0.0004200193279932374,0.0010476438001107153,0.963407932256606,0.26803946736451173,0.9518206630858616,0.4452644951614647,0.00045025775667589807,0.0011230200874131355,0.9634072757713769,0.26804182694268885,0.9518194827514318,0.4452713622670579,True,
ROUTE_0149,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.3591999999999999,0.3591999999999999,0.7,0.3591999999999999,0,LOW,HM1_LOW,0.6999999995052814,0.3591999999999999,True,,0.001,0.6989999995052814,0.3591999999999999,0.7009999995052814,0.3591999999999999,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.3752219166099564,0.3749898663835818,0.000374100888242912,0.0009968496675986872,0.9632779274619336,0.2685063024672641,0.9524028931761407,0.4408642521597132,0.0002320502263746249,0.0006184346278893974,0.9632641652829512,0.26855566998620417,0.9523788362122338,0.44100806766230405,True,
ROUTE_0149,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.3591999999999999,0.3591999999999999,0.7,0.3591999999999999,0,LOW,HM1_LOW,0.6999999995052814,0.3591999999999999,True,,0.0002,0.6997999995052814,0.3591999999999999,0.7001999995052813,0.3591999999999999,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.3749716071415821,0.3752247112565682,0.000374100888242912,0.0009968496675986872,0.9632779274619336,0.2685063024672641,0.9524028931761407,0.4408642521597132,0.0002531041149860802,0.0006745401019524396,0.9632751743355324,0.2685161792310652,0.9523980869711642,0.440892994341002,True,
ROUTE_0149,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.3591999999999999,0.3591999999999999,0.7,0.3591999999999999,0,LOW,HM1_LOW,0.6999999995052814,0.3591999999999999,True,,5e-05,0.6999499995052814,0.3591999999999999,0.7000499995052814,0.3591999999999999,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.3749246913945492,0.3752685541841335,0.000374100888242912,0.0009968496675986872,0.9632779274619336,0.2685063024672641,0.9524028931761407,0.4408642521597132,0.00034386278958431493,0.0009163112276537599,0.96327723914776,0.26850877181177735,0.9524016918675481,0.4408714367264949,True,
