condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds,t401_row,test_id
generic,384,C31,1.9,0.14,3,generic,3,0.1,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.15884765625000002,9.72802734375e-06,0.0398421434793853,6.16460087550391e-25,0.0398421434793853,True,True,True,0.05888130287827629,43.62923384399619,384,384
generic,384,C31,1.9,0.14,4,generic,4,0.5,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.49259765625,0.017016503906250004,3.26805814400154e-06,8.301559636468708e-21,3.2680581440015483e-06,True,True,True,0.01674186616120155,32.57873205607757,384,384
generic,384,C31,1.9,0.14,5,generic,5,0.9,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.8400585937499998,1.0410664876302083e-06,0.011489799209322965,2.984864532407887e-06,0.011492784073855374,True,True,True,0.05997472817817046,53.21398010000121,384,384
generic,384,C31,1.9,0.14,6,generic,0,0.1,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.21605468749999998,6.535737967785494e-06,0.012353914575618396,1.8225842354226257e-26,0.012353914575618396,True,True,True,0.11605472513556235,38.66549996798858,384,384
generic,384,C31,1.9,0.14,7,generic,1,0.5,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.4926171875,0.0170189453125,1.8979593184805177e-06,8.302530758952915e-21,1.897959318480526e-06,True,True,True,0.018459594548568017,35.64989947807044,384,384
generic,384,C31,1.9,0.14,8,generic,2,0.9,0.0001,0.06,0.03,COMPLETED,,0,0.06,0.03,0.7801171875000003,1.9895806206597218e-05,0.0008722330147604206,6.900845468321495e-23,0.0008722330147604206,True,True,True,0.11988283926230628,52.841075931093656,384,384
generic,384,C31,1.9,0.14,9,generic,3,0.1,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.2998046875000002,9.72802734375e-06,0.029457132873577027,4.543838814073028e-26,0.029457132873577027,True,True,True,0.19981459989074343,38.55283648497425,384,384
generic,384,C31,1.9,0.14,10,generic,4,0.5,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.4926432291666666,0.017016503906250004,8.734170211619076e-06,8.305606354861834e-21,8.734170211619084e-06,True,True,True,0.0167217662542151,34.25189281802159,384,384
generic,384,C31,1.9,0.14,11,generic,5,0.9,0.002,0.1,0.03,COMPLETED,,0,0.1,0.03,0.7614583333333332,3.604340277777777e-05,4.129385649057813e-08,3.148138364444826e-19,4.129385649089294e-08,True,True,True,0.13855558642037347,27.165109060006216,384,384
generic,385,C31,1.9,0.15,0,generic,1,0.5,0.0001,0.015,0.008,COMPLETED,,0,0.015,0.008,0.4956933593749999,0.0120921875,0.0008927980809269155,9.198377129234712e-21,0.0008927980809269155,True,True,True,0.01274204514621014,38.33987730892841,385,385
generic,385,C31,1.9,0.15,1,generic,2,0.9,0.0001,0.015,0.015,COMPLETED,,1,0.02625,0.02625,0.8475512695312502,0.0004889028320312499,0.04579290652206134,2.0675395771816987e-19,0.04579290652206134,True,True,True,0.05245017228948188,89.12213877902832,385,385
generic,385,C31,1.9,0.15,2,generic,3,0.1,0.002,0.015,0.03,COMPLETED,,3,0.080390625,0.16078125,0.2606242370605468,0.00010852178710183979,0.04871009635213602,2.849373478267347e-25,0.04871009635213602,True,True,True,0.1606353735050677,176.74076988792513,385,385
generic,385,C31,1.9,0.15,3,generic,4,0.5,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.49560546875,0.014940332031249998,8.640874322497706e-05,8.893769622299852e-21,8.640874322497708e-05,True,True,True,0.013666166177323517,36.056711322045885,385,385
generic,385,C31,1.9,0.15,4,generic,5,0.9,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.8400585937499998,0.0004678381076388889,0.034409762411158465,2.0718711857803231e-19,0.034409762411158465,True,True,True,0.059960984842578835,43.636739768087864,385,385
generic,385,C31,1.9,0.15,5,generic,0,0.1,0.0001,0.03,0.03,COMPLETED,,2,0.091875,0.091875,0.283570556640625,6.183707456235532e-05,0.045080908101439034,7.97727701795696e-26,0.045080908101439034,True,True,True,0.18357056060751625,119.57905507797841,385,385
generic,385,C31,1.9,0.15,6,generic,1,0.5,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.49566406249999995,0.0120921875,0.0008928240652256478,9.19752531328495e-21,0.0008928240652256478,True,True,True,0.01275197690709417,33.783265129080974,385,385
generic,385,C31,1.9,0.15,7,generic,2,0.9,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.7899609375000001,1e-06,0.0011925967725718524,2.1927422251711973e-14,0.0011925967725937797,True,True,True,0.11003910703417624,51.404884048970416,385,385
generic,385,C31,1.9,0.15,8,generic,3,0.1,0.002,0.06,0.03,COMPLETED,,1,0.105,0.0525,0.30716634114583335,1.958045789930555e-05,0.039591036449715726,3.646509534384127e-26,0.039591036449715726,True,True,True,0.20717580690156498,77.15386390197091,385,385
generic,385,C31,1.9,0.15,9,generic,4,0.5,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.4956380208333333,0.014940332031249998,8.740899225733154e-05,8.89661773281181e-21,8.740899225733156e-05,True,True,True,0.013655733423343799,37.415825000964105,385,385
generic,385,C31,1.9,0.15,10,generic,5,0.9,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.7614583333333332,6.355787037037038e-05,5.026535538883964e-08,2.771552079356449e-19,5.0265355389116796e-08,True,True,True,0.1385551991478458,31.849183108075522,385,385
