script,line,literal,suffix,exists,status
code/scripts/audits/audit_diagnose_supersonic_raw_spectrum_vs_blumen.py,271,_raw_modes.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_raw_spectrum_vs_blumen.py,272,_nearest.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_raw_spectrum_vs_blumen.py,273,_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_highM_tail_resolution.py,203,highM_tail_resolution_metrics.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_highM_tail_resolution.py,211,highM_tail_resolution_worst_points.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_highM_tail_resolution.py,239,summary.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_kappa_q_modulus_convergence.py,557,convergence_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_kappa_q_modulus_convergence.py,597,convergence_summary.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_local_M150_S4M0_modes.py,520,s4m0_modal_audit.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_local_M150_S4M0_modes.py,571,s4m0_modal_summary.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_local_supersonic_modal_dense.py,1079,modal_dense_per_mode_metrics.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_local_supersonic_modal_dense.py,1089,modal_dense_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_local_supersonic_modal_dense.py,1099,modal_dense_paired_comparison.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_local_supersonic_modal_dense.py,1126,audit_metadata.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_pinn_supersonic_fixedM_core_windows.py,163,modal_predictions_all_rows.npz,.npz,,BASENAME_FRAGMENT
