median_delta_e,fraction_physics_better
-1.925311444828104e-06,0.6050228310502284
-1.2190799987543688e-06,0.5877862595419847
-2.164745315447192e-06,0.6108695652173913
-2.4702184122371573e-06,0.5888077858880778
-5.708303452145458e-07,0.5718954248366013
-3.6217830285401043e-06,0.6618357487922706
-8.405577587855539e-07,0.5938864628820961
-7.588727433949227e-07,0.5567567567567567
-3.7845721366502882e-06,0.672316384180791
-4.576497486530329e-06,0.6835820895522388
-2.6239727179203087e-06,0.6678200692041523
-4.770597271552823e-06,0.6767895878524945
-1.6353356442067035e-06,0.6047904191616766
-2.0589430420742127e-06,0.5870535714285714
-1.905853242112343e-06,0.6545961002785515
-1.037324118102756e-06,0.5605095541401274
-2.4956960027328057e-06,0.6637168141592921
-2.4956960027328057e-06,0.6526717557251909
-3.562558353743805e-06,0.6390532544378699
-1.8252627708159608e-06,0.6096385542168675
-8.174308891717441e-07,0.5452127659574468
-1.925311444828104e-06,0.62
-4.590584326003011e-06,0.7032085561497327
-9.523714760706348e-07,0.5664739884393064
-4.233943114662075e-06,0.6846846846846847
-7.78624993141852e-06,0.7290322580645161
-1.536869911333838e-06,0.5972222222222222
-1.3408007689258428e-06,0.5778894472361809
-5.347634399743839e-07,0.5384615384615384
-1.4625215390973167e-06,0.598159509202454
-7.353933972817361e-07,0.5649717514124294
-1.5072809994576275e-06,0.6082949308755761
-6.068972504547077e-07,0.5315904139433552
-3.416724096982904e-06,0.6597014925373135
-8.470234900800205e-06,0.75
-7.621137884106233e-07,0.5529411764705883
-1.0717233990178293e-06,0.5769230769230769
-5.179454037163023e-06,0.6848816029143898
-2.672241923129537e-06,0.6479750778816199
-7.621137884106233e-07,0.5669515669515669
-9.523714760706348e-07,0.5916398713826366
-2.2813841975277693e-06,0.5894988066825776
-2.53289247943711e-06,0.6699029126213593
-2.318958635861082e-06,0.6558441558441559
-2.608279653926182e-07,0.515625
-3.416724096982904e-06,0.6156156156156156
-1.8252627708159608e-06,0.5841995841995842
-1.2703665956403931e-06,0.5940366972477065
-1.905853242112343e-06,0.6474164133738601
-1.6594530048430478e-06,0.5809352517985612
-2.9224008833150794e-06,0.6057971014492753
-3.62023712185966e-06,0.6508313539192399
-2.810424472365902e-06,0.6442953020134228
-1.4895875823095484e-06,0.6114130434782609
-2.5725731555743814e-06,0.6210526315789474
-1.94617151034332e-06,0.5941320293398533
-3.942433287329461e-06,0.6614420062695925
-3.506222863325359e-06,0.6445623342175066
-1.6502970019219299e-06,0.5961538461538461
-2.436293191295652e-06,0.6432926829268293
-7.765883814764285e-07,0.5621761658031088
-1.925311444828104e-06,0.6057692307692307
-1.5072809994576275e-06,0.5945205479452055
-2.0589430420742127e-06,0.6142857142857143
-5.897427204467481e-06,0.7470588235294118
-2.1133209507796097e-06,0.6344086021505376
-9.25046954980413e-07,0.5783475783475783
-1.147417331273659e-06,0.5688622754491018
-1.7720755353112239e-06,0.6036866359447005
-1.8252627708159608e-06,0.6027397260273972
-2.2813841975277693e-06,0.6217494089834515
-1.5072809994576275e-06,0.5981941309255079
-4.3220929143439335e-06,0.6675062972292192
-3.147700892158767e-07,0.5233918128654971
-5.305419422674262e-07,0.556497175141243
-3.6524703720952623e-06,0.6803519061583577
-1.4642563861966271e-06,0.5866261398176292
-2.4956960027328057e-06,0.6575
-2.0589430420742127e-06,0.6182336182336182
-2.6239727179203087e-06,0.654178674351585
-2.2813841975277693e-06,0.6368286445012787
-7.621137884106233e-07,0.5570469798657718
-7.943040195579343e-07,0.55
-7.782089039842788e-07,0.554
-3.621226755678997e-07,0.5508196721311476
-1.162988584024749e-05,0.7111650485436893
3.160884055608548e-07,0.48231511254019294
-4.245596716523359e-06,0.64453125
-1.6326674223687834e-07,0.5138888888888888
-2.4956960027328057e-06,0.600896860986547
-5.728274983796133e-07,0.534375
-1.6594530048430478e-06,0.6072351421188631
-3.562558353743805e-06,0.6628242074927954
-3.62023712185966e-06,0.6436170212765957
-4.364123887073967e-06,0.6467991169977925
-1.935741477585712e-06,0.6082474226804123
-2.351736417990219e-06,0.6222826086956522
-2.318958635861082e-06,0.5945945945945946
-2.797321403222308e-06,0.5963114754098361
-5.179454037163023e-06,0.6720142602495544
-1.8252627708159608e-06,0.6260869565217392
-3.506222863325359e-06,0.6524390243902439
-2.1977649285326306e-06,0.59375
-1.1282020584285624e-06,0.5760869565217391
-4.3220929143439335e-06,0.6502590673575129
-3.822687404508862e-06,0.6434977578475336
-2.4220886384526685e-06,0.6167800453514739
-1.2499228286000363e-06,0.56
-1.244723297197381e-06,0.6322314049586777
-2.436293191295652e-06,0.5909090909090909
-2.0554584128952558e-06,0.6057692307692307
-1.366444067368855e-06,0.5911949685534591
-3.7700014182129316e-06,0.6255924170616114
-7.588727433949227e-07,0.5843373493975904
-2.810424472365902e-06,0.6356968215158925
-1.6893757202735005e-06,0.5896103896103896
-5.2488502374405804e-06,0.6357615894039735
-1.6112182835703592e-06,0.6032171581769437
-7.281524304486586e-07,0.5605536332179931
3.454979261019453e-07,0.4904214559386973
-3.3839839521099258e-06,0.6730310262529833
-1.6353356442067035e-06,0.6012269938650306
-1.6353356442067035e-06,0.5817307692307693
-3.589156772842994e-06,0.6579804560260586
-2.0589430420742127e-06,0.5792811839323467
-4.3220929143439335e-06,0.6404199475065617
-2.6025672012833234e-06,0.6308411214953271
-1.4625215390973167e-06,0.5777777777777777
-2.2813841975277693e-06,0.5927710843373494
-1.4718941651614692e-06,0.5955678670360111
-3.5873632983074444e-06,0.6539379474940334
-2.167698859485006e-06,0.6016427104722792
-2.6239727179203087e-06,0.6275720164609053
-3.097204212237914e-06,0.6216931216931217
-4.069677606383104e-06,0.6748466257668712
-4.590584326003011e-06,0.6263157894736842
-3.564775899272954e-06,0.6267605633802817
-1.1282020584285624e-06,0.592964824120603
-1.5072809994576275e-06,0.6703296703296703
-1.3673114909185102e-06,0.6268115942028986
-1.935741477585712e-06,0.5829596412556054
-3.3788218926217306e-06,0.6608695652173913
-2.351736417990219e-06,0.6170731707317073
-1.8252627708159608e-06,0.6115879828326181
-2.672241923129537e-06,0.6270096463022508
-1.0308960925048405e-06,0.5941558441558441
-3.62023712185966e-06,0.6277915632754343
-7.943040195579343e-07,0.5664335664335665
-1.6762395751990231e-06,0.6153846153846154
-5.347634399743839e-07,0.5427728613569321
-1.7041320100399937e-06,0.6075
-9.611870951109491e-07,0.5582191780821918
-5.676259712428244e-06,0.6261022927689595
-3.6378996536579056e-06,0.6839622641509434
-4.590584326003011e-06,0.6757425742574258
-3.229457198189456e-07,0.516629711751663
-1.718888299806487e-06,0.5921052631578947
-5.897427204467481e-06,0.6885521885521886
-5.790419580042894e-06,0.6673114119922631
-2.4220886384526685e-06,0.6407035175879398
-7.426343641148136e-07,0.5512465373961218
-1.4642563861966271e-06,0.5984848484848485
-7.782089039842788e-07,0.5862068965517241
-1.0108976510742052e-06,0.5495283018867925
-4.314684885788761e-06,0.6572890025575447
-1.0308960925048405e-06,0.5564516129032258
