benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error
6,C12,1.3,0.29,0.3260440440428363,0.0075259175747822,0.32599226,0.0055034626,0.0020231178196322987,COMPLETED,,0.32604108812499993,0.007521643841992188,2.6240354401285864e-06,3.805462659924968e-21,2.62403544012859e-06,True,True,0,0.015,0.008,12,417.16956064198166,5.19636817555352e-06
39,C20,1.55,0.115,0.3647793295971357,0.0452945808224513,0.36177626,0.043218404,0.0036508817021816456,COMPLETED,,0.36478407250000006,0.045296528999999995,9.449070183200645e-07,6.616239174651106e-21,9.449070183200711e-07,True,True,0,0.06,0.008,12,334.07674529997166,5.127428531125803e-06
34,C20,1.55,0.055,0.3188262390250224,0.0500136695789316,0.32245415,0.047634874,0.00433824923773491,COMPLETED,,0.318831103125,0.050015082333333336,3.154667509108824e-07,1.3908218247856101e-21,3.154667509108838e-07,True,True,0,0.015,0.008,12,304.68604914296884,5.065110422489026e-06
4,C12,1.3,0.27,0.320097937978743,0.0165434109647926,0.32047418,0.013028415,0.0035350749201491956,COMPLETED,,0.320093320625,0.016544040000000003,2.1802793252338797e-06,2.2711039899177796e-21,2.180279325233882e-06,True,True,0,0.015,0.008,12,402.8078221899923,4.660004386244009e-06
10,C12,1.35,0.235,0.3317977676531085,0.0265945609610555,0.32952628,0.027607808,0.0024872325424362793,COMPLETED,,0.33180167062500004,0.026592183000000002,1.8540772704382352e-06,1.197352014606177e-24,1.8540772704382352e-06,True,True,0,0.015,0.008,12,392.3408343279734,4.5703269432092545e-06
8,C12,1.35,0.21,0.3225689560726936,0.037138876949919,0.32606092,0.03356654,0.00499553834469976,COMPLETED,,0.32256482625,0.03714075875000001,1.6229178307520317e-06,4.485713302211373e-22,1.6229178307520321e-06,True,True,0,0.03,0.03,12,375.8345548660145,4.5383484909666354e-06
25,C20,1.45,0.085,0.2972357177263615,0.0651403110606665,0.2917616,0.0693007,0.006875667313693517,COMPLETED,,0.297240115625,0.06514054375,4.819840205079629e-07,4.5483105699330256e-21,4.819840205079674e-07,True,True,0,0.015,0.03,12,310.2708818850224,4.4040500406796515e-06
20,C12,1.4,0.27,0.3643707330941902,0.0073819678356949,0.36471802,0.00384088,0.0035580769040386563,COMPLETED,,0.3643664574999999,0.007381967265625001,2.0135353130867124e-06,2.4739362797882753e-22,2.013535313086713e-06,True,True,0,0.06,0.03,12,424.59521177900024,4.275594228310136e-06
15,C12,1.35,0.295,0.3499126544947055,0.0009334624149684,0.35035616,0.0025183295,0.001645752353923009,COMPLETED,,0.3499167068749999,0.0009321165861816405,2.2120134563979452e-06,3.557070457102432e-23,2.2120134563979452e-06,True,True,0,0.015,0.008,12,442.81275862496113,4.270016530884817e-06
48,C21,1.45,0.13,0.3299286886080188,0.0538600495140795,0.33053774,0.053017948,0.0010392682801323334,COMPLETED,,0.32993227124999996,0.05385779175,8.644556020345628e-07,6.633878615673715e-21,8.644556020345695e-07,True,True,0,0.03,0.03,12,331.5924368450069,4.23471630734377e-06
46,C20,1.6,0.115,0.3850335169835032,0.0401163544206415,0.38650396,0.03846462,0.0022114314959085,COMPLETED,,0.38502935062500004,0.04011566166666666,8.047347075615297e-07,6.494136335767795e-21,8.047347075615362e-07,True,True,0,0.015,0.008,12,337.5333781230147,4.2235590733848145e-06
