Mach,alpha,ci,source
1.2,0.2,0.0059439429305747,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.008880525423872,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0060684046798469,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0084027704903201,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0061910111168125,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0079868726511258,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0063118404391469,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0076153452563443,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0064309139870382,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0072766903834377,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0065482003870442,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.006963161617457,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0066636189184489,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0066693673889744,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0067770425454485,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0063914388581602,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0068883010502814,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0061265260408077,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0069971847106784,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0058724832935759,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0071034489753312,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0056276665716581,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
