path,size_KiB,argparse_flags,mentions_anchor,mentions_riccati,mentions_seed
classical_solver/supersonic/shooting_supersonic.py,13.75390625,,True,True,True
extract_mode_profiles_20.py,13.0322265625,--index|--model-root|--output-root|--overwrite|--point-id|--policy-csv,False,False,True
finalize_fig01_and_a5.py,13.232421875,,True,False,True
make_longwave_mapping_audit.py,12.515625,--dpi|--etaedge-csv|--hm2-csv|--output-dir|--release-dir,False,False,False
pinn_subsonic/scripts/figures/asset_common.py,7.0751953125,,False,False,True
pinn_subsonic/scripts/figures/build_ci_and_atlas_assets.py,27.1611328125,--atlas-root|--blumen-csv|--output-dir|--repo-root,True,False,True
pinn_subsonic/scripts/figures/canonicalize_mode_profiles.py,1.7099609375,--output-dir|--pipeline|--points-csv|--search-root,False,False,False
pinn_subsonic/scripts/figures/check_assets_v2.py,2.36328125,--asset-dir,False,False,False
pinn_subsonic/scripts/figures/inventory_missing_inputs.py,1.5283203125,--atlas-root|--repo-root,False,False,False
pinn_subsonic/scripts/figures/make_blumen_classical_pinn_overlay.py,6.59765625,,False,False,False
pinn_subsonic/scripts/figures/make_blumen_isoline_assets.py,16.716796875,--blumen-dir|--dpi|--negative-alpha-tolerance|--output-dir|--relative-error-floor|--release-csv,False,False,True
pinn_subsonic/scripts/figures/make_longwave_mapping_audit.py,12.5595703125,--dpi|--etaedge-csv|--hm2-csv|--output-dir|--release-dir,False,False,False
pinn_subsonic/scripts/figures/make_mode_pdfs.py,4.9482421875,--direct-profile-dir|--gep-profile-dir|--output-dir|--points-csv,False,False,True
pinn_subsonic/scripts/figures/make_numerical_audits.py,7.9833984375,--atlas-root|--output-dir|--repo-root,False,False,False
pinn_subsonic/scripts/figures/make_representative_mode_figure.py,2.1943359375,--direct-profile-dir|--gep-profile-dir|--n-points|--output-stem|--points-csv,True,False,True
pinn_subsonic/scripts/figures/select_mode_points_20.py,4.75,--atlas-root|--output|--repo-root,False,False,True
pinn_subsonic/scripts/release/audit_requested_assets.py,9.10546875,--output-dir|--repo-root,True,False,True
pinn_subsonic/scripts/release/build_pinn_subsonic_curated_tree.py,9.9052734375,--asset-dir|--clean|--code-dir|--model-mode|--repo-root|--strict-models,True,False,True
pinn_subsonic/scripts/validation/benchmark_subsonic_local_atlas_core_ci_seeded_gep_v2.py,9.9375,--N|--include-ci-only|--manifest|--max-points|--output-dir,False,False,True
pinn_subsonic/scripts/validation/continue_subsonic_offgrid_neutral_N401.py,20.0751953125,--N|--accept-ci-abs|--accept-overlap|--eta-high|--eta-low|--fallback-overlap|--mapping-scale|--max-step|--output-dir|--target-index|--targets-csv|--xi-max,False,False,True
pinn_subsonic/scripts/validation/validate_subsonic_atlas_offgrid.py,15.494140625,--max-points|--num-shards|--output-csv|--points-csv|--resume|--shard-index,True,False,True
repair_curated_model_links.py,11.185546875,--catalog|--code-dir|--dry-run|--mode|--repo-root,True,False,False
scripts/assets_v2/build_blumen_exact_point_comparison.py,14.294921875,--blumen-csv|--figure-dir|--index|--manifest-out|--output-dir,True,False,True
scripts/assets_v2/build_exact4_article_modes.py,21.7900390625,,True,False,True
scripts/assets_v2/extract_mode_profiles_20.py,13.0322265625,--index|--model-root|--output-root|--overwrite|--point-id|--policy-csv,False,False,True
scripts/assets_v2/finalize_fig01_and_a5.py,13.232421875,,True,False,True
