normal_axis,chart_minus_grid,chart_plus_grid,Mach_minus_grid,Mach_plus_grid,alpha_minus_grid,alpha_plus_grid,Mach_mid,alpha_mid,pair_id
Mach,C22,C32,1.648,1.6509999999999998,0.29696666666666666,0.29696666666666666,1.6494999999999997,0.29696666666666666,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.298,0.298,1.6494999999999997,0.298,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2990333333333333,0.2990333333333333,1.6494999999999997,0.2990333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.30006666666666665,0.30006666666666665,1.6494999999999997,0.30006666666666665,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3011,0.3011,1.6494999999999997,0.3011,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3021333333333333,0.3021333333333333,1.6494999999999997,0.3021333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.30316666666666664,0.30316666666666664,1.6494999999999997,0.30316666666666664,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.30419999999999997,0.30419999999999997,1.6494999999999997,0.30419999999999997,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.30523333333333336,0.30523333333333336,1.6494999999999997,0.30523333333333336,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3062666666666667,0.3062666666666667,1.6494999999999997,0.3062666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3073,0.3073,1.6494999999999997,0.3073,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.30833333333333335,0.30833333333333335,1.6494999999999997,0.30833333333333335,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3093666666666667,0.3093666666666667,1.6494999999999997,0.3093666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3104,0.3104,1.6494999999999997,0.3104,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.31143333333333334,0.31143333333333334,1.6494999999999997,0.31143333333333334,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.31246666666666667,0.31246666666666667,1.6494999999999997,0.31246666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3135,0.3135,1.6494999999999997,0.3135,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.31453333333333333,0.31453333333333333,1.6494999999999997,0.31453333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.31556666666666666,0.31556666666666666,1.6494999999999997,0.31556666666666666,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3166,0.3166,1.6494999999999997,0.3166,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3176333333333333,0.3176333333333333,1.6494999999999997,0.3176333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.31866666666666665,0.31866666666666665,1.6494999999999997,0.31866666666666665,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3197,0.3197,1.6494999999999997,0.3197,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3207333333333333,0.3207333333333333,1.6494999999999997,0.3207333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.32176666666666665,0.32176666666666665,1.6494999999999997,0.32176666666666665,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3228,0.3228,1.6494999999999997,0.3228,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3238333333333333,0.3238333333333333,1.6494999999999997,0.3238333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3248666666666667,0.3248666666666667,1.6494999999999997,0.3248666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3259,0.3259,1.6494999999999997,0.3259,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.32693333333333335,0.32693333333333335,1.6494999999999997,0.32693333333333335,C22--C32
