boundary_id,normal_axis,chart_minus_grid,chart_plus_grid,Mach_minus_grid,Mach_plus_grid,alpha_minus_grid,alpha_plus_grid,Mach_mid,alpha_mid,pair_id,component,chart_minus,chart_plus,Mach_boundary,alpha_boundary,clean_pair_switch
ROUTE_0057,Mach,C20,C30,1.648,1.6509999999999998,0.08926666666666666,0.08926666666666666,1.6494999999999997,0.08926666666666666,C20--C30,0,C20,C30,1.6500000005000033,0.08926666666666666,True
ROUTE_0058,Mach,C20,C30,1.648,1.6509999999999998,0.10993333333333334,0.10993333333333334,1.6494999999999997,0.10993333333333334,C20--C30,0,C20,C30,1.6500000005000033,0.10993333333333334,True
ROUTE_0059,Mach,C20,C30,1.648,1.6509999999999998,0.12956666666666666,0.12956666666666666,1.6494999999999997,0.12956666666666666,C20--C30,0,C20,C30,1.6500000005000033,0.12956666666666666,True
ROUTE_0060,alpha,C21,C22,1.351,1.351,0.2194666666666667,0.22050000000000003,1.351,0.21998333333333336,C21--C22,0,C21,C22,1.351,0.2200000005000543,True
ROUTE_0061,alpha,C21,C22,1.426,1.426,0.2194666666666667,0.22050000000000003,1.426,0.21998333333333336,C21--C22,0,C21,C22,1.426,0.2200000005000543,True
ROUTE_0062,alpha,C21,C22,1.501,1.501,0.2194666666666667,0.22050000000000003,1.501,0.21998333333333336,C21--C22,0,C21,C22,1.501,0.2200000005000543,True
ROUTE_0063,alpha,C21,C22,1.573,1.573,0.2194666666666667,0.22050000000000003,1.573,0.21998333333333336,C21--C22,0,C21,C22,1.573,0.2200000005000543,True
ROUTE_0064,alpha,C21,C22,1.648,1.648,0.2194666666666667,0.22050000000000003,1.648,0.21998333333333336,C21--C22,0,C21,C22,1.648,0.2200000005000543,True
ROUTE_0065,Mach,C21,C31,1.648,1.6509999999999998,0.1306,0.1306,1.6494999999999997,0.1306,C21--C31,0,C21,C31,1.6500000005000033,0.1306,True
ROUTE_0066,Mach,C21,C31,1.648,1.6509999999999998,0.15333333333333332,0.15333333333333332,1.6494999999999997,0.15333333333333332,C21--C31,0,C21,C31,1.6500000005000033,0.15333333333333332,True
ROUTE_0067,Mach,C21,C31,1.648,1.6509999999999998,0.17503333333333332,0.17503333333333332,1.6494999999999997,0.17503333333333332,C21--C31,0,C21,C31,1.6500000005000033,0.17503333333333332,True
ROUTE_0068,Mach,C21,C31,1.648,1.6509999999999998,0.19673333333333332,0.19673333333333332,1.6494999999999997,0.19673333333333332,C21--C31,0,C21,C31,1.6500000005000033,0.19673333333333332,True
ROUTE_0069,Mach,C21,C31,1.648,1.6509999999999998,0.2194666666666667,0.2194666666666667,1.6494999999999997,0.2194666666666667,C21--C31,0,C21,C31,1.6500000005000033,0.2194666666666667,True
ROUTE_0070,Mach,C22,C32,1.648,1.6509999999999998,0.22050000000000003,0.22050000000000003,1.6494999999999997,0.22050000000000003,C22--C32,0,C22,C32,1.6500000005000033,0.22050000000000003,True
ROUTE_0071,Mach,C22,C32,1.648,1.6509999999999998,0.2556333333333333,0.2556333333333333,1.6494999999999997,0.2556333333333333,C22--C32,0,C22,C32,1.6500000005000033,0.2556333333333333,True
ROUTE_0072,Mach,C22,C32,1.648,1.6509999999999998,0.2907666666666667,0.2907666666666667,1.6494999999999997,0.2907666666666667,C22--C32,0,C22,C32,1.6500000005000033,0.2907666666666667,True
ROUTE_0073,Mach,C22,C32,1.648,1.6509999999999998,0.3248666666666667,0.3248666666666667,1.6494999999999997,0.3248666666666667,C22--C32,0,C22,C32,1.6500000005000033,0.3248666666666667,True
ROUTE_0074,Mach,C22,C32,1.648,1.6509999999999998,0.36,0.36,1.6494999999999997,0.36,C22--C32,0,C22,C32,1.6500000005000033,0.36,True
ROUTE_0075,alpha,C30,C31,1.6509999999999998,1.6509999999999998,0.12956666666666666,0.1306,1.6509999999999998,0.13008333333333333,C30--C31,0,C30,C31,1.6509999999999998,0.13000000049990673,True
ROUTE_0076,alpha,C30,C31,1.714,1.714,0.12956666666666666,0.1306,1.714,0.13008333333333333,C30--C31,0,C30,C31,1.714,0.13000000049990673,True
ROUTE_0077,alpha,C30,C31,1.777,1.777,0.12956666666666666,0.1306,1.777,0.13008333333333333,C30--C31,0,C30,C31,1.777,0.13000000049990673,True
ROUTE_0078,alpha,C30,C31,1.8369999999999997,1.8369999999999997,0.12956666666666666,0.1306,1.8369999999999997,0.13008333333333333,C30--C31,0,C30,C31,1.8369999999999997,0.13000000049990673,True
ROUTE_0079,alpha,C30,C31,1.9,1.9,0.12956666666666666,0.1306,1.9,0.13008333333333333,C30--C31,0,C30,C31,1.9,0.13000000049990673,True
ROUTE_0080,alpha,C31,C32,1.6509999999999998,1.6509999999999998,0.2194666666666667,0.22050000000000003,1.6509999999999998,0.21998333333333336,C31--C32,0,C31,C32,1.6509999999999998,0.2200000005000543,True
ROUTE_0081,alpha,C31,C32,1.714,1.714,0.2194666666666667,0.22050000000000003,1.714,0.21998333333333336,C31--C32,0,C31,C32,1.714,0.2200000005000543,True
ROUTE_0082,alpha,C31,C32,1.777,1.777,0.2194666666666667,0.22050000000000003,1.777,0.21998333333333336,C31--C32,0,C31,C32,1.777,0.2200000005000543,True
ROUTE_0083,alpha,C31,C32,1.8369999999999997,1.8369999999999997,0.2194666666666667,0.22050000000000003,1.8369999999999997,0.21998333333333336,C31--C32,0,C31,C32,1.8369999999999997,0.2200000005000543,True
ROUTE_0084,alpha,C31,C32,1.9,1.9,0.2194666666666667,0.22050000000000003,1.9,0.21998333333333336,C31--C32,0,C31,C32,1.9,0.2200000005000543,True
