benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error
34,C12,1.4,0.21,0.3451000202138525,0.031492731749407,0.34633726,0.03052134,0.0015730111948877704,COMPLETED,,0.3451002808333332,0.031495298333333324,9.3515887718457e-07,1.017541603946519e-21,9.351588771845711e-07,True,True,0,0.1,0.008,12,383.18970608804375,2.579782076960606e-06
20,C02,1.2,0.285,0.2745150983935676,0.0207082606481318,0.27230835,0.014230884,0.006842963299205715,COMPLETED,,0.27451538125,0.020705928037760415,1.1496071677489715e-06,1.0495921432612837e-20,1.1496071677489821e-06,True,True,0,0.03,0.015,12,387.8957354580052,2.3496976201359255e-06
54,C31,1.7,0.12,0.4243596505971577,0.0309763785020722,0.42528585,0.031545848,0.0010872630053927316,COMPLETED,,0.4243581156250001,0.03097813966666666,4.969866014641557e-07,6.76823813080299e-21,4.969866014641625e-07,True,True,0,0.015,0.008,12,348.16127039399,2.336202100290395e-06
17,C02,1.1,0.215,0.1820716357575376,0.0726387709774911,0.18070376,0.07142021,0.001831932024918811,COMPLETED,,0.18207094749999997,0.072640913125,7.290870013520755e-07,8.409619534223924e-21,7.290870013520839e-07,True,True,0,0.06,0.015,12,330.16397426405456,2.24999875289047e-06
23,C10,1.35,0.055,0.2048051278829152,0.0932814022118254,0.1975607,0.09155875,0.007446426390804246,COMPLETED,,0.20480679375000002,0.09328270833333331,1.0668055880861571e-07,2.3930774642901044e-21,1.0668055880861811e-07,True,True,0,0.03,0.008,12,276.28491325792857,2.116852979719282e-06
28,C11,1.25,0.195,0.2657063752620336,0.0577515784663902,0.26775923,0.057298604,0.0021022365334073603,COMPLETED,,0.26570844875000005,0.05775172900000001,6.537392508640551e-07,3.191412542440027e-23,6.537392508640551e-07,True,True,0,0.03,0.008,12,347.14097840397153,2.07894509659052e-06
0,C00,1.05,0.105,1.861849458323276e-10,0.0596915838649033,0.009690434,0.051929962,0.012415606367539005,COMPLETED,,0.0,0.059693633875,3.1723787842216496e-07,2.940936061820814e-21,3.172378784221679e-07,True,True,0,0.015,0.015,12,266.180688648019,2.0500101051525477e-06
52,C30,1.8,0.115,0.4550520054455996,0.0254326671624637,0.46162862,0.023168676,0.0069553946675127536,COMPLETED,,0.4550530991666667,0.025434301000000003,4.1555369876581525e-07,6.2156127434337304e-21,4.1555369876582145e-07,True,True,0,0.1,0.008,12,354.6303292190423,1.9661258524448324e-06
26,C11,1.25,0.16,0.2464222279528879,0.0743731035158428,0.24583596,0.07566147,0.001415485185398619,COMPLETED,,0.2464218975,0.07437501166666667,4.669945634591449e-07,1.6683588866042673e-21,4.669945634591466e-07,True,True,0,0.06,0.008,12,336.02701350697316,1.9365532984635214e-06
21,C02,1.2,0.315,0.283776640858734,0.0058299567246247,0.27316344,0.00584963,0.010613219092508949,COMPLETED,,0.2837754191666667,0.005831130099283854,9.290002755694894e-07,1.5133219691251007e-20,9.290002755695046e-07,True,True,0,0.1,0.03,12,411.13558017101604,1.6939125119139345e-06
24,C10,1.35,0.09,0.2484573310607619,0.0834671719506741,0.2565351,0.085273266,0.008277217331369916,COMPLETED,,0.248458928125,0.083466625375,1.859269008154533e-07,5.348508713504583e-21,1.8592690081545866e-07,True,True,0,0.015,0.015,12,298.05456276005134,1.6880044870062507e-06
44,C21,1.6,0.12,0.3876599201926229,0.0391748932154282,0.38309824,0.03921232,0.00456183372603296,COMPLETED,,0.38765878687499994,0.03917586166666667,3.002817217162403e-07,6.8830017352014e-21,3.002817217162472e-07,True,True,0,0.015,0.008,12,338.6046849490376,1.490740297917938e-06
33,C12,1.25,0.315,0.3091557589953352,0.0007606930795383,0.3098503,0.0027401487,0.00209776828094483,COMPLETED,,0.30915694062500004,0.0007613129090657552,5.954266895582174e-07,6.094878319474601e-22,5.95426689558218e-07,True,True,0,0.015,0.015,12,433.54843771096785,1.334330284422937e-06
22,C10,1.3,0.085,0.2134213938242283,0.0967386008453398,0.22821523,0.09804563,0.0148514616791312,COMPLETED,,0.21342030812500004,0.09673833833333333,1.0775270418118019e-07,5.1505075649981965e-21,1.0775270418118533e-07,True,True,0,0.015,0.008,12,288.0299935869407,1.1169849452042603e-06
41,C21,1.5,0.205,0.3845145331817926,0.0238977814289654,0.3878339,0.024961686,0.0034856977795105636,COMPLETED,,0.3845135875,0.023897232875000004,3.9439692997453456e-07,2.9849306806771133e-21,3.943969299745375e-07,True,True,0,0.1,0.015,12,395.8649355790112,1.0932636945413868e-06
35,C12,1.4,0.255,0.360051802461027,0.0134816819704447,0.36011007,0.0098404875,0.003641660648343697,COMPLETED,,0.36005147625000006,0.013481112499999996,2.917792292994101e-07,1.7806169141509584e-23,2.917792292994101e-07,True,True,0,0.03,0.008,12,410.09347437508404,6.562851678257059e-07
38,C20,1.55,0.06,0.3237921600955207,0.0505159341051575,0.3308913,0.04535405,0.008777404792901374,COMPLETED,,0.3237916906250001,0.050515508333333334,4.5017532910426597e-08,1.719755807008257e-21,4.501753291042832e-08,True,True,0,0.015,0.008,12,304.82402840896975,6.337856230535987e-07
30,C11,1.4,0.19,0.3372147010212746,0.0392805758273937,0.33640373,0.037702095,0.001774619880367808,COMPLETED,,0.337214276875,0.03928021999999999,1.7911367469237517e-07,2.3332361649712365e-21,1.791136746923775e-07,True,True,0,0.015,0.008,12,371.2236625169171,5.536363394623469e-07
19,C02,1.15,0.23,0.2240340200598721,0.0560742848095208,0.2300891,0.055419914,0.00609033613503327,COMPLETED,,0.22403441250000006,0.056074210875,1.476811270994184e-07,5.9894329112714776e-21,1.4768112709942438e-07,True,True,0,0.06,0.015,12,343.4846516000107,3.993439211892294e-07
5,C01,1.0,0.145,-5.6069094750228085e-11,0.0290465325718309,0.002675444,0.04328492,0.01448756975658096,COMPLETED,,0.0,0.02904663875,3.596531235579007e-08,3.604158470936254e-21,3.596531235579368e-08,True,True,0,0.015,0.015,12,263.8254265600117,1.0617818390481186e-07
