cost_id,Mach,alpha,classical_success,classical_cr,classical_ci,classical_omega_i,classical_residual_norm,classical_delta_kappa,classical_delta_q,classical_parameterization,classical_settings_name,classical_best_seed_index,classical_best_seed_cr,classical_best_seed_ci,classical_n_generic_starts,classical_n_accepted_starts,classical_n_solver_attempts,classical_objective_calls,classical_integration_failures,classical_seconds,status,_source_file,_technical_success,mach_index,alpha_index,primary_chart
40,1.09,0.05775,True,3.5584775051059737e-10,0.0436678461321923,0.0025218181141341,6.556185417149393e-13,6.149360534668524e-13,-2.273528587615204e-13,log_ci,nominal,3,0.1,0.002,6,1,36,3034,0,243.6406894630054,COMPLETED,classical_COST500_chunk_008.csv,True,2,0,C00
41,1.09,0.07325,True,1.2950785118989395e-10,0.0608758649991348,0.0044591571111866,9.706198049789597e-13,7.408379465445591e-13,6.271060060125677e-13,log_ci,nominal,3,0.1,0.002,6,1,36,3297,0,265.0452895000344,COMPLETED,classical_COST500_chunk_008.csv,True,2,1,C00
42,1.09,0.08875,True,1.2953454940729518e-10,0.0858385220441438,0.0076181688314177,1.059045517348202e-12,-4.1331348066275813e-13,9.750637797178996e-13,log_ci,nominal,3,0.1,0.002,6,1,36,3476,0,278.7577619859949,COMPLETED,classical_COST500_chunk_008.csv,True,2,2,C00
43,1.09,0.10425,True,0.0337838157128389,0.1407799422662683,0.0146763089812584,1.847672983738192e-09,1.646499526997136e-09,-8.384120481208511e-10,log_ci,nominal,3,0.1,0.002,6,2,36,3674,0,303.138740023016,COMPLETED,classical_COST500_chunk_008.csv,True,2,3,C00
44,1.09,0.11975,True,0.0781483741167476,0.1311137430728666,0.0157008707329757,7.233862298554607e-11,-5.8391104451604995e-12,-7.210257391143671e-11,log_ci,nominal,3,0.1,0.002,6,1,36,3353,0,281.8206586110173,COMPLETED,classical_COST500_chunk_008.csv,True,2,4,C01
45,1.09,0.13525,True,0.1036396204941827,0.1215810098319602,0.0164438315797726,1.046907882231997e-13,-2.4313884239290928e-14,-1.0182826803983859e-13,log_ci,nominal,3,0.1,0.002,6,1,36,2994,0,244.0295712420484,COMPLETED,classical_COST500_chunk_009.csv,True,2,5,C01
46,1.09,0.15075,True,0.1227832421819926,0.112172115962631,0.0169099464813666,1.2042779718297397e-15,9.228728892196614e-16,7.73686670285656e-16,log_ci,nominal,3,0.1,0.002,6,1,36,2904,0,238.26535851100925,COMPLETED,classical_COST500_chunk_009.csv,True,2,6,C01
47,1.09,0.16625,True,0.1383458239042817,0.1028787153490855,0.0171035864267854,5.563883528120019e-11,-5.3608735506305294e-11,1.4892396343890724e-11,log_ci,nominal,3,0.1,0.002,6,1,36,3528,0,296.6119979919167,COMPLETED,classical_COST500_chunk_009.csv,True,2,7,C01
48,1.09,0.18175,True,0.1515198602855892,0.0936935086852458,0.0170287952035434,6.979109685322939e-16,-2.775557561562892e-17,6.9735883734267655e-16,log_ci,nominal,3,0.1,0.002,6,1,36,3433,0,281.2402794380905,COMPLETED,classical_COST500_chunk_009.csv,True,2,8,C01
49,1.09,0.19725,True,0.1629559175531869,0.0846100522058922,0.0166893327976122,8.180547786390616e-14,-7.870787355201969e-14,2.2298135560205878e-14,log_ci,nominal,3,0.1,0.002,6,1,36,2936,0,240.2425052099861,COMPLETED,classical_COST500_chunk_009.csv,True,2,9,C01
