benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error,cost_id,cost_chunk
35,C02,1.09,0.29025,0.0,0.0,0.21384633,0.03229424,0.2162710586085121,COMPLETED,,0.210887345625,0.03196220875,3.410450917014273e-06,2.795258358562714e-20,3.410450917014301e-06,True,True,0,0.015,0.03,12,362.6395507149864,0.2132956992837333,85,1
36,C02,1.09,0.3057499999999999,0.0,0.0,0.21819645,0.021128612,0.2192170363763935,COMPLETED,,0.2167511374999999,0.023456737,2.434565136825756e-06,3.1506806996982623e-20,2.4345651368257878e-06,True,True,0,0.06,0.008,12,373.12109547300497,0.2180166831190472,86,1
37,C02,1.09,0.32125,0.0,0.0,0.22244951,0.01181783,0.2227632052318088,COMPLETED,,0.2222249006249999,0.015015715641276,2.449952911219438e-06,3.392055646978618e-20,2.449952911219472e-06,True,True,0,0.015,0.015,12,382.87909896101337,0.2227316281402593,87,1
38,C02,1.09,0.33675,0.0,0.0,0.22696887,0.005907923,0.2270457476000174,COMPLETED,,0.227349729375,0.0066398854052734,1.962267652500698e-06,3.7422786701997396e-20,1.962267652500735e-06,True,True,0,0.015,0.008,12,395.142907698988,0.2274466696284667,88,1
39,C02,1.09,0.3522499999999999,0.0,0.0,0.22600831,0.0029583268,0.226027670621346,COMPLETED,,0.2312817475,2.771315090603297e-05,0.0005308351780557,6.09347506087978e-20,0.0005308351780557,True,True,0,0.1,0.008,12,433.3296998209553,0.2312817491603531,89,1
40,C02,1.126,0.21275,0.0,0.0,0.20063044,0.06964994,0.2123762877455889,COMPLETED,,0.19947809625,0.0694468149999999,1.2042916030425033e-06,5.149296539460305e-21,1.2042916030425083e-06,True,True,0,0.03,0.008,12,336.76156637602253,0.2112211424009644,90,1
41,C02,1.126,0.2282499999999999,0.0,0.0,0.21281524,0.059341844,0.2209338833804763,COMPLETED,,0.2076101618749999,0.0608991356666666,1.0065708914871638e-06,8.037930453522057e-21,1.0065708914871718e-06,True,True,0,0.015,0.008,12,342.91694477701094,0.2163577686118775,91,1
42,C02,1.126,0.24375,0.0,0.0,0.21953312,0.051941484,0.225594123454173,COMPLETED,,0.215011635625,0.0524154423333333,1.2946905972220568e-06,1.1336416362413031e-20,1.2946905972220685e-06,True,True,0,0.015,0.008,12,349.0513729939703,0.2213083415715204,92,1
43,C02,1.126,0.25925,0.0,0.0,0.22358304,0.044983737,0.2280633955068782,COMPLETED,,0.22180569625,0.0439889453333333,1.2699129633617051e-06,1.464521553408134e-20,1.2699129633617195e-06,True,True,0,0.03,0.008,12,355.57581478898646,0.2261256159759133,93,1
44,C02,1.126,0.27475,0.0,0.0,0.23125747,0.037131187,0.2342194323253941,COMPLETED,,0.22807387625,0.0356363953333333,1.6924518807634209e-06,1.7778017568044802e-20,1.6924518807634389e-06,True,True,0,0.03,0.008,12,364.40220381499967,0.2308411698550627,94,1
