t401_row,test_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,status,technical_success,target_error,target_recovery,best_candidate_index,best_center_index,best_cr_center,best_ci_center,best_cr,best_ci,best_stage1_mismatch,best_stage2_mismatch,best_total_mismatch,best_retry_index,n_boxes,n_completed_boxes,n_technical_boxes,total_box_solves,total_seconds
374,374,C31,1.8,0.19,0.479403589263352,0.0104499966754561,0.47911808,0.009986346,COMPLETED,True,0.28224781104367774,False,9,5,0.9,0.002,0.7614583333333332,1.2171874999999996e-05,5.366393945718735e-08,1.5411990339753344e-19,5.366393945734147e-08,0,12,12,11,21,835.3254011950921
375,375,C31,1.8,0.205,0.483253549415489,0.0066042173213696,0.4791783,0.0060368245,COMPLETED,True,0.2782831368835842,False,11,2,0.9,0.0001,0.7614583333333332,1e-06,1.627356770979094e-08,8.942964503277916e-20,1.6273567709880368e-08,0,12,12,11,21,844.3983921619365
376,376,C31,1.85,0.13,0.4755143909772433,0.0207788968142683,0.4751476,0.020571874,COMPLETED,True,0.28669664320569743,False,10,2,0.9,0.0001,0.7614583333333332,1.770572916666667e-05,3.7059946807584054e-08,3.4961298692968554e-19,3.7059946807933667e-08,0,12,12,12,13,474.26056190091185
377,377,C31,1.85,0.14,0.4788409718825811,0.0191200257294819,0.48218042,0.018111095,COMPLETED,True,0.28326127491641134,False,9,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,4.1083730191723015e-08,3.111329449061045e-19,4.108373019203415e-08,0,12,12,12,15,554.9938489638735
378,378,C31,1.85,0.15,0.4819932616181666,0.0172778284543149,0.4872154,0.016424341,COMPLETED,True,0.2799985984075689,False,11,5,0.9,0.002,0.7614583333333332,1e-06,5.1779433052395664e-08,3.510502562929249e-19,5.177943305274671e-08,0,12,12,12,13,486.0110653709853
379,379,C31,1.85,0.16,0.4849852952765193,0.0152772826546179,0.49094164,0.014895675,COMPLETED,True,0.2768947554290407,False,10,5,0.9,0.002,0.7614583333333332,1e-06,5.361181615901397e-08,2.841006927493742e-19,5.361181615929807e-08,0,12,12,11,19,728.9357629652368
380,380,C31,1.85,0.17,0.4878300785202733,0.0131396943212481,0.49409983,0.012878722,COMPLETED,True,0.27394351082022006,False,9,5,0.9,0.002,0.7614583333333332,1e-06,4.343430570515808e-08,2.7232754635926244e-19,4.3434305705430405e-08,0,12,12,11,22,853.6348607388791
381,381,C31,1.85,0.185,0.4918469843555616,0.0097156225772121,0.49728644,0.008506559,COMPLETED,True,0.2697863106042103,False,11,2,0.9,0.0001,0.7614583333333332,1e-06,8.482940277511592e-08,2.3281335958967333e-19,8.482940277534873e-08,0,12,12,12,22,863.3728005419252
382,382,C31,1.85,0.195,0.4943735840173588,0.007309950569727,0.49905756,0.0054974384,COMPLETED,True,0.2671842812591931,False,10,2,0.9,0.0001,0.7614583333333332,1.770572916666667e-05,5.478180870770849e-08,1.4541296755337195e-19,5.47818087078539e-08,0,12,12,11,23,907.3167231590487
383,383,C31,1.85,0.205,0.496790233883972,0.0048209924504837,0.5000105,0.0034708828,COMPLETED,True,0.26471143415713083,False,9,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,5.966151704411791e-08,1.2216824409905822e-19,5.966151704424008e-08,0,12,12,11,22,940.6782025397988
384,384,C31,1.9,0.14,0.4926099567084842,0.0170185388552902,0.4943694,0.016646694,COMPLETED,True,0.2693842140245254,False,11,5,0.9,0.002,0.7614583333333332,3.604340277777777e-05,4.129385649057813e-08,3.148138364444826e-19,4.129385649089294e-08,0,12,12,12,14,584.3295230942313
385,385,C31,1.9,0.15,0.4955863065386898,0.0152503044485099,0.4961802,0.014869108,COMPLETED,True,0.2663054109542655,False,10,5,0.9,0.002,0.7614583333333332,6.355787037037038e-05,5.026535538883964e-08,2.771552079356449e-19,5.0265355389116796e-08,0,12,12,12,19,776.7150646960363
386,386,C31,1.9,0.16,0.498417882627838,0.0133273114657672,0.49756768,0.013019972,COMPLETED,True,0.2633778071224543,False,9,5,0.9,0.002,0.7614583333333332,1e-06,4.314601897222569e-08,2.506746232942963e-19,4.314601897247636e-08,0,12,12,11,19,789.6619856059551
387,387,C31,1.9,0.18,0.5036903056394091,0.009096481823104,0.5065859,0.007891295,COMPLETED,True,0.2579272862812561,False,11,2,0.9,0.0001,0.7614583333333332,3.398177083333334e-05,5.231570448293698e-08,1.8701806125545713e-19,5.2315704483124e-08,0,12,12,11,23,956.6009170549223
388,388,C31,1.9,0.205,0.5096468519455932,0.0032484016832047,0.5146265,0.0020469187,COMPLETED,True,0.25183242002645373,False,10,2,0.9,0.0001,0.7614583333333332,1e-06,3.125412861099721e-08,1.8089955907385947e-19,3.125412861117811e-08,0,12,12,11,23,976.1519048847258
