condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds,t401_row,test_id
generic,19,C00,1.15,0.09,1,generic,2,0.9,0.0001,0.015,0.015,COMPLETED,,1,0.02625,0.02625,0.8475512695312502,0.0006768357747395833,0.028495525371484965,4.6719096454289e-19,0.028495525371484965,True,True,True,0.05245190241825925,77.37443018204067,19,19
generic,19,C00,1.15,0.09,2,generic,3,0.1,0.002,0.015,0.03,COMPLETED,,0,0.015,0.03,0.071220703125,0.04791884765624998,0.007287700171447238,1.74385456734056e-21,0.007287700171447238,True,True,True,0.05419214425262465,24.952595736947842,19,19
generic,19,C00,1.15,0.09,3,generic,4,0.5,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.5599414062499999,0.014940332031249998,0.015406914138993158,1.7846058259213544e-20,0.015406914138993158,True,True,True,0.06132229917661698,32.59476214402821,19,19
generic,19,C00,1.15,0.09,4,generic,5,0.9,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.84744140625,1e-06,0.005337965731573705,2.629428572324788e-06,0.00534059516014603,True,True,True,0.05259659473746893,41.57468562410213,19,19
generic,19,C00,1.15,0.09,5,generic,0,0.1,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.06880859375,0.045070703124999986,0.007558582001583898,1.5331410915989722e-21,0.007558582001583898,True,True,True,0.05472904131637447,25.00585634401068,19,19
generic,19,C00,1.15,0.09,6,generic,1,0.5,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.6198828124999999,0.008107812499999999,0.010874061869068934,4.1674877688290896e-20,0.010874061869068934,True,True,True,0.12014996377005398,33.52575459599029,19,19
generic,19,C00,1.15,0.09,7,generic,2,0.9,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.7801171875000003,2.8552851924189817e-05,0.0006195423801536079,6.387555804160998e-18,0.0006195423801536143,True,True,True,0.11988283379035161,39.85395229503047,19,19
generic,19,C00,1.15,0.09,8,generic,3,0.1,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.0712890625,0.04791884765624998,0.0072876992083883586,1.744744837892869e-21,0.0072876992083883586,True,True,True,0.05415587227814543,24.899748435942456,19,19
generic,19,C00,1.15,0.09,9,generic,4,0.5,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.6998046874999995,0.005059667968750001,0.003548715704075795,1.0762061102597026e-19,0.003548715704075795,True,True,True,0.19982811292471198,34.3211948540993,19,19
generic,19,C00,1.15,0.09,10,generic,5,0.9,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.7614583333333332,1e-06,3.3602807550803583e-08,3.9927723597722684e-19,3.360280755120286e-08,True,True,True,0.13855608757386956,23.493587421020493,19,19
generic,19,C00,1.15,0.09,11,generic,0,0.1,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.06881510416666667,0.045070703124999986,0.00755858208589958,1.5339062795772885e-21,0.00755858208589958,True,True,True,0.05472533113369653,24.987911741016433,19,19
generic,20,C00,1.15,0.105,0,generic,2,0.9,0.0001,0.015,0.008,COMPLETED,,1,0.02625,0.014,0.8475512695312502,0.0006031764322916664,0.03333541495835115,3.973601510489647e-19,0.03333541495835115,True,True,True,0.052451144070511796,81.22545765293762,20,20
generic,20,C00,1.15,0.105,1,generic,3,0.1,0.002,0.015,0.015,COMPLETED,,0,0.015,0.015,0.07858398437499999,0.025433496093749994,0.012685819297390889,8.247442598234633e-22,0.012685819297390889,True,True,True,0.03174546368264356,26.462584219058044,20,20
generic,20,C00,1.15,0.105,2,generic,4,0.5,0.002,0.015,0.03,COMPLETED,,0,0.015,0.03,0.5299707031249998,0.027358300781249997,0.019755470315364867,5.839436645766009e-21,0.019755470315364867,True,True,True,0.039259221392167455,31.97903318796307,20,20
generic,20,C00,1.15,0.105,3,generic,5,0.9,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.8400585937499998,0.0005121132812499998,0.025183899901538614,3.9972297345480802e-19,0.025183899901538614,True,True,True,0.059959869830707585,40.48569972999394,20,20
generic,20,C00,1.15,0.105,4,generic,0,0.1,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.07533203125,0.022585351562499995,0.013052125168451214,6.207219882657989e-22,0.013052125168451214,True,True,True,0.03337813231953217,26.685371747007594,20,20
generic,20,C00,1.15,0.105,5,generic,1,0.5,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.5599414062499999,0.017805078124999995,0.01781696527101423,8.939897967909811e-21,0.01781696527101423,True,True,True,0.06250153577825011,32.58450219000224,20,20
generic,20,C00,1.15,0.105,6,generic,2,0.9,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.7801171875000003,5.744918258101849e-06,0.0007130083813249073,2.552355898054664e-13,0.0007130083815801429,True,True,True,0.11988284955293035,40.61952365806792,20,20
generic,20,C00,1.15,0.105,7,generic,3,0.1,0.002,0.06,0.015,COMPLETED,,0,0.06,0.015,0.07855468750000004,0.025433496093749994,0.012685819520593783,8.242341981393655e-22,0.012685819520593783,True,True,True,0.0317652352013715,26.43257845006883,20,20
generic,20,C00,1.15,0.105,8,generic,4,0.5,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.6198828124999999,0.006257779947916665,0.012621390806162508,3.8583168206755226e-20,0.012621390806162508,True,True,True,0.11995839871803478,33.83146713790484,20,20
