chart_id,field_family,n_interior,n_active,active_fraction,active_threshold_fraction,ode_rms_abs,ode_term_qprime_rms,ode_term_Pq_rms,ode_term_alpha2Rp_rms,ode_scale_rms_sum,ode_norm,compat_rms_abs,compat_term_pprime_rms,compat_term_q_rms,compat_scale_rms_sum,compat_norm,checkpoint,best_epoch
LMEDGE_MID,pq_etaaware,4096,993,0.242431640625,0.05,0.0013016175237004195,0.1256439412286797,0.1889619876340984,0.09847727064693425,0.41308319950971234,0.003150981509887855,0.00015539132119573738,0.1550894630401711,0.1550961373113308,0.3101856003515019,0.0005009623948360213,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LMEDGE_MID/model_best.pt,39823
LMEDGE_NEUTRAL1,pq_etaaware,4096,1473,0.359619140625,0.05,0.000926028729382717,0.22566248893725493,0.4168252948704008,0.260777827670666,0.9032656114783217,0.00102520091279368,7.392331489911354e-05,0.22688126124895164,0.22687838539980434,0.453759646648756,0.00016291293297029502,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LMEDGE_NEUTRAL1/model_best.pt,37463
LMEDGE_NEUTRAL2,pq_etaaware,4096,1661,0.405517578125,0.05,0.0013025306153175427,0.27662677229423605,0.5558914706013938,0.3670362283728046,1.1995544712684345,0.0010858453255067433,8.520640633233166e-05,0.2561626252443803,0.2561613436369718,0.5123239688813521,0.00016631352719721066,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LMEDGE_NEUTRAL2/model_best.pt,39443
LMEDGE_NEUTRAL3,pq_etaaware,4096,2149,0.524658203125,0.05,0.002117719199678756,0.3154892550780376,0.6624162807701314,0.44845727167957034,1.4263628075277393,0.001484698835739638,0.00010204083889670487,0.27599534332195746,0.2759862557120064,0.5519815990339638,0.0001848627546195181,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LMEDGE_NEUTRAL3/model_best.pt,38832
LMEDGE_VLOW,pQscaled,4096,1173,0.286376953125,0.05,0.00016006168107781348,0.013351404573770377,0.014645070162428254,0.00366848623070149,0.03166496096690012,0.005054851678014966,5.308753716491144e-05,0.034438621804526476,0.03443799010122655,0.06887661190575303,0.0007707629004393175,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LMEDGE_VLOW/model_best.pt,43102
LOW,pq_legacy,4096,1410,0.34423828125,0.05,0.01563381933043754,0.0667947337810018,0.09073185917427815,0.04068132281147682,0.19820791576675675,0.07887585755573355,0.00034460670431171747,0.10641090595672971,0.10640588683773369,0.21281679279446342,0.0016192646256281834,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOW/model_best.pt,14681
LOWM_EXT_HIGH,pq_etaaware,4096,1949,0.475830078125,0.05,0.0019949683462400047,0.1789692432944822,0.30095817694145105,0.17495238243792194,0.6548798026738551,0.003046312221104708,0.00020814438980056547,0.1962885093612664,0.1962978812704906,0.39258639063175704,0.0005301874817046404,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_HIGH/model_best.pt,24897
LOWM_EXT_LOW,pq_etaaware,4096,1354,0.33056640625,0.05,0.0030838081829198307,0.08125059370687904,0.109760348169068,0.04928780840912562,0.24029875028507264,0.01283322605407406,0.0002505806813651398,0.11622283952943166,0.11621089497566095,0.2324337345050926,0.0010780736363363364,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_LOW/model_best.pt,24756
LOWM_EXT_MID,pq_etaaware,4096,1005,0.245361328125,0.05,0.0029875529829898706,0.12457362400063794,0.1876948151249431,0.09761818952462696,0.40988662865020803,0.0072887300393968445,0.00022628575889461358,0.15389562306369567,0.15391359568989676,0.30780921875359246,0.0007351493883481116,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_MID/model_best.pt,24712
LOWM_EXT_NEUTRAL1,pq_etaaware,4096,1684,0.4111328125,0.05,0.0012465759095644385,0.2239250752904614,0.4136615554850643,0.25862741818097895,0.8962140489565047,0.001390935470176877,0.00017226007324880517,0.22556262579503047,0.2255587292612848,0.4511213550563153,0.0003818486341159825,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_NEUTRAL1/model_best.pt,24824
LOWM_EXT_NEUTRAL2,pq_etaaware,4096,1938,0.47314453125,0.05,0.0016919905206330148,0.27554107401114397,0.5535718141595487,0.36541092512495904,1.1945238132956517,0.001416456082164548,0.0001807034909218465,0.2557535576277113,0.25575236453785255,0.5115059221655638,0.000353277416919831,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_NEUTRAL2/model_best.pt,24789
LOWM_EXT_NEUTRAL3,pq_etaaware,4096,2203,0.537841796875,0.05,0.002571824567906692,0.31386815015102143,0.6590357299887072,0.4458890900419231,1.4187929701816517,0.0018126848821201974,0.0001713943937770692,0.2752264582357042,0.27522881553197726,0.5504552737676814,0.00031136842890782415,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_NEUTRAL3/model_best.pt,21280
LOWM_EXT_VLOW_EXTREME,pQscaled,4096,1821,0.444580078125,0.05,0.0002292922696105235,0.011988299724338358,0.013070160432212643,0.003213886407455452,0.02827234656400645,0.008110125174485365,6.106567001180255e-05,0.03241204606239575,0.03240950988534444,0.0648215559477402,0.0009420580718709424,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_VLOW_EXTREME/model_best.pt,29317
LOWM_EXT_VLOW_MOD,pQscaled,4096,1528,0.373046875,0.05,0.0004606815548128047,0.03760917086040178,0.045083911725200224,0.01579689324815283,0.09848997583375485,0.004677446114824999,0.00010259255560968796,0.06930515387709092,0.06929907995563027,0.1386042338327212,0.0007401834184481332,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_VLOW_MOD/model_best.pt,29063
MID,pq_legacy,4096,1186,0.28955078125,0.05,0.012727416780715407,0.09528431420724778,0.14418266234747723,0.0739284876338997,0.31339546418862474,0.04061136243202008,0.0009495326368623404,0.13074334016284983,0.13072935071198402,0.2614726908748338,0.0036314791945782163,assets/pinn_subsonic/joint_ci_mode_atlas_v2/MID/model_best.pt,17920
