status,error,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,cr_lower,cr_upper,ci_lower,ci_upper,optimizer_success,optimizer_message,cr_corrected,ci_corrected,corrected_spectral_error,delta_c_from_pinn,initial_mismatch,corrected_mismatch,mismatch_reduction,initial_evaluation_seconds,optimization_seconds,nfev_reported,nfev_counted,nit,p_rel_l2_core40,u_rel_l2_core40,v_rel_l2_core40,oracle_p_rel_l2_core40,oracle_u_rel_l2_core40,oracle_v_rel_l2_core40,retry_required
COMPLETED,,1.15,0.16,0.182412678439002,0.0940936670254569,0.1854966729879379,0.0887200161814689,0.0061957360959743,0.1454966729879379,0.2254966729879379,0.0587200161814688,0.1187200161814689,False,Maximum number of function evaluations has been exceeded.,0.1824126672895833,0.0940936522272042,1.852829775504685e-08,0.0061957288110043,0.0013773067087246,4.17029033118313e-09,330266.3841953405,0.1832759082317352,14.40209633205086,80,81,2,3.76888261566544e-05,2.459375545104307e-05,4.184726770569956e-05,3.7704513405713325e-05,2.460699591056964e-05,4.18596208933727e-05,False
COMPLETED,,1.15,0.165,0.186149047302406,0.0913362385162638,0.1877362430095672,0.0886348113417625,0.0031331930984165,0.1477362430095672,0.2277362430095672,0.0586348113417625,0.1186348113417625,False,Maximum number of function evaluations has been exceeded.,0.1861490391934789,0.0913362377373824,8.146247890610344e-09,0.0031331965346523,0.0007283515065781,1.9532020438185075e-09,372901.26174258935,0.1832336513325572,14.481099682860076,80,81,2,4.077086572039483e-05,2.6885580937464124e-05,4.519767522370022e-05,4.076380128252076e-05,2.688274990225829e-05,4.518774574981628e-05,False
COMPLETED,,1.15,0.17,0.1897340820397551,0.0885856665308793,0.1897442936897277,0.088583268225193,1.0489502625394832e-05,0.1497442936897277,0.2297442936897277,0.058583268225193,0.118583268225193,False,Maximum number of function evaluations has been exceeded.,0.1897340712200114,0.0885856743650258,1.3358169911433194e-08,1.050182822150908e-05,2.5459401007226845e-06,3.300009744070552e-09,771.4947221889942,0.1833884855732321,14.56240047328174,80,81,1,4.402578985516275e-05,2.9330285471743025e-05,4.8724781014331777e-05,4.399824508653728e-05,2.9313942734461983e-05,4.8692845625919e-05,False
COMPLETED,,1.15,0.175,0.193178755219419,0.0858418261519786,0.1915901899337768,0.08848637342453,0.0030849910767304,0.1515901899337768,0.2315901899337768,0.05848637342453,0.11848637342453,False,Maximum number of function evaluations has been exceeded.,0.1931787469717882,0.0858418421912356,1.8035553220658528e-08,0.0030849730804149,0.0007807845273106,4.611077193506331e-09,169328.01047230742,0.1835627984255552,14.6540867947042,80,81,2,4.744007057317149e-05,3.1924475168025527e-05,5.2408584313305616e-05,4.739674289677247e-05,3.189628573923032e-05,5.236108397436984e-05,False
COMPLETED,,1.15,0.18,0.1964928606786852,0.0831045993477835,0.1933425366878509,0.0882627367973327,0.0060440816668595,0.1533425366878509,0.2333425366878509,0.0582627367973326,0.1182627367973327,False,Maximum number of function evaluations has been exceeded.,0.196492870427456,0.0831046067144314,1.221908487917259e-08,0.0060440804613295,0.0015931402206926,3.114255604160942e-09,511563.73245796224,0.1843506824225187,14.747547193430364,80,81,2,5.095332321296739e-05,3.4631040619445606e-05,5.618102159223925e-05,5.094697902559016e-05,3.4624190318918244e-05,5.617748097796222e-05,False
COMPLETED,,1.15,0.185,0.1996851855588252,0.0803738745892947,0.1950684338808059,0.0878300219774246,0.0087697508476586,0.1550684338808059,0.2350684338808059,0.0578300219774245,0.1178300219774245,False,Maximum number of function evaluations has been exceeded.,0.1996851917561856,0.0803738635406893,1.2668028937986153e-08,0.0087697635038568,0.0024047767085509,3.440153646462464e-09,699031.7746487313,0.1839149370789528,14.892145077697933,80,81,2,5.4619090934719946e-05,3.7480379614939066e-05,6.0107928967133936e-05,5.465172993799205e-05,3.750208996906044e-05,6.014378580604294e-05,False
COMPLETED,,1.15,0.1875,0.2012381863031565,0.0790109172963611,0.195941761136055,0.0875098779797554,0.0100142125126536,0.1559417611360549,0.235941761136055,0.0575098779797554,0.1175098779797554,False,Maximum number of function evaluations has been exceeded.,0.2012382017445511,0.0790109331467445,2.2128518268584067e-08,0.0100142072274288,0.0027997146613262,6.093720796517663e-09,459442.5564962223,0.1834222367033362,14.84767749439925,80,81,2,5.65966402391447e-05,3.902629332496336e-05,6.221469687524685e-05,5.657452609510506e-05,3.900666464840312e-05,6.219644465114617e-05,False
COMPLETED,,1.15,0.19,0.2027636515624523,0.0776495464050718,0.1968324184417724,0.0871074423193931,0.011163839906501,0.1568324184417724,0.2368324184417724,0.0571074423193931,0.1171074423193931,False,Maximum number of function evaluations has been exceeded.,0.2027636536852234,0.077649530542128,1.6004347559135128e-08,0.0111638544732401,0.0031813230846662,4.5838402642189264e-09,694030.0929549006,0.1848153155297041,14.887688014656304,80,81,2,5.851936343749169e-05,4.053721924723247e-05,6.426953284196389e-05,5.85607592626856e-05,4.056645290771074e-05,6.431328128854318e-05,False
COMPLETED,,1.15,0.195,0.2057354310669795,0.074931515120691,0.198695108294487,0.0860189422965049,0.0131338184135404,0.158695108294487,0.238695108294487,0.0560189422965049,0.1160189422965049,False,Maximum number of function evaluations has been exceeded.,0.2057354230598899,0.074931539114893,2.5294964193106837e-08,0.013133793865733,0.0038854901772507,7.486578870532246e-09,518994.08854748646,0.1843605926260352,14.998188748024404,80,81,2,6.286983189802728e-05,4.3957296611077306e-05,6.88973295639107e-05,6.279969596357294e-05,4.390832941774441e-05,6.882175197586782e-05,False
COMPLETED,,1.15,0.2,0.2086070430962784,0.0722196863696432,0.2007113695144653,0.0844973400235176,0.0145973436129672,0.1607113695144653,0.2407113695144653,0.0544973400235175,0.1144973400235176,False,Maximum number of function evaluations has been exceeded.,0.2086070400204045,0.0722196991619472,1.315690100812263e-08,0.0145973311897777,0.0044785876021555,4.025897890990012e-09,1112444.409526304,0.1861700257286429,15.057947544381022,80,81,2,6.761051750501863e-05,4.7702257604167535e-05,7.393146606583838e-05,6.757306049883935e-05,4.767558894634079e-05,7.389144675641316e-05,False
