dataset,source_id,chart,Mach,alpha,r_kappa_normalized_rms_stage2,r_q_normalized_rms_stage2,r_logamp_normalized_rms_stage2,bc_kappa_rmse_stage2,bc_q_rmse_stage2,r_kappa_normalized_rms_stage3,r_q_normalized_rms_stage3,r_logamp_normalized_rms_stage3,bc_kappa_rmse_stage3,bc_q_rmse_stage3,r_kappa_normalized_rms_delta,r_kappa_normalized_rms_ratio,r_q_normalized_rms_delta,r_q_normalized_rms_ratio,r_logamp_normalized_rms_delta,r_logamp_normalized_rms_ratio,bc_kappa_rmse_delta,bc_kappa_rmse_ratio,bc_q_rmse_delta,bc_q_rmse_ratio
V64,10,C01,1.15,0.2,0.0191186971801516,0.0170240481022267,0.0121963245406372,0.0009147629054799,0.000474506568637,0.0097337235241402,0.0098810876590478,0.0107025511147927,0.0022775917093186,0.0023641102536981,-0.0093849736560114,0.5091206494052027,-0.0071429604431789,0.5804193925976618,-0.0014937734258444989,0.8775226568572062,0.0013628288038387002,2.489816427485915,0.0018896036850611,4.982249793693914
V64,11,C01,1.2,0.19,0.0214211504923345,0.015872465298915,0.0115145194673501,0.00220670005393,0.002043917745116,0.0105891296326402,0.0102896981057931,0.0124164006965755,0.0052949239938886,0.0047337107732664,-0.0108320208596943,0.49433057465468494,-0.005582767193121899,0.6482734667875744,0.0009018812292253993,1.078325563805135,0.0030882239399586,2.3994760794330245,0.0026897930281504,2.315998667058759
T401,28,C01,1.0,0.135,0.0244057665081281,0.0244536174779422,0.0152100829973726,0.0021968627393102,0.0022187083863003,0.0137990424140562,0.014167295189638,0.0103449596295767,0.005325265975693,0.0033467985091197,-0.010606724094071901,0.5654009026702999,-0.0102863222883042,0.5793537582902517,-0.004865123367795899,0.6801382761266783,0.0031284032363828006,2.4240321802558764,0.0011280901228194,1.5084445210487947
T401,29,C01,1.0,0.14,0.0240905704213172,0.0241432741441487,0.0153223525768752,0.0017525155797294,0.0019208041269931,0.0145008710897446,0.0145473674035308,0.0102743409250461,0.0043052281086047,0.0034280284616356,-0.0095896993315726,0.6019314128366636,-0.0095959067406179,0.6025432721624652,-0.005048011651829099,0.6705459147671841,0.0025527125288753003,2.456599050189018,0.0015072243346425,1.7846840359521543
T401,30,C01,1.0,0.15,0.0249614423359755,0.0236155556300485,0.0142606251943719,0.0012803839105025,0.0014085697820863,0.0163144340308374,0.0135576342609248,0.0098039805171174,0.0025403376869431,0.0032214991364304,-0.0086470083051381,0.6535853902690687,-0.0100579213691237,0.5740976190995917,-0.0044566446772545,0.6874860241742164,0.0012599537764406003,1.984043743525423,0.0018129293543441,2.2870710258024163
T401,31,C01,1.0,0.16,0.0257562562687445,0.0251466151576668,0.0150550346623072,0.0015167253837728,0.0017824658988829,0.0150778629874407,0.0142846492603566,0.0091916268526289,0.0015007463086457,0.0029576835572767,-0.010678393281303801,0.585405845869683,-0.0108619658973102,0.5680545540937918,-0.005863407809678301,0.6105350840301733,-1.597907512710002e-05,0.9894647539376228,0.0011752176583938,1.6593212577757184
T401,32,C01,1.0,0.165,0.0258372123903762,0.0252935474837676,0.0152032676522664,0.0015471449499686,0.0023205324274051,0.0145419852261433,0.01370094234294,0.009638233693602,0.0012365818584493,0.0027428016541075,-0.011295227164232898,0.562831044093591,-0.011592605140827598,0.5416773725288129,-0.0055650339586644,0.6339580354730647,-0.0003105630915193,0.7992669713813156,0.00042226922670239976,1.1819708363974883
T401,33,C01,1.0,0.175,0.0265912945171428,0.0274037199514285,0.0148529106815752,0.0017665675096782,0.0033971140161805,0.0144677854219915,0.0156381773145119,0.0105099970423981,0.0016741326847382,0.0021283139270995,-0.0121235090951513,0.5440797706431497,-0.0117655426369166,0.5706589230305105,-0.004342913639177099,0.7076052140699658,-9.243482493999995e-05,0.9476754641792104,-0.001268800089081,0.6265064748967247
T401,34,C01,1.0,0.195,0.030211242499389,0.0278440959614047,0.017759362348649,0.0020633454064844,0.0016976005564929,0.0171689679673626,0.0175591928135343,0.0112594885204754,0.0027909975826907,0.0004495911148554,-0.013042274532026402,0.5682973140780234,-0.010284903147870401,0.630625351883339,-0.006499873828173599,0.6340029725972643,0.0007276521762063001,1.352656503326847,-0.0012480094416375,0.2648391655715626
T401,35,C01,1.0,0.205,0.0295257430359958,0.0310904379933579,0.0185154622584848,0.0013581908560645,0.0028324496462691,0.0169694388553386,0.0177483020016684,0.0111905293501835,0.0018736065446522,0.0023483147087881,-0.012556304180657202,0.574733676800296,-0.013342135991689503,0.570860468593595,-0.0073249329083013,0.6043883319767178,0.0005154156885877001,1.3794869375583716,-0.00048413493748100016,0.8290755360404368
T401,36,C01,1.0,0.215,0.0378463527028961,0.0426432584381488,0.0255927843385769,0.001863596074556,0.0011736357434322,0.0221458786078276,0.0235438183023902,0.0137985346341761,0.0007030790478186,0.0017446064116865,-0.0157004740950685,0.5851522544769008,-0.019099440135758598,0.5521111463970076,-0.0117942497044008,0.539157226960143,-0.0011605170267373999,0.37727008412276675,0.0005709706682543001,1.4864973408057118
