Mach,alpha,n_rows,y_min,y_max,p_left_tail_samples_per_period,p_right_tail_samples_per_period,p_left_tail_n,p_right_tail_n,rho_left_tail_samples_per_period,rho_right_tail_samples_per_period,rho_left_tail_n,rho_right_tail_n,u_left_tail_samples_per_period,u_right_tail_samples_per_period,u_left_tail_n,u_right_tail_n,v_left_tail_samples_per_period,v_right_tail_samples_per_period,v_left_tail_n,v_right_tail_n,worst_tail_samples_per_period,tail_resolution_flag
1.8,0.185,4418,-1999.9999999999343,1999.9999999999343,,357.45941392963636,0,26,,357.4594139295641,0,26,,701.6531975101069,0,48,,542.7226020739377,0,38,357.4594139295641,ok
1.8,0.1875,4418,-1999.9999999999343,1999.9999999999343,,391.9018664356148,0,26,,391.9018664347518,0,26,,771.3769933546986,0,49,,590.3874813084767,0,38,391.9018664347518,ok
1.8,0.19,4418,-1999.9999999999343,1999.9999999999343,,421.78324765955483,0,27,,421.7832476599352,0,27,,837.6974063064118,0,49,,654.3873609833308,0,39,421.78324765955483,ok
1.8,0.0775,4418,-1999.9999999999343,1999.9999999999343,,,0,0,,,0,0,2.475089802579522,45.502010086965626,12,21,,20.573775717166104,0,10,2.475089802579522,needs_attention
1.7,0.15,4595,-800.0000000000128,800.0000000000128,,2.6827474661355133,0,8,,2.6827474661355164,0,8,2.9048243292179126,8.53675269143233,20,24,,3.2257497957367907,0,11,2.6827474661355133,needs_attention
1.8,0.08,4418,-1999.9999999999343,1999.9999999999343,,,0,0,,,0,0,2.6978682802071017,49.12093025135252,12,21,,21.66944878108137,0,11,2.6978682802071017,needs_attention
1.9,0.1325,4418,-1999.9999999999343,1999.9999999999343,,75.78849961715439,0,15,,75.7884996171688,0,15,2.7194423413061113,184.14173665383473,8,33,,135.12780175777823,0,25,2.7194423413061113,needs_attention
1.9,0.13,4418,-1999.9999999999343,1999.9999999999343,,71.950162310121,0,14,,71.95016231015467,0,14,2.7391553476644352,177.09165292845196,9,32,,122.23293401559081,0,24,2.7391553476644352,needs_attention
1.9,0.1275,4418,-1999.9999999999343,1999.9999999999343,,65.67844183933171,0,14,,65.6784418392994,0,14,2.8702009268588133,166.3110053499588,9,32,,116.9905783210218,0,23,2.8702009268588133,needs_attention
1.7,0.125,4595,-800.0000000000128,800.0000000000128,,90.60315821842204,0,24,,90.60315821843886,0,24,2.8702056896165486,224.805187192998,19,55,,143.68535190431624,0,37,2.8702056896165486,needs_attention
1.8,0.075,4418,-1999.9999999999343,1999.9999999999343,,,0,0,,,0,0,2.9338752773459946,42.036168329904164,12,21,,18.168927128879687,0,10,2.9338752773459946,needs_attention
1.6,0.125,4595,-800.0000000000128,800.0000000000128,,,0,0,,,0,0,3.0207347863839726,10.058697525352805,16,22,,3.9128895703516857,0,9,3.0207347863839726,needs_attention
1.8,0.1475,4418,-1737.1436175725075,1737.1436175725075,,113.24539385903618,0,18,,113.24539385900809,0,18,3.0337331830961727,241.50116498349018,8,37,,181.913373317809,0,28,3.0337331830961727,needs_attention
