final_reference_id,alpha,cr_abs_error_S4,ci_abs_error_S4,kappa_nrmse_S4,q_nrmse_S4,log_amp_rmse_S4,amplitude_rel_l2_S4,phase_rmse_S4,pressure_rel_l2_S4,pressure_overlap_error_S4,cr_abs_error_S4M4,ci_abs_error_S4M4,kappa_nrmse_S4M4,q_nrmse_S4M4,log_amp_rmse_S4M4,amplitude_rel_l2_S4M4,phase_rmse_S4M4,pressure_rel_l2_S4M4,pressure_overlap_error_S4M4,role,delta_cr_abs_error_S4M4_minus_S4,delta_ci_abs_error_S4M4_minus_S4,delta_kappa_nrmse_S4M4_minus_S4,delta_q_nrmse_S4M4_minus_S4,delta_log_amp_rmse_S4M4_minus_S4,delta_amplitude_rel_l2_S4M4_minus_S4,delta_phase_rmse_S4M4_minus_S4,delta_pressure_rel_l2_S4M4_minus_S4,delta_pressure_overlap_error_S4M4_minus_S4
M1.500000_a0.15000000,0.15,0.0013957328300376,0.0035030962161827,0.9962928541316446,0.2737215366406414,0.8961022270681093,0.6573614710363319,1.2657184854086263,1.0219659894466622,0.3084122770070879,0.0014963156680961,0.0035177217058944,0.0421090793567084,0.0125861857472146,0.0343855042686409,0.0119456149703527,0.0433833482917418,0.047183528031257,0.0004868108712069,off_anchor,0.00010058283805849987,1.4625489711699892e-05,-0.9541837747749362,-0.2611353508934268,-0.8617167227994684,-0.6454158560659792,-1.2223351371168845,-0.9747824614154051,-0.307925466135881
M1.500000_a0.15500000,0.155,0.0020345392237863,0.0049808659213729,0.9918472606361696,0.2672249884817831,0.9380263946790028,0.6674780982424185,1.277946024130363,1.0150943129959986,0.3022038417752875,0.0021811368476114,0.0050015338319488,0.0560551688310923,0.0180484817869485,0.0374053021805184,0.0167912613957773,0.0644639772043086,0.0695005410197903,0.0010701970085654,off_anchor,0.00014659762382510013,2.066791057589966e-05,-0.9357920918050773,-0.2491765066948346,-0.9006210924984844,-0.6506868368466412,-1.2134820469260545,-0.9455937719762083,-0.30113364476672205
M1.500000_a0.16000000,0.16,0.0025837728131219,0.0061675785691768,0.9883491071085758,0.2590522550732931,0.9805631205365724,0.676200932355451,1.2802218968545422,1.001761457336947,0.2920453339103479,0.0027702161419793,0.0061931079835922,0.0651871797657279,0.0223456700815989,0.0388041320891333,0.0207679877514731,0.0828989930873344,0.0888812368750654,0.001764094413293,off_anchor,0.0001864433288574002,2.5529414415399396e-05,-0.923161927342848,-0.2367065849916942,-0.9417589884474391,-0.6554329446039778,-1.197322903767208,-0.9128802204618817,-0.2902812394970549
M1.500000_a0.16500000,0.165,0.003009226691027,0.0069917571458747,0.9860609409697164,0.2491973339775006,1.0238627361915045,0.6838038669948039,1.2718171708645876,0.9829405671627304,0.2786683573348789,0.0032271412723258,0.0070206169698169,0.0693316842731331,0.0250903948878874,0.0382704823374646,0.0235474989461989,0.0967849244265125,0.1035144405097411,0.00240353969046,off_anchor,0.00021791458129879994,2.885982394220006e-05,-0.9167292566965833,-0.2241069390896132,-0.9855922538540399,-0.660256368048605,-1.1750322464380751,-0.8794261266529892,-0.2762648176444189
M1.500000_a0.17000000,0.17,0.0032804003818591,0.0073976535872547,0.9849340414992264,0.2377654093649799,1.0713169260553592,0.6910555476612175,1.2535400033145696,0.960610550143473,0.2632040485270228,0.0035192361934741,0.0074280519560901,0.0687497612776128,0.0260748046790841,0.0364787826496939,0.024913096536308,0.1045597662897478,0.1118844630213836,0.0028134050060271,off_anchor,0.00023883581161499978,3.039836883539978e-05,-0.9161842802216136,-0.2116906046858958,-1.0348381434056653,-0.6661424511249094,-1.1489802370248219,-0.8487260871220894,-0.26039064352099567
M1.500000_a0.17500000,0.175,0.0033721973719366,0.0073524318763821,0.9852841250638412,0.224961000538057,1.1167868099041998,0.6972976566633526,1.2235554977366598,0.9361012661959136,0.2465695112519514,0.0036193480314977,0.0073824167379945,0.064045322470207,0.0252813449910719,0.0320765367079366,0.0247789099124075,0.1052227619477283,0.1129922341869874,0.0028695617655623,off_anchor,0.0002471506595611,2.9984861612399744e-05,-0.9212388025936342,-0.1996796555469851,-1.0847102731962632,-0.6725187467509451,-1.1183327357889314,-0.8231090320089263,-0.2436999494863891
M1.500000_a0.18000000,0.18,0.0032666802686922,0.0068533048136171,0.9867449149205364,0.2111246946776494,1.1636471180030312,0.7031805593558063,1.183778010530676,0.9116886301382796,0.2300457129285562,0.003507959870743,0.0068808943135675,0.0560154560834018,0.0228863279945777,0.0264954405456716,0.0231817033575217,0.0984185148284597,0.1064493213451727,0.0025435623687752,off_anchor,0.0002412796020507999,2.7589499950400262e-05,-0.9307294588371346,-0.1882383666830717,-1.1371516774573596,-0.6799988559982846,-1.0853594957022163,-0.8052393087931069,-0.22750215055978099
M1.500000_a0.18500000,0.185,0.0029557756973348,0.0059335895742172,0.9888399989582712,0.1964273105130374,1.215382127041674,0.7094406155278475,1.135808275673928,0.8894451907647475,0.2147749186753789,0.0031758658481679,0.0059570104743236,0.0456233818078733,0.0191964429795476,0.0207273359698682,0.0203629330376399,0.0851102050963814,0.0928127357994836,0.0019341917513129,off_anchor,0.00022009015083309996,2.3420900106399696e-05,-0.943216617150398,-0.17723086753348982,-1.1946547910718057,-0.6890776824902076,-1.0506980705775466,-0.7966324549652639,-0.212840726924066
M1.500000_a0.19000000,0.19,0.002443887482829,0.0046658489630003,0.9914262247074104,0.1812485181621869,1.2688196569223162,0.715625804579631,1.0798707759943964,0.8697841275438779,0.2013392977736284,0.0026274399864149,0.004683730356433,0.0338847764897499,0.0146431237171256,0.0155882980942085,0.0166393577625931,0.0663999558914483,0.0731322680722876,0.0012081042713241,off_anchor,0.0001835525035859,1.7881393432699587e-05,-0.9575414482176605,-0.1666053944450613,-1.2532313588281077,-0.6989864468170379,-1.013470820102948,-0.7966518594715903,-0.20013119350230432
M1.500000_a0.19500000,0.195,0.0017510446697339,0.0031600794983887,0.9942111528845802,0.165871743713522,1.323963555886415,0.7217426971864728,1.0170485403740763,0.8528605488978352,0.1901503082529222,0.0018840822368725,0.0031716837776684,0.0218750152944251,0.0097147538358802,0.0130385749150991,0.0124876573532845,0.0440700795105508,0.0491178439655267,0.0005592371038991,off_anchor,0.00013303756713859988,1.1604279279699755e-05,-0.972336137590155,-0.15615698987764182,-1.3109249809713157,-0.7092550398331883,-0.9729784608635256,-0.8037427049323086,-0.1895910711490231
M1.500000_a0.20000000,0.2,0.00091533087274,0.0015546503165326,0.9971526495520489,0.1505901070828537,1.3770038794496935,0.7272930327470561,0.9476972037916156,0.8379527676480807,0.181232741217568,0.0009871544696944,0.0015600203224978,0.0111827939452731,0.0050323562395396,0.0141245197640479,0.0085986848575225,0.0202112101476831,0.0230981898846934,0.0001400685151297,off_anchor,7.182359695440002e-05,5.370005965200106e-06,-0.9859698556067757,-0.1455577508433141,-1.3628793596856457,-0.7186943478895337,-0.9274859936439325,-0.8148545777633873,-0.18109267270243828
M1.500000_a0.20500000,0.205,6.146530502959546e-06,1.056316221471898e-07,0.9995378044362286,0.1355078071304871,1.4393575127320988,0.733551752115485,0.8747768654969896,0.8256488779942506,0.1748503841085932,1.3185542761529057e-06,1.7827478296719715e-07,0.0079552909143098,0.0026884498971204,0.017499890156003,0.0063514011135159,0.0056135100860694,0.0086835967171852,1.9874947121301112e-05,S4M4_added_anchor,-4.827976226806641e-06,7.264316082000735e-08,-0.9915825135219188,-0.1328193572333667,-1.4218576225760957,-0.727200351001969,-0.8691633554109203,-0.8169652812770654,-0.1748305091614719
M1.500000_a0.21000000,0.21,0.0009392405123624,0.0013631517725299,1.0018221740972986,0.1208493059422376,1.4992598032957258,0.7390823800288414,0.7968437360276391,0.8142674583770548,0.170418908589814,0.0010006630988035,0.0013672924326966,0.0145995119941269,0.0051967400044608,0.0209414966938228,0.0070033978764841,0.0257763909083275,0.0308457719315201,0.0001719683964157,off_anchor,6.14225864411e-05,4.140660166700085e-06,-0.9872226621031717,-0.1156525659377768,-1.478318306601903,-0.7320789821523573,-0.7710673451193116,-0.7834216864455348,-0.1702469401933983
M1.500000_a0.21500000,0.215,0.0017976099399103,0.0024229848513913,1.003773109448361,0.1067991199174784,1.5607549231563786,0.7442607385339854,0.7154685899625229,0.8038780175189517,0.1678479192899162,0.0019173258689417,0.0024295953790259,0.0216333703371812,0.0080741057764318,0.0235288562293991,0.0091123339610915,0.0434257525721151,0.0518005837109443,0.0004923590421052,off_anchor,0.00011971592903140004,6.6105276346002835e-06,-0.9821397391111799,-0.09872501414104659,-1.5372260669269795,-0.735148404572894,-0.6720428373904078,-0.7520774338080074,-0.16735556024781098
M1.500000_a0.22000000,0.22,0.0024906364087313,0.0031107008949637,1.0051616507767729,0.093431530128729,1.6276957908841012,0.7493750290074376,0.6315995047101413,0.7946973692056116,0.1669383925446057,0.0026537743214816,0.0031182492644309,0.0268125087527871,0.0101095669713105,0.0249368063748972,0.0110682634095401,0.0563868072487266,0.0677024315346379,0.0008447347150667,off_anchor,0.00016313791275029965,7.5483694671999065e-06,-0.9783491420239858,-0.0833219631574185,-1.602758984509204,-0.7383067655978974,-0.5752126974614147,-0.7269949376709737,-0.16609365782953903
M1.500000_a0.22500000,0.225,0.0029328910495224,0.0034023241052577,1.0063697712981974,0.0809765795944758,1.691772142740028,0.7535843364819516,0.5448089500768108,0.7861119066424339,0.1672557522624111,0.0031193939830246,0.0034096005285332,0.029612390835949,0.0111014200259872,0.0248177124692538,0.0121278965855482,0.0634229841131896,0.0769217514875633,0.0010866097445773,off_anchor,0.00018650293350219987,7.27642327549979e-06,-0.9767573804622484,-0.0698751595684886,-1.6669544302707742,-0.7414564398964033,-0.48138596596362127,-0.7091901551548706,-0.1661691425178338
M1.500000_a0.23000000,0.23,0.0030551835998692,0.0033113118159094,1.0069930654589097,0.0695953134482246,1.7612547497502458,0.7575594039472386,0.93330059909436,0.7790778367887682,0.1688019328042943,0.0032421335682072,0.0033175321193852,0.0297717024343016,0.010995462870094,0.023336371232317,0.0120786418010036,0.8194038449724649,0.0786076672694256,0.0011322688167962,off_anchor,0.00018694996833800012,6.220303475799969e-06,-0.977221363024608,-0.0585998505781306,-1.7379183785179289,-0.745480762146235,-0.11389675412189515,-0.7004701695193426,-0.1676696639874981
M1.500000_a0.23500000,0.235,0.0028148937094133,0.0028757354464351,1.00722923416261,0.0596465943701542,1.832173830978919,0.7609746955404161,0.7036696302614028,0.7737314035138031,0.171375688279309,0.0029794025289934,0.0028804833289205,0.0271840354043838,0.0098066593828107,0.0209104191022785,0.010700036364179,0.6058852459108734,0.0718081439313962,0.0009437298441928,off_anchor,0.0001645088195800998,4.747882485399684e-06,-0.9800451987582262,-0.0498399349873435,-1.8112634118766406,-0.750274659176237,-0.09778438435052939,-0.7019232595824069,-0.1704319584351162
M1.500000_a0.24000000,0.24,0.0022036849097714,0.0021452349321512,1.0070778606911317,0.0515392981971894,1.903910224022928,0.763638971954279,0.6590760364616522,0.7703894774958988,0.1747878083737838,0.0023255168036923,0.0021483651073245,0.0218658945277119,0.0075957033567949,0.0192295151002363,0.0083063095555962,0.602924854523117,0.0562677587621058,0.0005880629614138,off_anchor,0.00012183189392089974,3.1301751732999705e-06,-0.9852119661634198,-0.0439435948403945,-1.8846807089226916,-0.7553326623986828,-0.0561511819385353,-0.714121718733793,-0.17419974541237
M1.500000_a0.24500000,0.245,0.0012490143685117,0.001171036435666,1.0063405034135102,0.0459001869982145,1.981796385123856,0.766121946487407,0.4492421755667317,0.7701635996466543,0.1792043454387907,0.0013124635128751,0.0011725591480755,0.0141248414217503,0.0045227955778995,0.0220055304293409,0.0048979403159079,0.4096125083099241,0.0315616931215686,0.0001977577650353,off_anchor,6.344914436340007e-05,1.5227124094999937e-06,-0.9922156619917599,-0.041377391420315,-1.959790854694515,-0.7612240061714991,-0.03962966725680761,-0.7386019065250856,-0.1790065876737554
M1.500000_a0.25000000,0.25,7.753128653031904e-06,6.138570644072945e-08,1.0054368713507025,0.043281431987231,2.055846567336261,0.7675543258139661,0.2688815528732166,0.7727284826826077,0.184282640258842,2.686733847123701e-06,7.535554505996163e-08,0.0067519756753929,0.0019718326846772,0.0295853035221385,0.0046929838719448,0.2420954669447818,0.0058857916273294,8.37086036320489e-06,S4M2_modal_anchor,-5.066394805908203e-06,1.3969838619232178e-08,-0.9986848956753096,-0.041309599302553804,-2.0262612638141224,-0.7628613419420213,-0.02678608592843479,-0.7668426910552784,-0.1842742693984788
M1.500000_a0.25500000,0.255,0.0014459241834903,0.0013275690968464,1.003971324521169,0.0438599605792564,2.1354866765331177,0.7685591342553815,0.2600427777937736,0.7792207049175275,0.1902544558902297,0.0015239466635013,0.0013289353470634,0.0138268944921514,0.0054765435067482,0.0436577073625004,0.0111275972161278,0.2412630549859381,0.0468877824804104,0.0003324827825907,off_anchor,7.80224800110002e-05,1.3662502169999383e-06,-0.9901444300290176,-0.038383417072508204,-2.0918289691706176,-0.7574315370392537,-0.01877972280783549,-0.7323329224371171,-0.189921973107639
M1.500000_a0.26000000,0.26,0.0030344568849181,0.0027789520237937,1.0021712594947083,0.0472537540322996,2.21640387178122,0.7690620715526564,0.2692117431134724,0.7899939286809754,0.1971149286115175,0.0031847797990416,0.0027815601926639,0.0287245500241385,0.011029319945886,0.061402631752174,0.0189843885307795,0.224786161859094,0.0991041123328019,0.0015237195272517,off_anchor,0.0001503229141234996,2.6081688701998056e-06,-0.9734467094705698,-0.0362244340864136,-2.155001240029046,-0.7500776830218768,-0.0444255812543784,-0.6908898163481735,-0.1955912090842658
M1.500000_a0.26500000,0.265,0.0046881481204132,0.0043278095167688,1.0000631582120976,0.0526858465245098,2.298215360610837,0.7689572051241128,0.254538124067761,0.8053018830183544,0.2048796831848189,0.0049062415156464,0.0043315054704061,0.0461314353494421,0.0173609355086202,0.0823718781242891,0.0286994902432582,0.1219301641461944,0.1602250400503232,0.0040180659493396,off_anchor,0.00021809339523320027,3.695953637299944e-06,-0.9539317228626555,-0.035324911015889596,-2.215843482486548,-0.7402577148808546,-0.1326079599215666,-0.6450768429680311,-0.2008616172354793
M1.500000_a0.27000000,0.27,0.0063527003006762,0.005951588748616,0.9976771543357952,0.0594098608030031,2.380493322510106,0.7680906431764685,0.3514663198608589,0.8252754591745429,0.2135926721281402,0.0066315010266131,0.0059562085742474,0.0651956011154014,0.0243040420686167,0.1061281751337701,0.0399108543686127,0.1747291274271542,0.2299793182371151,0.0083230543073578,off_anchor,0.00027880072593690006,4.6198256314000305e-06,-0.9324815532203938,-0.0351058187343864,-2.274365147376336,-0.7281797888078557,-0.1767371924337047,-0.5952961409374278,-0.2052696178207824
