final_reference_id,alpha,cr_abs_error_S4M2,ci_abs_error_S4M2,kappa_nrmse_S4M2,q_nrmse_S4M2,log_amp_rmse_S4M2,amplitude_rel_l2_S4M2,phase_rmse_S4M2,pressure_rel_l2_S4M2,pressure_overlap_error_S4M2,cr_abs_error_S4M4,ci_abs_error_S4M4,kappa_nrmse_S4M4,q_nrmse_S4M4,log_amp_rmse_S4M4,amplitude_rel_l2_S4M4,phase_rmse_S4M4,pressure_rel_l2_S4M4,pressure_overlap_error_S4M4,role,delta_cr_abs_error_S4M4_minus_S4M2,delta_ci_abs_error_S4M4_minus_S4M2,delta_kappa_nrmse_S4M4_minus_S4M2,delta_q_nrmse_S4M4_minus_S4M2,delta_log_amp_rmse_S4M4_minus_S4M2,delta_amplitude_rel_l2_S4M4_minus_S4M2,delta_phase_rmse_S4M4_minus_S4M2,delta_pressure_rel_l2_S4M4_minus_S4M2,delta_pressure_overlap_error_S4M4_minus_S4M2
M1.500000_a0.20000000,0.2,0.0008270861961501,0.0015383894243798,0.3417366296451155,0.1284916182101145,0.3366702208371764,0.1044626698846047,0.8229136753085633,0.3903517537083426,0.0296317012358351,0.0009871544696944,0.0015600203224978,0.0111827939452731,0.0050323562395396,0.0141245197640479,0.0085986848575225,0.0202112101476831,0.0230981898846934,0.0001400685151297,off_anchor,0.00016006827354430003,2.1630898118000022e-05,-0.33055383569984237,-0.12345926197057491,-0.3225457010731285,-0.09586398502708221,-0.8027024651608802,-0.36725356382364915,-0.029491632720705402
M1.500000_a0.20500000,0.205,2.510647171660718e-06,1.1021467769857518e-06,0.3185334860043066,0.1210842706632256,0.3402091982662056,0.0986383195794735,0.7967870768864641,0.4216418121824509,0.0339706052773471,1.3185542761529057e-06,1.7827478296719715e-07,0.0079552909143098,0.0026884498971204,0.017499890156003,0.0063514011135159,0.0056135100860694,0.0086835967171852,1.9874947121301112e-05,S4M4_added_anchor,-1.1920928955078125e-06,-9.238719940185547e-07,-0.3105781950899968,-0.11839582076610519,-0.3227093081102026,-0.0922869184659576,-0.7911735668003947,-0.4129582154652657,-0.033950730330225797
M1.500000_a0.21000000,0.21,0.000828971919528,0.0013523745076964,0.2903007413462852,0.1119806833021901,0.3328019126546437,0.0911388445329747,0.7551124485189373,0.4368670362728933,0.0361219868745862,0.0010006630988035,0.0013672924326966,0.0145995119941269,0.0051967400044608,0.0209414966938228,0.0070033978764841,0.0257763909083275,0.0308457719315201,0.0001719683964157,off_anchor,0.0001716911792755,1.4917925000200059e-05,-0.2757012293521583,-0.1067839432977293,-0.3118604159608209,-0.0841354466564906,-0.7293360576106098,-0.4060212643413732,-0.035950018478170497
M1.500000_a0.21500000,0.215,0.0015765959170832,0.0024048166106057,0.2581677122289064,0.1013340505178674,0.3155466962415508,0.0822785347442447,0.6992381941366393,0.4352037773645074,0.0355184778014452,0.0019173258689417,0.0024295953790259,0.0216333703371812,0.0080741057764318,0.0235288562293991,0.0091123339610915,0.0434257525721151,0.0518005837109443,0.0004923590421052,off_anchor,0.0003407299518584999,2.477876842020034e-05,-0.23653434189172517,-0.09325994474143559,-0.2920178400121517,-0.0731662007831532,-0.6558124415645242,-0.38340319365356307,-0.03502611875934
M1.500000_a0.22000000,0.22,0.0021688011292666,0.0030894704655527,0.2232240029053342,0.089272430100809,0.2896140024854892,0.0724126301679574,0.6311805057580733,0.4171265925553817,0.0322968325595433,0.0026537743214816,0.0031182492644309,0.0268125087527871,0.0101095669713105,0.0249368063748972,0.0110682634095401,0.0563868072487266,0.0677024315346379,0.0008447347150667,off_anchor,0.00048497319221499965,2.877879887819984e-05,-0.1964114941525471,-0.0791628631294985,-0.264677196110592,-0.061344366758417306,-0.5747936985093467,-0.3494241610207438,-0.0314520978444766
M1.500000_a0.22500000,0.225,0.0025363115455094,0.0033815723756502,0.1866229533104605,0.0760796826612143,0.2557303586973364,0.0616942862274157,0.5495865648712487,0.3827105524416481,0.0268486272072665,0.0031193939830246,0.0034096005285332,0.029612390835949,0.0111014200259872,0.0248177124692538,0.0121278965855482,0.0634229841131896,0.0769217514875633,0.0010866097445773,off_anchor,0.0005830824375151998,2.8028152882999917e-05,-0.1570105624745115,-0.0649782626352271,-0.2309126462280826,-0.0495663896418675,-0.4861635807580591,-0.3057888009540848,-0.025762017462689198
M1.500000_a0.23000000,0.23,0.0026253149017491,0.0032934639500894,0.1490732768579423,0.0619335073311591,0.2151949036960361,0.0503727499413009,0.9559178587672894,0.3330964146434879,0.0200819002626595,0.0032421335682072,0.0033175321193852,0.0297717024343016,0.010995462870094,0.023336371232317,0.0120786418010036,0.8194038449724649,0.0786076672694256,0.0011322688167962,off_anchor,0.0006168186664581,2.4068169295799954e-05,-0.1193015744236407,-0.0509380444610651,-0.19185853246371912,-0.0382941081402973,-0.13651401379482453,-0.2544887473740623,-0.018949631445863303
M1.500000_a0.23500000,0.235,0.0024051415789049,0.0028621344115555,0.1112922964526385,0.0470856676478984,0.16877917538868,0.0384564852639528,0.7135148069645004,0.2686350707397144,0.0128869445858783,0.0029794025289934,0.0028804833289205,0.0271840354043838,0.0098066593828107,0.0209104191022785,0.010700036364179,0.6058852459108734,0.0718081439313962,0.0009437298441928,off_anchor,0.0005742609500884997,1.8348917364999998e-05,-0.0841082610482547,-0.0372790082650877,-0.1478687562864015,-0.0277564488997738,-0.10762956105362698,-0.19682692680831818,-0.0119432147416855
M1.500000_a0.24000000,0.24,0.0018737135962949,0.0021364059941439,0.0737842656952688,0.0316946465898641,0.117349883705191,0.0262280561206784,0.6593487985351704,0.1907863061279248,0.006436277730213,0.0023255168036923,0.0021483651073245,0.0218658945277119,0.0075957033567949,0.0192295151002363,0.0083063095555962,0.602924854523117,0.0562677587621058,0.0005880629614138,off_anchor,0.0004518032073974,1.1959113180600063e-05,-0.051918371167556904,-0.0240989432330692,-0.09812036860495471,-0.0179217465650822,-0.05642394401205342,-0.134518547365819,-0.0058482147687992005
M1.500000_a0.24500000,0.245,0.001058011284329,0.0011670391991757,0.0369269044717118,0.0159532917663843,0.0618968823438881,0.0134703421570677,0.4323854074696962,0.1002971676210483,0.0017735017911397,0.0013124635128751,0.0011725591480755,0.0141248414217503,0.0045227955778995,0.0220055304293409,0.0048979403159079,0.4096125083099241,0.0315616931215686,0.0001977577650353,off_anchor,0.0002544522285461001,5.519948899800151e-06,-0.022802063049961498,-0.0114304961884848,-0.0398913519145472,-0.008572401841159802,-0.022772899159772153,-0.0687354744994797,-0.0015757440261044
M1.500000_a0.25000000,0.25,8.110756521684248e-06,7.636029277008002e-07,0.0040357691104295,0.001400474859476,0.0144462967652009,0.0022106222178208,0.2421760163231693,0.002926937730294,2.9565836844325237e-06,2.686733847123701e-06,7.535554505996163e-08,0.0067519756753929,0.0019718326846772,0.0295853035221385,0.0046929838719448,0.2420954669447818,0.0058857916273294,8.37086036320489e-06,S4M2_modal_anchor,-5.424022674560547e-06,-6.882473826408386e-07,0.0027162065649633995,0.0005713578252012001,0.0151390067569376,0.002482361654124,-8.054937838750109e-05,0.0029588538970354,5.414276678772367e-06
M1.500000_a0.25500000,0.255,0.0012134362665439,0.0013223299417029,0.0347910697778878,0.0163598454983829,0.0659489982512896,0.0141298192350026,0.2705683981666655,0.1122777126051256,0.0021064730835932,0.0015239466635013,0.0013289353470634,0.0138268944921514,0.0054765435067482,0.0436577073625004,0.0111275972161278,0.2412630549859381,0.0468877824804104,0.0003324827825907,off_anchor,0.00031051039695740006,6.605405360499963e-06,-0.020964175285736394,-0.0108833019916347,-0.022291290888789193,-0.0030022220188748016,-0.02930534318072739,-0.0653899301247152,-0.0017739903010024999
M1.500000_a0.26000000,0.26,0.002543016588745,0.0027693244766786,0.0687489935406076,0.0325603865310728,0.1324608537478306,0.027773950044839,0.3424819625997496,0.2306667655010845,0.0089172298554817,0.0031847797990416,0.0027815601926639,0.0287245500241385,0.011029319945886,0.061402631752174,0.0189843885307795,0.224786161859094,0.0991041123328019,0.0015237195272517,off_anchor,0.0006417632102965996,1.2235715985299891e-05,-0.040024443516469096,-0.0215310665851868,-0.07105822199565659,-0.008789561514059498,-0.11769580074065561,-0.13156265316828258,-0.0073935103282299994
M1.500000_a0.26500000,0.265,0.0039249702487091,0.0043139179092458,0.1017273557789464,0.0487798188318001,0.2026094879972508,0.04221004926552,0.4191480919246906,0.3544770791609423,0.0211254001530951,0.0049062415156464,0.0043315054704061,0.0461314353494421,0.0173609355086202,0.0823718781242891,0.0286994902432582,0.1219301641461944,0.1602250400503232,0.0040180659493396,off_anchor,0.0009812712669373,1.7587561160299983e-05,-0.0555959204295043,-0.031418883323179894,-0.12023760987296168,-0.013510559022261802,-0.2972179277784962,-0.19425203911061908,-0.0171073342037555
M1.500000_a0.27000000,0.27,0.0053172186093157,0.0059335746417165,0.1336857397950806,0.0649356807436893,0.2756808987784533,0.0571100837160749,0.5692520300959261,0.4822116175674636,0.0394551944819027,0.0066315010266131,0.0059562085742474,0.0651956011154014,0.0243040420686167,0.1061281751337701,0.0399108543686127,0.1747291274271542,0.2299793182371151,0.0083230543073578,off_anchor,0.0013142824172974006,2.2633932530899924e-05,-0.06849013867967921,-0.0406316386750726,-0.1695527236446832,-0.0171992293474622,-0.3945229026687719,-0.2522322993303485,-0.031132140174544895
