Mach,alpha,analytic_tail_points,ci,cr,delta_kappa_at_match,delta_q_at_match,far_left,far_right,gamma_left_imag,gamma_left_real,gamma_mismatch_at_match,gamma_right_imag,gamma_right_real,left_distance,left_far_amplitude,left_interface_amplitude,matching_y,modal_dy,mu_left,mu_right,n_coordinates,numerical_extent,omega_i,right_distance,right_far_amplitude,right_interface_amplitude,right_log_amplitude_shift,tail_tolerance,timestamp,status,error,updated
1.7,0.16,300,0.0228169341517216,0.4400639840039697,-3.108793084072303e-11,-4.0421833415182906e-11,-2033.862269283835,263.8268622249167,-0.35753960210020425,0.006799120425815632,5.0993961020912814e-11,-0.01797406919816284,-0.052588052847880554,1993.862269283835,1.0000000000000004e-06,0.7718223464535632,1.0,0.025,0.006799120425815632,0.052588052847880554,3801,40.0,0.0036507094642754564,223.82686222491668,1.0000000000000004e-06,0.12939420280415065,-1.785890821891633,1e-06,2026-07-23T12:05:49.769868+00:00,converged,,2026-07-23T12:05:49.780227+00:00
1.7,0.165,300,0.0216071120197366,0.4417744301561991,-6.58164460431987e-11,-8.23064437785459e-11,-2083.1448060648872,251.67295018671322,-0.3692370942147986,0.006638262916639208,1.0538574503806586e-10,-0.017212202618287098,-0.05513606027387614,2043.1448060648872,1.0000000000000004e-06,0.7767954972648906,1.0,0.025,0.006638262916639208,0.05513606027387614,3801,40.0,0.003565173483256539,211.67295018671322,1.0000000000000004e-06,0.11710339480841894,-1.8921198595807442,1e-06,2026-07-23T12:05:49.938633+00:00,converged,,2026-07-23T12:05:49.949070+00:00
1.7,0.17,300,0.0203648828704671,0.4434375499103153,-4.447591947509544e-11,-2.884325590868375e-11,-2145.6813565669618,240.42836286879822,-0.3809513075584077,0.006444750849936811,5.300981819030314e-11,-0.016399861602243642,-0.057723322564348166,2105.6813565669618,9.999999999999987e-07,0.7827680607888261,1.0,0.025,0.006444750849936811,0.057723322564348166,3801,40.0,0.003462030087979407,200.42836286879822,1.0000000000000004e-06,0.10580901904232866,-2.0012006715111603,1e-06,2026-07-23T12:05:50.138877+00:00,converged,,2026-07-23T12:05:50.149171+00:00
1.7,0.175,300,0.0190925449656912,0.4450555880576098,-3.956664509918717e-11,-4.196952421015032e-11,-2223.744158747367,230.00009684844662,-0.39268166202210164,0.006218443539681616,5.767980900481057e-11,-0.015538712730731596,-0.06034929582886261,2183.744158747367,1.0000000000000004e-06,0.7897642453354715,1.0,0.025,0.006218443539681616,0.06034929582886261,3801,40.0,0.00334119536899596,190.00009684844662,1.0000000000000004e-06,0.09545135760126221,-2.113117704060575,1e-06,2026-07-23T12:05:50.304594+00:00,converged,,2026-07-23T12:05:50.315075+00:00
1.7,0.18,300,0.017792221109122,0.4466306636295581,-2.4528924030819965e-11,-3.6217695509321857e-12,-2320.4348691345317,220.30708174779824,-0.40442761929141574,0.005959226321523739,2.4794864968170258e-11,-0.01463035318286009,-0.06301345606577378,2280.4348691345317,1.000000000000002e-06,0.7978113912401353,1.0,0.025,0.005959226321523739,0.06301345606577378,3801,40.0,0.00320259979964196,180.30708174779824,1.0000000000000004e-06,0.08597160738702755,-2.2278551226042786,1e-06,2026-07-23T12:05:50.471487+00:00,converged,,2026-07-23T12:05:50.481706+00:00
1.7,0.185,300,0.0164658740674279,0.4481647764917723,-4.7497381028271946e-11,-1.2078438076101872e-11,-2440.0328648318573,211.2783577111934,-0.41618867919154284,0.005667007747620644,4.900907947414515e-11,-0.01367631315944376,-0.06571529629566464,2400.0328648318573,1.0000000000000004e-06,0.8069401972973841,1.0,0.025,0.005667007747620644,0.06571529629566464,3801,40.0,0.003046186702474161,171.2783577111934,1.0000000000000004e-06,0.07731227555371649,-2.345396813520395,1e-06,2026-07-23T12:05:50.659184+00:00,converged,,2026-07-23T12:05:50.669896+00:00
1.7,0.19,300,0.015115322697238,0.4496598147311717,-6.643287309149315e-11,-2.0865934414332488e-11,-2588.546907829633,202.8515381084669,-0.42796437669294596,0.005341717888596827,6.963270672732506e-11,-0.012678059866883695,-0.06845432548905535,2548.546907829633,1.0000000000000004e-06,0.8171832194247153,1.0,0.025,0.005341717888596827,0.06845432548905535,3801,40.0,0.00287191131247522,162.8515381084669,1.0000000000000004e-06,0.06941735561032375,-2.4657264114113846,1e-06,2026-07-23T12:05:50.853808+00:00,converged,,2026-07-23T12:05:50.864626+00:00
1.7,0.195,300,0.0137422547294503,0.4511175608667579,-2.8122629225357798e-11,3.272227063963462e-11,-2774.6237321345407,194.97164217898577,-0.43975427890927293,0.004983306320810751,4.314660207201075e-11,-0.011637000280409062,-0.07123006676283913,2734.6237321345407,1.0000000000000004e-06,0.8285792196020703,1.0,0.025,0.004983306320810751,0.07123006676283913,3801,40.0,0.0026797396722428083,154.97164217898577,1.000000000000004e-06,0.062232983451937056,-2.5888273106291666,1e-06,2026-07-23T12:05:51.070653+00:00,converged,,2026-07-23T12:05:51.081169+00:00
1.7,0.2,300,0.0123482379413871,0.452539697415948,-1.0421060542276095e-10,-1.0034147991666575e-12,-3011.1057733931484,187.58994924541247,-0.45155798220956866,0.00459174022499022,1.0421543611115179e-10,-0.01055448360253384,-0.07404205555201131,2971.1057733931484,1.0000000000000004e-06,0.8411673364842911,1.0,0.025,0.00459174022499022,0.07404205555201131,3801,40.0,0.00246964758827742,147.58994924541247,1.0000000000000004e-06,0.055707118638135045,-2.7146826714426364,1e-06,2026-07-23T12:05:51.235543+00:00,converged,,2026-07-23T12:05:51.246157+00:00
1.7,0.205,300,0.0109347319530853,0.4539278147332475,-7.860177786422895e-12,9.211336467890296e-11,-3317.8587629339145,180.66322500781553,-0.46337511051481,0.004167003341842771,9.244811705655635e-11,-0.009431804769143366,-0.07688984042892749,3277.8587629339145,1.0000000000000004e-06,0.8549928790042667,1.0,0.025,0.004167003341842771,0.07688984042892749,3801,40.0,0.002241620050382486,140.66322500781553,1.000000000000002e-06,0.04979017354001307,-2.8432754941649736,1e-06,2026-07-23T12:05:51.401827+00:00,converged,,2026-07-23T12:05:51.412294+00:00
1.7,0.21,300,0.0095030958822338,0.4552834131668948,-1.8020149261666063e-10,1.7769045609905554e-10,-3727.252690495204,174.15292095520996,-0.47520531181670966,0.00370909396949887,2.5307405266040763e-10,-0.008270206085596402,-0.07977297917708005,3687.252690495204,1.0000000000000004e-06,0.8701028641826057,1.0,0.025,0.00370909396949887,0.07977297917708005,3801,40.0,0.001995650135269098,134.15292095520996,1.0000000000000004e-06,0.04443479754268622,-2.974588548429815,1e-06,2026-07-23T12:05:51.594229+00:00,converged,,2026-07-23T12:05:51.605010+00:00
1.7,0.215,300,0.0080545975156262,0.4566079133063973,1.927111248356539e-12,3.9909505214485996e-10,-4295.745226222711,168.02457618892421,-0.4870482580572734,0.0032180239870693472,3.9909970484112365e-10,-0.0070708797084457365,-0.08269104246487627,4255.745226222711,1.0000000000000004e-06,0.886547709472851,1.0,0.025,0.0032180239870693472,0.08269104246487627,3801,40.0,0.001731738465859633,128.02457618892421,1.0000000000000004e-06,0.03959609044316501,-3.1086045546544288,1e-06,2026-07-23T12:05:51.783168+00:00,converged,,2026-07-23T12:05:51.794010+00:00
1.7,0.22,300,0.006590418920113,0.4579026542666269,-3.387311958702455e-11,4.396525027719478e-12,-5131.29067041134,162.24729136787658,-0.49890364069067156,0.0026938169378054487,3.415724905311067e-11,-0.005834969020811042,-0.0856436074179288,5091.29067041134,1.0000000000000004e-06,0.9043801249964453,1.0,0.025,0.0026938169378054487,0.0856436074179288,3801,40.0,0.0014498921624248602,122.2472913678766,1.0000000000000004e-06,0.03523161210814435,-3.245306013429347,1e-06,2026-07-23T12:05:51.971756+00:00,converged,,2026-07-23T12:05:51.982599+00:00
1.7,0.225,300,0.0051116684727593,0.4591689061072109,3.0566740805149095e-10,3.012284692516243e-11,-6469.221942616004,156.793240407579,-0.510771172066951,0.002136509099773349,3.0714809172741646e-10,-0.004563574724979062,-0.08863026428567937,6429.221942616004,1.0000000000000004e-06,0.9236524882008059,1.0,0.025,0.002136509099773349,0.08863026428567937,3801,40.0,0.0011501254063708427,116.793240407579,1.0000000000000004e-06,0.03130132675925921,-3.384675420756965,1e-06,2026-07-23T12:05:52.159129+00:00,converged,,2026-07-23T12:05:52.170188+00:00
1.7,0.23,300,0.0036193799030056,0.460407864505971,-2.3532795850877974e-10,-1.292880082506831e-10,-8938.46185200895,151.63726737082402,-0.5226505799223845,0.0015461456816109722,2.685044452766819e-10,-0.00325775148401997,-0.09165060693822488,8898.46185200895,1.0000000000000004e-06,0.944412542914791,1.0,0.025,0.0015461456816109722,0.09165060693822488,3801,40.0,0.000832457377691288,111.637267370824,1.0000000000000004e-06,0.02776754888249525,-3.5266950540027016,1e-06,2026-07-23T12:05:52.329474+00:00,converged,,2026-07-23T12:05:52.339818+00:00
1.7,0.235,300,0.0021145234432839,0.4616206622806005,-2.8537781929238726e-09,1.41482836785254e-10,-14974.870571262574,146.75642682457317,-0.5345416089374173,0.0009227822434047076,2.8572832144386118e-09,-0.0019185142759307662,-0.09470423939449871,14934.870571262574,1.0000000000000004e-06,0.9666902192262857,1.0,0.025,0.0009227822434047076,0.09470423939449871,3801,40.0,0.0004969130091717165,106.75642682457315,9.999999999999987e-07,0.024594698803264953,-3.6713471678129657,1e-06,2026-07-23T12:05:52.501742+00:00,converged,,2026-07-23T12:05:52.512286+00:00
1.7,0.24,300,0.0005983786311341,0.4628080238673403,-1.8670102090029284e-07,1.0969880810186069e-07,-51815.737164893144,142.12956359048732,-0.546443863841637,0.00026664790905296985,2.165435284283057e-07,-0.000547179021143583,-0.09779045820540389,51775.737164893144,1.0000000000000004e-06,0.9904276065788663,1.0,0.025,0.00026664790905296985,0.09779045820540389,3801,40.0,0.00014361087147218398,102.12956359048732,1.0000000000000004e-06,0.021748429343812683,-3.818595234863208,1e-06,2026-07-23T12:05:52.684631+00:00,converged,,2026-07-23T12:05:52.695805+00:00
