alpha,Mach,ci_pinn_stage0,ci_reference_anchor_interp,ci_abs_err_anchor_interp
0.44066666666666665,0.5,0.32055402,0.3231174146832777,0.002563396662647821
0.44300000000000006,0.5,0.31859148,0.3210677415491803,0.0024762660624249033
0.44533333333333336,0.5,0.31663027,0.31901806841508296,0.0023877943576946503
0.44766666666666666,0.5,0.31467023,0.31696839528098564,0.002298160362391277
0.45000000000000007,0.5,0.31271115,0.3149187221468882,0.002207572692771387
0.45233333333333337,0.5,0.31075293,0.31286904901279083,0.0021161207558023087
0.45466666666666666,0.5,0.3087952,0.31081937587869346,0.00202416217935264
0.4570000000000001,0.5,0.30683807,0.30876970274459603,0.0019316373587775493
0.45933333333333337,0.5,0.30488107,0.3067200296104987,0.0018389635265906312
0.46166666666666667,0.5,0.3029242,0.3046703564764014,0.0017461704851141624
0.4640000000000001,0.5,0.30096713,0.30262068334230396,0.0016535562575719087
0.4663333333333334,0.5,0.29900977,0.3005710102082066,0.0015612400532535875
0.4686666666666667,0.5,0.29705197,0.2985213370741092,0.0014693708837710817
0.4710000000000001,0.5,0.29509345,0.2964716639400118,0.001378216970025825
0.4733333333333334,0.5,0.29313397,0.29442199080591447,0.0012880167305970858
0.4756666666666667,0.5,0.2911735,0.29237231767181715,0.001198829770129528
0.4780000000000001,0.5,0.2892117,0.2903226445377197,0.001110954111846918
0.4803333333333334,0.5,0.28724843,0.28827297140362235,0.0010245387673613604
0.4826666666666667,0.5,0.28528354,0.286223298269525,0.0009397625506071261
0.485,0.5,0.28331673,0.28417362513542765,0.0008568936824857598
0.4873333333333334,0.5,0.28134793,0.2821239520013302,0.0007760215699642581
0.4896666666666667,0.5,0.27937692,0.2800742788672329,0.0006973548292995568
0.492,0.5,0.27740338,0.2780246057331356,0.0006212212860378097
0.4943333333333334,0.5,0.27542728,0.2759749325990381,0.0005476507425012378
0.4966666666666667,0.5,0.27344832,0.27392525946494073,0.0004769412219139957
0.499,0.5,0.27146643,0.2718755863308434,0.0004091523289208032
