final_reference_id,Mach,alpha,cr,ci,omega_i,reference_subset,mode_npz_path,mode_index_in_npz,n_coordinates,y_min,y_max,display_limit,min_abs_U_minus_c
M1.000000_a0.24000000,1.0,0.24,0.1028582442907003,0.0699141772819918,0.016779402547678,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,38,3801,-363.49649129231875,124.16112697127963,260.977837937989,0.06998692647878996
M1.000000_a0.24500000,1.0,0.245,0.1073227166314896,0.0668912242537501,0.0163883499421687,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,39,3801,-376.540030530633,120.15793242857396,270.9702926631324,0.06732778513483699
M1.000000_a0.25000000,1.0,0.25,0.111546652099929,0.0638826719697617,0.0159706679924404,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,40,3801,-390.61290626169034,116.42459636358167,280.49481495791207,0.06497767525391994
M1.000000_a0.25500000,1.0,0.255,0.1155576834965087,0.0608881568885657,0.0155264800065842,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,41,3801,-405.8998742588421,112.93019975583302,292.1582744457162,0.06152012087802396
M1.000000_a0.26000000,1.0,0.26,0.1193784584953749,0.0579073250083236,0.0150559045021641,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,42,3801,-422.6130977140339,109.6490899726595,303.5299516846287,0.058120601944806276
M1.000000_a0.26500000,1.0,0.265,0.1230278287323319,0.0549398320238557,0.0145590554863217,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,43,3801,-441.0017304076676,106.55970162610437,317.4851835988446,0.05495581157979085
M1.000000_a0.27000000,1.0,0.27,0.1265216952031328,0.051985341826045,0.0140360422930321,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,44,3801,-461.3637434035038,103.6436691681661,331.4128004879966,0.052030558290015815
M1.000000_a0.27500000,1.0,0.275,0.1298736305102899,0.0490435280560056,0.0134869702154015,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,45,3801,-484.0615300947747,100.88520745135236,348.5367080931671,0.049353267225693366
M1.000000_a0.28000000,1.0,0.28,0.1330953299345456,0.0461140721276878,0.0129119401957525,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,46,3801,-509.54268956358305,98.27061082066012,366.0575533439198,0.04693544449460653
M1.000000_a0.28500000,1.0,0.285,0.1361969665986558,0.0431966635770222,0.0123110491194513,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,47,3801,-538.368791262553,95.7878757646718,385.8783808721315,0.044790972829478276
