final_reference_id,alpha,role,cr_abs_error_S4,ci_abs_error_S4,kappa_nrmse_S4,q_nrmse_S4,log_amp_rmse_S4,amplitude_rel_l2_S4,phase_rmse_S4,pressure_rel_l2_S4,pressure_overlap_error_S4,cr_abs_error_S4M4,ci_abs_error_S4M4,kappa_nrmse_S4M4,q_nrmse_S4M4,log_amp_rmse_S4M4,amplitude_rel_l2_S4M4,phase_rmse_S4M4,pressure_rel_l2_S4M4,pressure_overlap_error_S4M4,delta_cr_abs_error_S4M4_minus_S4,delta_ci_abs_error_S4M4_minus_S4,delta_kappa_nrmse_S4M4_minus_S4,delta_q_nrmse_S4M4_minus_S4,delta_log_amp_rmse_S4M4_minus_S4,delta_amplitude_rel_l2_S4M4_minus_S4,delta_phase_rmse_S4M4_minus_S4,delta_pressure_rel_l2_S4M4_minus_S4,delta_pressure_overlap_error_S4M4_minus_S4
M1.900000_a0.15000000,0.15,off_anchor,0.0015166706706172,0.0051350186438315,1.0405590336328612,0.173959833666579,0.7405084631883674,0.5100971332232452,1.312248054887201,0.8421764774442533,0.2318434335141187,0.0015451318884975,0.0051448254705422,0.0742806091220499,0.0176114505007457,0.0137625053424589,0.010220184111263,0.6025000894773977,0.1049820248991388,0.0025233412726474,2.846121788029998e-05,9.806826710700121e-06,-0.9662784245108113,-0.1563483831658333,-0.7267459578459085,-0.4998769491119822,-0.7097479654098033,-0.7371944525451145,-0.22932009224147132
M1.900000_a0.15500000,0.155,off_anchor,0.0011966916750979,0.0034644164689833,1.046736957153083,0.1599928381938178,0.7800278743342922,0.5220352430293352,1.1820557667600473,0.8123785349946294,0.2091388218796314,0.0012191626261782,0.0034704626151377,0.055847234881471,0.0120259611306988,0.0081261075802803,0.0071425355470967,0.4132724241038207,0.0723100998266666,0.0012306597632647,2.247095108029993e-05,6.046146154400217e-06,-0.9908897222716119,-0.147966877063119,-0.7719017667540119,-0.5148927074822386,-0.7687833426562266,-0.7400684351679628,-0.2079081621163667
M1.900000_a0.16000000,0.16,off_anchor,0.0006772860950163,0.0016419759744135,1.0509512339912384,0.1444761677319515,0.8243040453094682,0.5348866687075434,1.1105655813777229,0.7808267189455903,0.1870671923916358,0.0006881341403654,0.0016442567833988,0.0409700110336016,0.0064978255367152,0.0056531227226929,0.0043370041799096,0.4127161979724259,0.0337940776540993,0.0003023651440144,1.084804534910006e-05,2.2808089853000937e-06,-1.0099812229576368,-0.13797834219523628,-0.8186509225867753,-0.5305496645276339,-0.697849383405297,-0.747032641291491,-0.1867648272476214
M1.900000_a0.16500000,0.165,S4M4_modal_anchor,6.934899690280716e-06,5.930948441552203e-07,1.0529902253514818,0.1281832575216396,0.8707821083180987,0.5479565832271498,1.025917165638763,0.7486435636688346,0.1670539659765807,1.4810746933324737e-06,6.676893897147873e-09,0.0331557673287913,0.0036488172040372,0.0080339476969961,0.0034265913965723,0.4145958343260949,0.0082369542584836,1.073041088617277e-05,-5.453824996948242e-06,-5.864179502580724e-07,-1.0198344580226906,-0.12453444031760239,-0.8627481606211026,-0.5445299918305775,-0.611321331312668,-0.740406609410351,-0.16704323556569453
M1.900000_a0.17000000,0.17,off_anchor,0.000712526641425,0.0012268037246759,1.0531379594920856,0.1117517301812723,0.9192535496616744,0.5609768918368895,0.9323580262415264,0.7173243707741485,0.1501463597146421,0.0007363684993352,0.0012290146844681,0.0323837892840239,0.0058708306007215,0.0112362997083768,0.0047796565415158,0.4181378213547904,0.040922046544946,0.0002791048257227,2.3841857910199943e-05,2.2109597922000297e-06,-1.0207541702080616,-0.1058808995805508,-0.9080172499532976,-0.5561972352953737,-0.514220204886736,-0.6764023242292024,-0.14986725488891942
M1.900000_a0.17500000,0.175,off_anchor,0.0013384860473952,0.0019480364782871,1.0517133441165691,0.0957055583412864,0.9726301334857416,0.5741738983898401,0.8344286552738298,0.6889252018240921,0.1370702907476986,0.0013789576011977,0.0019507289318503,0.0342719844332429,0.0084114984707726,0.0135286656785109,0.0062945571237601,0.4217182235459139,0.0667440334959595,0.0007975369636209,4.047155380249999e-05,2.6924535631999043e-06,-1.0174413596833263,-0.0872940598705138,-0.9591014678072307,-0.56787934126608,-0.41271043172791594,-0.6221811683281326,-0.13627275378407772
M1.900000_a0.18000000,0.18,off_anchor,0.0017255511988172,0.0021858219846361,1.049680018682042,0.0805122345023746,1.0246637899137534,0.5864981576348861,0.6561780711109785,0.6644384478470228,0.1277688622556746,0.0017767515886792,0.0021882760196202,0.035034088785191,0.0096632913565702,0.0142207500428213,0.0069811865782681,0.2601536026211682,0.0810363189885705,0.0011991992695559,5.120038986200005e-05,2.454034984099643e-06,-1.014645929896851,-0.07084894314580441,-1.010443039870932,-0.579516971056618,-0.39602446848981027,-0.5834021288584523,-0.12656966298611871
M1.900000_a0.18500000,0.185,off_anchor,0.001773623414441,0.0020221261004536,1.0469057151194854,0.0665536887954863,1.081291372436324,0.5985588114743693,0.5463949175126539,0.6459627564431604,0.1223456807934307,0.0018269099668702,0.0020240236701994,0.033538151127412,0.0094129283472057,0.0134887939839548,0.006724014297673,0.2599332385821314,0.082074198565131,0.0012465688483502,5.3286552429200086e-05,1.8975697458002878e-06,-1.0133675639920734,-0.057140760448280606,-1.0678025784523693,-0.5918347971766963,-0.2864616789305225,-0.5638885578780294,-0.1210991119450805
M1.900000_a0.19000000,0.19,off_anchor,0.0014597827798054,0.001551384107368,1.0440165358858042,0.0544188529532343,1.1358310087970946,0.6094169812241104,0.4397076218965427,0.6338602143334279,0.1202443547455645,0.0015055591469929,0.0015526618819404,0.0299845947693786,0.007695394473582,0.0118267505365199,0.0055333825700328,0.2562162919821747,0.0684683155163473,0.0008855489881181,4.57763671875e-05,1.2777745723999753e-06,-1.0140319411164256,-0.0467234584796523,-1.1240042582605747,-0.6038835986540776,-0.183491329914368,-0.5653918988170805,-0.1193588057574464
M1.900000_a0.19500000,0.195,off_anchor,0.0008345316801599,0.000856102897569,1.040567033272514,0.0449635182254783,1.1952343219931791,0.6200238761453923,0.3267059367516764,0.6297083884913983,0.12135831283135,0.000864214793258,0.0008568307261611,0.0258723675832527,0.0047393001129277,0.0113239781130343,0.0032805377032795,0.2235232641358068,0.039415806179569,0.0003146211882943,2.968311309809997e-05,7.27828592100052e-07,-1.0146946656892615,-0.0402242181125506,-1.1839103438801448,-0.6167433384421128,-0.10318267261586961,-0.5902925823118294,-0.1210436916430557
M1.900000_a0.20000000,0.2,S4M4_modal_anchor,9.077925785083709e-06,2.8502431619666785e-07,1.0367469455824956,0.0393285796642432,1.255653880608223,0.6296439778833991,0.2519979629317197,0.6329400635507849,0.1250061370465689,1.925368412036832e-06,9.739278669131102e-09,0.0252377276468387,0.0024664779411932,0.0157336489720621,0.0027609620360449,0.2192892252677118,0.0068524914144817,5.383759538846178e-06,-7.152557373046877e-06,-2.7528503752753675e-07,-1.0115092179356568,-0.036862101723049996,-1.2399202316361608,-0.6268830158473542,-0.03270873766400792,-0.6260875721363032,-0.12500075328703006
M1.900000_a0.20500000,0.205,off_anchor,0.0009745549447082,0.0009723224226302,1.032490135413636,0.0384712880549396,1.3171751280599202,0.6383688668313524,0.3357748317918669,0.6434113381504041,0.1307523400780357,0.0009937476403258,0.0009723452400333,0.0318491154663265,0.0067050718394074,0.0252701441503454,0.0072031483678278,0.3303095273966102,0.0663140898456058,0.0006666177808208,1.9192695617600104e-05,2.2817403099980108e-08,-1.0006410199473095,-0.0317662162155322,-1.2919049839095749,-0.6311657184635246,-0.00546530439525672,-0.5770972483047982,-0.1300857222972149
M1.900000_a0.21000000,0.21,off_anchor,0.0019910500406684,0.0020288130611477,1.0277431394010543,0.0420682614959872,1.3799353707672888,0.6463415114946043,0.1740801099565632,0.660829878044654,0.1382134657189965,0.0020379588961066,0.0020290514797268,0.0448552144091342,0.0133362727835329,0.0382117183531964,0.0125623363871179,0.1100891790324127,0.1421714214085087,0.0032172992902529,4.6908855438199896e-05,2.3841857909982778e-07,-0.9828879249919201,-0.028731988712454297,-1.3417236524140923,-0.6337791751074864,-0.0639909309241505,-0.5186584566361453,-0.1349961664287436
M1.900000_a0.21500000,0.215,off_anchor,0.0030247596996189,0.0031486359040046,1.0224843321575854,0.0486583942497292,1.4434618609620165,0.6532761062496324,0.2989168853811845,0.6845145774223607,0.1470008569012966,0.0030986098544956,0.003149015883615,0.0621756832265922,0.0210901754358992,0.0541541427043995,0.0196994821523497,0.1798516249815059,0.2329962857769698,0.0087952000249597,7.385015487670031e-05,3.7997961040018083e-07,-0.9603086489309932,-0.027568218813830002,-1.389307718257617,-0.6335766240972827,-0.1190652603996786,-0.45151829164539087,-0.1382056568763369
