model,final_reference_id,alpha,role,is_spectral_anchor,is_S4M2_modal_anchor,n_domain,n_amplitude_mask,cr_reference,cr_prediction,cr_abs_error,ci_reference,ci_prediction,ci_abs_error,kappa_nrmse,q_nrmse,kappa_max_abs,q_max_abs,log_amp_rmse,amplitude_rel_l2,phase_rmse,pressure_rel_l2,pressure_overlap_error
S4,M1.900000_a0.20500000,0.205,off_anchor,False,False,3284,3284,0.5096468519455932,0.508672297000885,0.0009745549447082169,0.0032484016832047,0.004220724105834961,0.0009723224226302609,1.032490135413636,0.03847128805493968,0.09876163442300627,0.043675661456686776,1.3171751280599202,0.6383688668313524,0.33577483179186696,0.6434113381504041,0.1307523400780357
S4,M1.900000_a0.21000000,0.21,off_anchor,False,False,3287,3287,0.5107640788912239,0.5087730288505554,0.001991050040668463,0.0020200312725903,0.004048844333738089,0.0020288130611477886,1.0277431394010543,0.042068261495987205,0.10287508574018936,0.04871306329698927,1.3799353707672888,0.6463415114946043,0.17408010995656323,0.660829878044654,0.1382134657189965
S4,M1.900000_a0.21500000,0.215,off_anchor,False,False,3291,3291,0.51185864489249,0.5088338851928711,0.0030247596996189063,0.0007752887358164,0.0039239246398210526,0.0031486359040046527,1.0224843321575854,0.048658394249729224,0.10687560966538973,0.05991770888518233,1.4434618609620165,0.6532761062496324,0.2989168853811845,0.6845145774223607,0.1470008569012966
S4M2,M1.900000_a0.05000000,0.05,off_anchor,False,False,3208,3208,0.4575013033096492,0.4611031711101532,0.0036018678005039773,0.0201545403695674,0.03748951852321625,0.017334978153648848,1.0629480046585356,0.0801676889805871,0.014934913310563739,0.03668129165250932,0.013869234409416861,0.013121395700879657,0.1154213923023802,0.1032132579994595,0.002340257528563816
S4M2,M1.900000_a0.05500000,0.055,off_anchor,False,False,3210,3210,0.4598761373512365,0.46165868639945984,0.0017825490482233364,0.0209545200389075,0.030774131417274475,0.009819611378366976,0.589142026033807,0.045483060282499904,0.012011805493283585,0.03035504816811324,0.009911143724238609,0.008939935869389109,0.07402898250881432,0.0648373674867817,0.0009245805535770257
S4M2,M1.900000_a0.06000000,0.06,off_anchor,False,False,3211,3211,0.4622082577801977,0.46281668543815613,0.0006084276579584325,0.0215874463500849,0.0257337037473917,0.0041462573973068025,0.28910297060693513,0.02056523662325219,0.010123555761995497,0.023556946141322376,0.006822427227747367,0.005410401856482634,0.03770476015932241,0.03135482175691432,0.00023732059555747753
S4M2,M1.900000_a0.06500000,0.065,S4M2_modal_anchor,True,True,3212,3212,0.4644930709807444,0.4644911587238312,1.9122569132057343e-06,0.0220661663779487,0.022066330537199974,1.6415925127577502e-07,0.1471012651989406,0.007094971953055612,0.009220419365860112,0.01885546632272082,0.00573004343535262,0.003779449808021656,0.012905102580773535,0.007730723234793791,2.987081601701913e-05
S4M2,M1.900000_a0.07000000,0.07,off_anchor,False,False,3214,3214,0.4667274148350163,0.4665467143058777,0.0001807005291385999,0.0224026540029573,0.019490400329232216,0.0029122536737250827,0.1616719118306507,0.013032700798409529,0.00978122631438132,0.013981162617193024,0.007128451088228154,0.005142538808967357,0.026243853488909587,0.02396274388665854,0.00010252876278782352
S4M2,M1.900000_a0.07500000,0.075,off_anchor,False,False,3216,3216,0.4689092726029273,0.4688204824924469,8.879011048040786e-05,0.0226079949575224,0.01777106337249279,0.004836931585029611,0.20629550717550016,0.01970273713650613,0.010100264670782453,0.010965102227256843,0.009533808011006534,0.007453807632450225,0.04489757532892805,0.04248232990930352,0.0003094197829819345
S4M2,M1.900000_a0.08000000,0.08,off_anchor,False,False,3218,3218,0.4710375349773399,0.4711616635322571,0.0001241285549171689,0.0226924045559811,0.016725579276680946,0.0059668252793001544,0.2282907464085409,0.023298396823708184,0.010215904392204279,0.0089208422955116,0.012022000687102772,0.00953682136839212,0.05849344442734638,0.05654917444272932,0.0005585435889742252
S4M2,M1.900000_a0.08500000,0.085,off_anchor,False,False,3220,3220,0.4731118045402344,0.47345981001853943,0.0003480054783050468,0.0226652668576932,0.016219619661569595,0.006445647196123606,0.22682713535250856,0.024402041566960676,0.010156457959144055,0.010917659906206911,0.014063335218504875,0.011002462280727286,0.06639545097663273,0.06581208084792069,0.0007823484454680951
S4M2,M1.900000_a0.09000000,0.09,off_anchor,False,False,3221,3221,0.4751322369239946,0.4756501615047455,0.0005179245807508948,0.0225351864585413,0.016159022226929665,0.006376164231611636,0.20753182181213628,0.02368181425347992,0.009937220317195915,0.012009202076004366,0.015275180748347637,0.011631383531745984,0.06872916719419261,0.06992937854459363,0.0009215928330617018
S4M2,M1.900000_a0.09500000,0.095,off_anchor,False,False,3223,3223,0.4770994126801933,0.47770246863365173,0.0006030559534584423,0.022310043030764,0.016479162499308586,0.0058308805314554145,0.1759046812128064,0.02154949591701379,0.009563844549803462,0.011972961920832748,0.015302514309903634,0.011268405248376197,0.06559751845820372,0.06835407004738273,0.0009225715109627552
S4M2,M1.900000_a0.10000000,0.1,off_anchor,False,False,3225,3225,0.4790142335247862,0.47960638999938965,0.0005921564746034225,0.0219970508320953,0.017132999375462532,0.0048640514566327675,0.1372003844760976,0.018139353038636397,0.009034246304264942,0.010756798295980419,0.013980068884319751,0.009848057379942567,0.05690936439678404,0.06043374042881044,0.0007566338854999577
