alpha,Mach,blumen_cr,blumen_ci,blumen_cr_available,blumen_ci_available,blumen_target_available,seed_name,seed_cr_center,seed_ci_center,requested_cr_half_window,requested_ci_half_window,used_cr_half_window,used_ci_half_window,retry_index,shooting_cr,shooting_ci,shooting_omega_i,err_cr_abs,err_ci_abs,err_ci_rel,stage1_mismatch,stage2_mismatch,ln_p_start_right,spectral_success,mode_success,success,status,selection_metric,selection_metric_name,y_limit
0.175,1.8,,,False,False,False,generic_00,0.0,0.015,0.06,0.008,0.06,0.008,0,0.08939453124999996,7.025149498456787e-06,1.2294011622299377e-06,,,,0.03488174688044152,3.761030246932098e-20,-5.018997593159846,True,True,True,validated,-0.06826293780547639,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.06,0.008,0.105,0.014,1,0.2316422526041667,7.778669945987659e-06,1.3612672405478401e-06,,,,0.03791166406168235,1.3516981727390045e-24,-5.028423722316964,True,True,True,validated,-0.06811219546686188,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.1,0.008,0.17500000000000002,0.014,1,0.33654785156249994,7.778669945987659e-06,1.3612672405478401e-06,,,,0.038371724785705184,7.099579043483802e-19,-5.035589873245332,True,True,True,validated,-0.06808919243066074,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.03,0.008,0.16078125,0.042875,3,0.31541712443033854,1.1701717172630534e-05,2.0478005052103434e-06,,,,0.039244373038585155,4.556460588556564e-27,-5.0338957082978055,True,True,True,validated,-0.06804948306524337,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.1,0.015,0.17500000000000002,0.02625,1,0.33625488281249993,9.09186770592207e-06,1.591076848536362e-06,,,,0.03986602888902241,9.663546088957395e-28,-5.036030818531445,True,True,True,validated,-0.06801579042325481,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_00,0.0,0.015,0.06,0.015,0.18375,0.0459375,2,0.27520629882812503,1.0612644650808572e-05,1.8572128138915e-06,,,,0.04358276272758542,1.59088317367334e-22,-5.03169085518127,True,True,True,validated,-0.06783147450827155,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.03,0.03,0.16078125,0.16078125,3,0.3159660339355469,0.00012368638610839842,2.1645117568969724e-05,,,,0.046361045826060224,2.0966462805456675e-21,-5.061577684410126,True,True,True,validated,-0.06780563409480539,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.03,0.06,0.16078125,0.3215625,3,0.3159660339355469,9.90118645562066e-05,1.7327076297336154e-05,,,,0.046357504222977526,7.4223922572245e-27,-5.055891077097316,True,True,True,validated,-0.06778113665340733,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_02,0.1,0.04,0.06,0.03,0.105,0.0525,1,0.3068994140625,1.5567434051890433e-05,2.7243009590808257e-06,,,,0.044755385716728366,4.319486772628172e-26,-5.035590701550419,True,True,True,validated,-0.06777779814821547,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_04,0.26,0.07,0.03,0.06,0.03,0.06,0,0.31970703124999994,5.123344063464507e-05,8.965852111062888e-06,,,,0.045528634980733174,5.750795999061176e-28,-5.045254414578828,True,True,True,validated,-0.067774801691598,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.03,0.015,0.16078125,0.080390625,3,0.3159660339355469,8.461888461642792e-05,1.4808304807874885e-05,,,,0.04634964089931335,2.0448063524233847e-26,-5.052572913445052,True,True,True,validated,-0.06776713683965077,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_00,0.0,0.015,0.03,0.015,0.0525,0.02625,1,0.07750244140625001,7.522033440232764e-06,1.3163558520407336e-06,,,,0.04525876452277263,7.099748146989106e-30,-5.022493834584254,True,True,True,validated,-0.06774458380730161,max_ci_fallback,1200.0
