point_id,Mach,eta,alpha,ci_seed,ci_final,ci_blumen,pinn_blumen_abs,gep_blumen_abs,pinn_blumen_rel,gep_blumen_rel,inside_blumen_support
P000_M0700_eta0136,0.7,0.1362499999999999,0.0973019623388963,0.5536424362841099,0.5524082501267688,0.140371841672136,0.4132705946119739,0.41203640845463274,2.9441132187838828,2.9353209557299875,True
P001_M0700_eta0185,0.7,0.185,0.1321164259280427,0.5095015369250918,0.5100857572767805,0.13811850439519538,0.37138303252989646,0.37196725288158516,2.6888723864781108,2.6931022350001967,True
P002_M0700_eta0234,0.7,0.23375,0.1669308895171891,0.4702639611687197,0.4700051760989247,0.13527837385608685,0.33498558731263284,0.3347268022428379,2.476268584282366,2.474355602462595,True
P000_M0700_eta0269,0.7,0.26875,0.191925889017089,0.4433220775599393,0.4424513349420127,0.13297010701314266,0.31035197054679664,0.30948122792887006,2.333998050525158,2.3274496417324926,True
P001_M0700_eta0325,0.7,0.325,0.2320964239276426,0.3997689522322615,0.4000609867560728,0.12881704966491686,0.27095190256734464,0.27124393709115596,2.103385408004248,2.10565245669517,True
P000_M0700_eta0375,0.7,0.375,0.2678035660703569,0.3651625630682274,0.3641225906725953,0.1246830384288811,0.24047952463934633,0.2394395522437142,1.928726855469722,1.9203859262724812,True
P002_M0700_eta0381,0.7,0.38125,0.2722669588381962,0.3594931383199299,0.3597355129588908,0.12417067995220554,0.23532245836772436,0.23556483300668524,1.8951531751159145,1.897105122540654,True
P001_M0700_eta0450,0.7,0.45,0.3213642792844282,0.3126628582991578,0.3128797178126103,0.11769409154558158,0.19496876675357622,0.19518562626702873,1.6565722560343399,1.6584148252797852,True
P006_M0700_eta0519,0.7,0.51875,0.3704615997306603,0.2688247557837258,0.2683374571595182,0.10940732643596622,0.15941742934775954,0.15893013072355194,1.457100127943106,1.4526461426380834,True
P002_M0700_eta0525,0.7,0.525,0.3749249924984996,0.2638140557817997,0.264391458056876,0.10866390146221466,0.155150154319585,0.15572755659466136,1.4277984890275162,1.4331121421110762,True
P000_M0700_eta0562,0.7,0.5625,0.4017053491055353,0.2414517741811484,0.2410494352091572,0.10420335161970519,0.1372484225614432,0.136846083589452,1.3171209987787869,1.3132599044306936,True
P007_M0700_eta0575,0.7,0.575,0.4106321346412138,0.2334840533833329,0.2333911527801187,0.10248178219011173,0.13100227119322116,0.13090937059000698,1.27829813644538,1.277391627978911,True
