Mach,alpha_neutral,cr_neutral,dalpha_neutral_dMach
1.249,0.31701426239394626,0.3093080943205616,-0.1998411988552604
1.25,0.3168146964786124,0.3097455009003375,-0.19928937653546644
1.251,0.3166158982521452,0.31018257997330917,-0.19831313888230234
1.252,0.31641805807588097,0.31061945563238574,-0.19737327612961558
1.2530000000000001,0.3162211395749191,0.31105611166676034,-0.1964697882774064
1.254,0.3160251063743593,0.31149253186562625,-0.19560267532567494
1.255,0.315829922099301,0.31192870001817696,-0.19477193727442102
1.256,0.31563555037484364,0.3123645999136058,-0.19397757412364447
1.2570000000000001,0.31544195482608683,0.3128002153411061,-0.19321958587334545
1.258,0.3152490990781301,0.3132355300898711,-0.1924979725235242
1.259,0.315056946756073,0.3136705279490942,-0.19181273407418045
1.26,0.31486546148501493,0.3141051927079689,-0.19116387052531408
1.2610000000000001,0.31467460689005544,0.31453950815568843,-0.1905513818769253
1.262,0.31448434659629426,0.31497345808144595,-0.18997526812901416
1.263,0.3142946442288307,0.31540702627443507,-0.1894355292815806
1.264,0.3141054634127643,0.31584019652384904,-0.18893216533462448
1.2650000000000001,0.31391676777319455,0.3162729526188812,-0.18846517628814588
1.266,0.31372852093522113,0.31670527834872486,-0.18803456214214492
1.267,0.3135406865239435,0.3171371575025733,-0.18764032289662153
1.268,0.31335322816446104,0.3175685738696201,-0.1872824585515756
1.2690000000000001,0.31316610948187346,0.31799951123905845,-0.1869609691070072
1.27,0.3129792941012803,0.3184299534000816,-0.1866758545629164
1.271,0.31279274564778087,0.318859884141883,-0.1864271149193032
1.272,0.3126064277464748,0.3192892872536561,-0.18621475017616743
1.2730000000000001,0.3124203040224616,0.31971814652459407,-0.18603876033350927
1.274,0.312234338100841,0.32014644574389023,-0.18589914539132868
1.275,0.3120484936067122,0.32057416870073796,-0.1857959053496256
1.276,0.31186273416517485,0.32100129918433085,-0.18572904020840006
1.2770000000000001,0.3116770234013286,0.32142782098386197,-0.18569854996765206
1.278,0.31149132494027276,0.3218537178885246,-0.18570443462738168
1.279,0.311305602407107,0.3222789736875123,-0.18574669418758877
1.28,0.31111981942693073,0.3227035721700183,-0.18582532864827342
1.2810000000000001,0.3109339396248436,0.32312749712523603,-0.18594033800943566
1.282,0.3107479266259451,0.3235507323423587,-0.1860917222710754
1.283,0.31056174405533465,0.3239732616105797,-0.18627948143319267
1.284,0.31037535553811185,0.3243950687190925,-0.18650361549578753
1.2850000000000001,0.3101887246993762,0.3248161374570903,-0.18676412445885995
1.286,0.3100018151642273,0.3252364516137664,-0.18706100832240985
1.287,0.3098145905577646,0.32565599497831427,-0.1873942670864373
1.288,0.30962701450508756,0.3260747513399273,-0.18776390075094238
1.289,0.3094390506312959,0.32649270448779855,-0.18816990931592492
1.29,0.3092506625614889,0.3269098382111218,-0.1886122927813851
1.291,0.3090618139207663,0.3273261362990899,-0.18909105114732272
1.292,0.3088724683342275,0.32774158254089664,-0.18960618441373803
1.293,0.308682589426972,0.32815616072573506,-0.1901576925806307
1.294,0.30849214082409937,0.32856985464279864,-0.1907455756480011
1.295,0.3083010861507092,0.3289826480812806,-0.1913698336158489
1.296,0.3081093890319008,0.3293945248303744,-0.19203046648417435
1.297,0.30791701309277403,0.3298054686792734,-0.1927274742529772
1.298,0.30772392195842807,0.3302154634171709,-0.19346085692225778
1.299,0.30753007925396264,0.3306244928332601,-0.19423061449201579
1.3,0.3073354486044772,0.3310325407167347,-0.19503674696225146
1.301,0.3071398612302353,0.3314395207464407,-0.19612912121836196
1.302,0.3069432081226469,0.33184537681353593,-0.19716821365527504
1.303,0.30674554256353115,0.3322501380256814,-0.19815402427299034
1.304,0.3065469178347073,0.33265383349053784,-0.19908655307150827
1.305,0.3063473872179945,0.33305649231576595,-0.1999658000508284
1.306,0.30614700399521205,0.33345814360902665,-0.20079176521095107
1.307,0.30594582144817906,0.3338588164779806,-0.20156444855187602
1.308,0.30574389285871467,0.3342585400302887,-0.20228385007360353
1.309,0.30554127150863825,0.33465734337361164,-0.20294996977613325
1.31,0.30533801067976885,0.33505525561561034,-0.20356280765946555
1.311,0.3051341636539257,0.3354523058639454,-0.20412236372360013
1.312,0.304929783712928,0.33584852322627784,-0.20462863796853717
1.313,0.30472492413859503,0.3362439368102682,-0.20508163039427657
1.314,0.30451963821274586,0.33663857572357747,-0.20548134100081847
1.315,0.30431397921719977,0.3370324690738663,-0.20582776978816267
1.316,0.30410800043377595,0.33742564596879565,-0.2061209167563093
1.317,0.3039017551442935,0.33781813551602613,-0.20636078190525833
1.318,0.3036952966305718,0.33820996682321863,-0.2065473652350098
1.319,0.3034886781744299,0.3386011689980339,-0.20668066674556362
1.32,0.30328195305768707,0.3389917711481327,-0.20676068643691986
1.321,0.3030751745621625,0.3393818023811759,-0.20678742430907854
1.322,0.3028683959696753,0.33977129180482424,-0.20676088036203957
1.323,0.3026616705620448,0.34016026852673853,-0.20668105459580302
1.324,0.3024550516210901,0.34054876165457953,-0.20654794701036888
1.325,0.3022485924286305,0.34093680029600804,-0.20636155760573716
1.326,0.3020423462664851,0.34132441355868487,-0.2061218863819078
1.327,0.30183636641647305,0.34171163055027076,-0.2058289333388809
