split,Mach,s,alpha_neutral,alpha,distance_to_neutral,chart_s_low,chart_s_bulk,chart_s_neutral,chart_M_sonic,chart_M_mid,chart_M_high
train,1.45,0.2,0.2798347561605271,0.055966951232105426,0.8,False,True,False,False,True,False
train,1.45,0.35,0.2798347561605271,0.09794216465618448,0.65,False,True,False,False,True,False
train,1.45,0.5,0.2798347561605271,0.13991737808026355,0.5,False,True,False,False,True,False
train,1.45,0.65,0.2798347561605271,0.18189259150434262,0.35,False,True,False,False,True,False
train,1.45,0.78,0.2798347561605271,0.21827110980521117,0.21999999999999997,False,True,False,False,True,False
train,1.45,0.87,0.2798347561605271,0.2434562378596586,0.13,False,True,True,False,True,False
train,1.45,0.93,0.2798347561605271,0.2602463232292902,0.06999999999999995,False,False,True,False,True,False
train,1.45,0.97,0.2798347561605271,0.2714397134757113,0.030000000000000027,False,False,True,False,True,False
train,1.45,0.985,0.2798347561605271,0.2756372348181192,0.015000000000000013,False,False,True,False,True,False
train,1.5,0.05,0.2712827206268125,0.013564136031340627,0.95,True,False,False,False,True,False
train,1.5,0.1,0.2712827206268125,0.027128272062681254,0.9,True,False,False,False,True,False
train,1.5,0.2,0.2712827206268125,0.05425654412536251,0.8,False,True,False,False,True,False
train,1.5,0.35,0.2712827206268125,0.09494895221938437,0.65,False,True,False,False,True,False
train,1.5,0.5,0.2712827206268125,0.13564136031340626,0.5,False,True,False,False,True,False
train,1.5,0.65,0.2712827206268125,0.17633376840742815,0.35,False,True,False,False,True,False
train,1.5,0.78,0.2712827206268125,0.21160052208891378,0.21999999999999997,False,True,False,False,True,False
train,1.5,0.87,0.2712827206268125,0.2360159669453269,0.13,False,True,True,False,True,False
train,1.5,0.93,0.2712827206268125,0.25229293018293564,0.06999999999999995,False,False,True,False,True,False
train,1.5,0.97,0.2712827206268125,0.26314423900800815,0.030000000000000027,False,False,True,False,True,False
train,1.5,0.985,0.2712827206268125,0.26721347981741034,0.015000000000000013,False,False,True,False,True,False
train,1.55,0.05,0.2637788566264416,0.013188942831322083,0.95,True,False,False,False,True,True
train,1.55,0.1,0.2637788566264416,0.026377885662644165,0.9,True,False,False,False,True,True
train,1.55,0.2,0.2637788566264416,0.05275577132528833,0.8,False,True,False,False,True,True
train,1.55,0.35,0.2637788566264416,0.09232259981925456,0.65,False,True,False,False,True,True
train,1.55,0.5,0.2637788566264416,0.1318894283132208,0.5,False,True,False,False,True,True
train,1.55,0.65,0.2637788566264416,0.17145625680718707,0.35,False,True,False,False,True,True
train,1.55,0.78,0.2637788566264416,0.20574750816862447,0.21999999999999997,False,True,False,False,True,True
train,1.55,0.87,0.2637788566264416,0.22948760526500422,0.13,False,True,True,False,True,True
train,1.55,0.93,0.2637788566264416,0.24531433666259073,0.06999999999999995,False,False,True,False,True,True
train,1.55,0.97,0.2637788566264416,0.2558654909276484,0.030000000000000027,False,False,True,False,True,True
train,1.55,0.985,0.2637788566264416,0.259822173777045,0.015000000000000013,False,False,True,False,True,True
train,1.6,0.05,0.2563061658856508,0.01281530829428254,0.95,True,False,False,False,True,True
train,1.6,0.1,0.2563061658856508,0.02563061658856508,0.9,True,False,False,False,True,True
train,1.6,0.2,0.2563061658856508,0.05126123317713016,0.8,False,True,False,False,True,True
train,1.6,0.35,0.2563061658856508,0.08970715805997778,0.65,False,True,False,False,True,True
train,1.6,0.5,0.2563061658856508,0.1281530829428254,0.5,False,True,False,False,True,True
train,1.6,0.65,0.2563061658856508,0.16659900782567302,0.35,False,True,False,False,True,True
train,1.6,0.78,0.2563061658856508,0.19991880939080764,0.21999999999999997,False,True,False,False,True,True
train,1.6,0.87,0.2563061658856508,0.2229863643205162,0.13,False,True,True,False,True,True
train,1.6,0.93,0.2563061658856508,0.23836473427365526,0.06999999999999995,False,False,True,False,True,True
train,1.6,0.97,0.2563061658856508,0.24861698090908127,0.030000000000000027,False,False,True,False,True,True
train,1.6,0.985,0.2563061658856508,0.252461573397366,0.015000000000000013,False,False,True,False,True,True
train,1.65,0.05,0.2488361761565313,0.012441808807826566,0.95,True,False,False,False,True,True
train,1.65,0.1,0.2488361761565313,0.024883617615653133,0.9,True,False,False,False,True,True
train,1.65,0.2,0.2488361761565313,0.049767235231306266,0.8,False,True,False,False,True,True
train,1.65,0.35,0.2488361761565313,0.08709266165478595,0.65,False,True,False,False,True,True
train,1.65,0.5,0.2488361761565313,0.12441808807826565,0.5,False,True,False,False,True,True
train,1.65,0.65,0.2488361761565313,0.16174351450174534,0.35,False,True,False,False,True,True
train,1.65,0.78,0.2488361761565313,0.19409221740209442,0.21999999999999997,False,True,False,False,True,True
train,1.65,0.87,0.2488361761565313,0.21648747325618223,0.13,False,True,True,False,True,True
train,1.65,0.93,0.2488361761565313,0.23141764382557412,0.06999999999999995,False,False,True,False,True,True
train,1.65,0.97,0.2488361761565313,0.24137109087183536,0.030000000000000027,False,False,True,False,True,True
train,1.65,0.985,0.2488361761565313,0.24510363351418332,0.015000000000000013,False,False,True,False,True,True
train,1.7,0.05,0.2437664370728717,0.012188321853643587,0.95,True,False,False,False,False,True
train,1.7,0.1,0.2437664370728717,0.024376643707287173,0.9,True,False,False,False,False,True
train,1.7,0.2,0.2437664370728717,0.048753287414574346,0.8,False,True,False,False,False,True
train,1.7,0.35,0.2437664370728717,0.08531825297550509,0.65,False,True,False,False,False,True
train,1.7,0.5,0.2437664370728717,0.12188321853643586,0.5,False,True,False,False,False,True
train,1.7,0.65,0.2437664370728717,0.1584481840973666,0.35,False,True,False,False,False,True
train,1.7,0.78,0.2437664370728717,0.19013782091683995,0.21999999999999997,False,True,False,False,False,True
train,1.7,0.87,0.2437664370728717,0.2120768002533984,0.13,False,True,True,False,False,True
train,1.7,0.93,0.2437664370728717,0.2267027864777707,0.06999999999999995,False,False,True,False,False,True
train,1.7,0.97,0.2437664370728717,0.23645344396068554,0.030000000000000027,False,False,True,False,False,True
train,1.7,0.985,0.2437664370728717,0.24010994051677864,0.015000000000000013,False,False,True,False,False,True
train,1.75,0.05,0.2363344232612923,0.011816721163064616,0.95,True,False,False,False,False,True
train,1.75,0.1,0.2363344232612923,0.023633442326129232,0.9,True,False,False,False,False,True
train,1.75,0.2,0.2363344232612923,0.047266884652258465,0.8,False,True,False,False,False,True
train,1.75,0.35,0.2363344232612923,0.08271704814145231,0.65,False,True,False,False,False,True
train,1.75,0.5,0.2363344232612923,0.11816721163064615,0.5,False,True,False,False,False,True
train,1.75,0.65,0.2363344232612923,0.15361737511984,0.35,False,True,False,False,False,True
train,1.75,0.78,0.2363344232612923,0.184340850143808,0.21999999999999997,False,True,False,False,False,True
train,1.75,0.87,0.2363344232612923,0.20561094823732431,0.13,False,True,True,False,False,True
train,1.75,0.93,0.2363344232612923,0.21979101363300185,0.06999999999999995,False,False,True,False,False,True
train,1.75,0.97,0.2363344232612923,0.22924439056345353,0.030000000000000027,False,False,True,False,False,True
train,1.75,0.985,0.2363344232612923,0.23278940691237293,0.015000000000000013,False,False,True,False,False,True
train,1.8,0.05,0.2299197133413401,0.011495985667067006,0.95,True,False,False,False,False,True
train,1.8,0.1,0.2299197133413401,0.022991971334134012,0.9,True,False,False,False,False,True
train,1.8,0.2,0.2299197133413401,0.045983942668268024,0.8,False,True,False,False,False,True
train,1.8,0.35,0.2299197133413401,0.08047189966946902,0.65,False,True,False,False,False,True
train,1.8,0.5,0.2299197133413401,0.11495985667067005,0.5,False,True,False,False,False,True
train,1.8,0.65,0.2299197133413401,0.14944781367187107,0.35,False,True,False,False,False,True
train,1.8,0.78,0.2299197133413401,0.17933737640624528,0.21999999999999997,False,True,False,False,False,True
train,1.8,0.87,0.2299197133413401,0.20003015060696588,0.13,False,True,True,False,False,True
train,1.8,0.93,0.2299197133413401,0.2138253334074463,0.06999999999999995,False,False,True,False,False,True
train,1.8,0.97,0.2299197133413401,0.22302212194109988,0.030000000000000027,False,False,True,False,False,True
train,1.8,0.985,0.2299197133413401,0.22647091764122,0.015000000000000013,False,False,True,False,False,True
train,1.85,0.05,0.2238450876509434,0.011192254382547171,0.95,True,False,False,False,False,True
train,1.85,0.1,0.2238450876509434,0.022384508765094343,0.9,True,False,False,False,False,True
train,1.85,0.2,0.2238450876509434,0.044769017530188686,0.8,False,True,False,False,False,True
train,1.85,0.35,0.2238450876509434,0.07834578067783018,0.65,False,True,False,False,False,True
train,1.85,0.5,0.2238450876509434,0.1119225438254717,0.5,False,True,False,False,False,True
train,1.85,0.65,0.2238450876509434,0.14549930697311322,0.35,False,True,False,False,False,True
train,1.85,0.78,0.2238450876509434,0.17459916836773587,0.21999999999999997,False,True,False,False,False,True
train,1.85,0.87,0.2238450876509434,0.19474522625632076,0.13,False,True,True,False,False,True
train,1.85,0.93,0.2238450876509434,0.2081759315153774,0.06999999999999995,False,False,True,False,False,True
train,1.85,0.97,0.2238450876509434,0.2171297350214151,0.030000000000000027,False,False,True,False,False,True
train,1.85,0.985,0.2238450876509434,0.22048741133617925,0.015000000000000013,False,False,True,False,False,True
train,1.9,0.05,0.2183927080538996,0.01091963540269498,0.95,True,False,False,False,False,True
train,1.9,0.1,0.2183927080538996,0.02183927080538996,0.9,True,False,False,False,False,True
train,1.9,0.2,0.2183927080538996,0.04367854161077992,0.8,False,True,False,False,False,True
train,1.9,0.35,0.2183927080538996,0.07643744781886486,0.65,False,True,False,False,False,True
train,1.9,0.5,0.2183927080538996,0.1091963540269498,0.5,False,True,False,False,False,True
train,1.9,0.65,0.2183927080538996,0.14195526023503474,0.35,False,True,False,False,False,True
train,1.9,0.78,0.2183927080538996,0.1703463122820417,0.21999999999999997,False,True,False,False,False,True
train,1.9,0.87,0.2183927080538996,0.19000165600689264,0.13,False,True,True,False,False,True
train,1.9,0.93,0.2183927080538996,0.20310521849012664,0.06999999999999995,False,False,True,False,False,True
train,1.9,0.97,0.2183927080538996,0.21184092681228262,0.030000000000000027,False,False,True,False,False,True
train,1.9,0.985,0.2183927080538996,0.2151168174330911,0.015000000000000013,False,False,True,False,False,True
train,1.95,0.05,0.2134774478374921,0.010673872391874605,0.95,True,False,False,False,False,True
train,1.95,0.1,0.2134774478374921,0.02134774478374921,0.9,True,False,False,False,False,True
train,1.95,0.2,0.2134774478374921,0.04269548956749842,0.8,False,True,False,False,False,True
train,1.95,0.35,0.2134774478374921,0.07471710674312222,0.65,False,True,False,False,False,True
train,1.95,0.5,0.2134774478374921,0.10673872391874605,0.5,False,True,False,False,False,True
train,1.95,0.65,0.2134774478374921,0.13876034109436985,0.35,False,True,False,False,False,True
train,1.95,0.78,0.2134774478374921,0.16651240931324385,0.21999999999999997,False,True,False,False,False,True
train,1.95,0.87,0.2134774478374921,0.18572537961861812,0.13,False,True,True,False,False,True
train,1.95,0.93,0.2134774478374921,0.19853402648886764,0.06999999999999995,False,False,True,False,False,True
train,1.95,0.97,0.2134774478374921,0.20707312440236733,0.030000000000000027,False,False,True,False,False,True
train,1.95,0.985,0.2134774478374921,0.2102752861199297,0.015000000000000013,False,False,True,False,False,True
train,2.0,0.05,0.2085619792295213,0.010428098961476066,0.95,True,False,False,False,False,True
